board_code	board_name	board_type	stock_count	updated_at
BK1627	综合Ⅲ	sector	5	2026-06-20 11:17:47
BK1626	稀土	sector	4	2026-06-20 11:17:47
BK1625	钨	sector	4	2026-06-20 11:17:47
BK1624	其他小金属	sector	9	2026-06-20 11:17:47
BK1623	钼	sector	0	2026-06-20 11:17:47
BK1622	镍	sector	0	2026-06-20 11:17:47
BK1621	锂	sector	0	2026-06-20 11:17:47
BK1620	钴	sector	2	2026-06-20 11:17:47
BK1619	其他金属新材料	sector	13	2026-06-20 11:17:47
BK1618	磁性材料	sector	14	2026-06-20 11:17:47
BK1617	黄金	sector	1	2026-06-20 11:17:47
BK1616	白银	sector	0	2026-06-20 11:17:47
BK1615	铜	sector	9	2026-06-20 11:17:47
BK1614	铅锌	sector	7	2026-06-20 11:17:47
BK1613	铝	sector	7	2026-06-20 11:17:47
BK1612	农商行Ⅲ	sector	0	2026-06-20 11:17:47
BK1611	国有大型银行Ⅲ	sector	0	2026-06-20 11:17:47
BK1610	股份制银行Ⅲ	sector	0	2026-06-20 11:17:47
BK1609	城商行Ⅲ	sector	0	2026-06-20 11:17:47
BK1608	中药Ⅲ	sector	22	2026-06-20 11:17:47
BK1607	医药流通	sector	9	2026-06-20 11:17:47
BK1606	线下药店	sector	3	2026-06-20 11:17:47
BK1605	医疗设备	sector	13	2026-06-20 11:17:47
BK1604	医疗耗材	sector	30	2026-06-20 11:17:47
BK1603	体外诊断	sector	28	2026-06-20 11:17:47
BK1602	诊断服务	sector	5	2026-06-20 11:17:47
BK1601	医院	sector	6	2026-06-20 11:17:47
BK1600	医疗研发外包	sector	27	2026-06-20 11:17:47
BK1599	其他医疗服务	sector	2	2026-06-20 11:17:47
BK1598	疫苗	sector	8	2026-06-20 11:17:47
BK1597	血液制品	sector	1	2026-06-20 11:17:47
BK1596	其他生物制品	sector	31	2026-06-20 11:17:47
BK1595	原料药	sector	22	2026-06-20 11:17:47
BK1594	化学制剂	sector	68	2026-06-20 11:17:47
BK1593	通信终端及配件	sector	11	2026-06-20 11:17:47
BK1592	通信线缆及配套	sector	8	2026-06-20 11:17:47
BK1591	通信网络设备及器件	sector	26	2026-06-20 11:17:47
BK1590	其他通信设备	sector	8	2026-06-20 11:17:47
BK1589	通信应用增值服务	sector	14	2026-06-20 11:17:47
BK1588	通信工程及服务	sector	11	2026-06-20 11:17:47
BK1587	电信运营商	sector	0	2026-06-20 11:17:47
BK1586	软饮料	sector	2	2026-06-20 11:17:47
BK1585	乳品	sector	2	2026-06-20 11:17:47
BK1584	熟食	sector	2	2026-06-20 11:17:47
BK1583	零食	sector	0	2026-06-20 11:17:47
BK1582	烘焙食品	sector	0	2026-06-20 11:17:47
BK1581	预加工食品	sector	4	2026-06-20 11:17:47
BK1580	肉制品	sector	3	2026-06-20 11:17:47
BK1579	保健品	sector	3	2026-06-20 11:17:47
BK1578	其他酒类	sector	1	2026-06-20 11:17:47
BK1577	啤酒	sector	1	2026-06-20 11:17:47
BK1576	调味发酵品Ⅲ	sector	4	2026-06-20 11:17:47
BK1575	白酒Ⅲ	sector	6	2026-06-20 11:17:47
BK1574	油气开采Ⅲ	sector	1	2026-06-20 11:17:47
BK1573	油田服务	sector	0	2026-06-20 11:17:47
BK1572	油气及炼化工程	sector	3	2026-06-20 11:17:47
BK1571	油品石化贸易	sector	2	2026-06-20 11:17:47
BK1570	其他石化	sector	4	2026-06-20 11:17:47
BK1569	炼油化工	sector	1	2026-06-20 11:17:47
BK1568	人力资源服务	sector	0	2026-06-20 11:17:47
BK1567	其他专业服务	sector	0	2026-06-20 11:17:47
BK1566	检测服务	sector	10	2026-06-20 11:17:47
BK1565	会展服务	sector	2	2026-06-20 11:17:47
BK1564	体育Ⅲ	sector	1	2026-06-20 11:17:47
BK1563	自然景区	sector	6	2026-06-20 11:17:47
BK1562	人工景区	sector	0	2026-06-20 11:17:47
BK1561	旅游综合	sector	1	2026-06-20 11:17:47
BK1560	酒店	sector	1	2026-06-20 11:17:47
BK1559	餐饮	sector	0	2026-06-20 11:17:47
BK1558	学历教育	sector	0	2026-06-20 11:17:47
BK1557	培训教育	sector	2	2026-06-20 11:17:47
BK1556	教育运营及其他	sector	0	2026-06-20 11:17:47
BK1555	专业连锁Ⅲ	sector	0	2026-06-20 11:17:47
BK1554	商业物业经营	sector	4	2026-06-20 11:17:47
BK1553	多业态零售	sector	3	2026-06-20 11:17:47
BK1552	超市	sector	1	2026-06-20 11:17:47
BK1551	百货	sector	3	2026-06-20 11:17:47
