code	name	market	market_name	sectors	sector_codes	concepts	concept_codes	updated_at
sh600000	浦发银行	sh_main	上证主板	股份制银行Ⅲ|银行|银行Ⅱ	BK1610|BK1283|BK0475	金融地产风格|大盘价值|大盘股|权重股|长期破净|破净股|跨境支付|蚂蚁概念|标准普尔|富时罗素|MSCI中国|证金持股|沪股通|互联网金融|上证180_|融资融券|长江三角|机构重仓|HS300_	BK1714|BK1666|BK1663|BK1662|BK1635|BK1112|BK1071|BK0937|BK0879|BK0867|BK0821|BK0718|BK0707|BK0637|BK0612|BK0596|BK0594|BK0552|BK0500	2026-06-20 11:26:42
sh600001	邯郸钢铁	sh_main	上证主板					2026-06-20 11:26:42
sh600002	齐鲁石化	sh_main	上证主板					2026-06-20 11:26:42
sh600003	ST东北高	sh_main	上证主板					2026-06-20 11:26:42
sh600004	白云机场	sh_main	上证主板	机场|交通运输|航空机场	BK1480|BK1210|BK0420	2025年报预增|小盘成长|小盘股|破净股|免税概念|标准普尔|富时罗素|沪股通|中证500|央国企改革|粤港自贸|融资融券|机构重仓	BK1677|BK1667|BK1643|BK1112|BK0927|BK0879|BK0867|BK0707|BK0701|BK0683|BK0677|BK0596|BK0552	2026-06-20 11:26:42
sh600005	武钢股份	sh_main	上证主板					2026-06-20 11:26:42
sh600006	东风股份	sh_main	上证主板	商用载货车|商用车|汽车	BK1530|BK1264|BK1211	小盘价值|电池技术|小盘股|首发经济|新型工业化|汽车一体化压铸|汽车整车|汽车芯片|湖北自贸|地摊经济|车联网(车路云)|新能源车|氢能源|冷链物流|无人驾驶|人工智能|一带一路|沪股通|央国企改革|燃料电池概念|融资融券	BK1668|BK1648|BK1643|BK1186|BK1150|BK1093|BK1029|BK0969|BK0926|BK0924|BK0920|BK0900|BK0864|BK0852|BK0802|BK0800|BK0712|BK0707|BK0683|BK0682|BK0596	2026-06-20 11:26:42
sh600007	中国国贸	sh_main	上证主板	商业地产|房地产|房地产开发	BK1345|BK1202|BK0451	金融地产风格|小盘价值|小盘股|标准普尔|富时罗素|沪股通|融资融券	BK1714|BK1668|BK1643|BK0879|BK0867|BK0707|BK0596	2026-06-20 11:26:42
sh600008	XD首创环	sh_main	上证主板	水务及水治理|环境治理|环保	BK1390|BK1235|BK0728	小盘价值|小盘股|DeepSeek概念|机器人概念|土壤修复|地下管网|绿色电力|REITs概念|医废处理|垃圾分类|富时罗素|MSCI中国|雄安新区|海绵城市|PPP模式|沪股通|上证380|中证500|央国企改革|融资融券|机构重仓|节能环保	BK1668|BK1643|BK1188|BK1090|BK1070|BK1058|BK1024|BK0992|BK0914|BK0873|BK0867|BK0821|BK0813|BK0724|BK0721|BK0707|BK0705|BK0701|BK0683|BK0596|BK0552|BK0494	2026-06-20 11:26:42
sh600009	上海机场	sh_main	上证主板	机场|交通运输|航空机场	BK1480|BK1210|BK0420	破增发价股|大盘成长|大盘股|零售概念|免税概念|标准普尔|富时罗素|MSCI中国|证金持股|沪股通|央国企改革|上海自贸|上证180_|融资融券|长江三角|HS300_	BK1673|BK1665|BK1663|BK1655|BK0927|BK0879|BK0867|BK0821|BK0718|BK0707|BK0683|BK0643|BK0612|BK0596|BK0594|BK0500	2026-06-20 11:26:42
sh600010	包钢股份	sh_main	上证主板	板材|普钢|钢铁	BK1367|BK1226|BK0479	大盘股|周期股|反内卷概念|雅下水电概念|低价股|数据中心|标准普尔|富时罗素|华为概念|MSCI中国|一带一路|沪股通|小金属概念|氟化工概念|央国企改革|上证180_|融资融券|西部大开发|稀土永磁|HS300_	BK1663|BK1639|BK1197|BK1192|BK1053|BK0922|BK0879|BK0867|BK0854|BK0821|BK0712|BK0707|BK0695|BK0690|BK0683|BK0612|BK0596|BK0590|BK0578|BK0500	2026-06-20 11:26:42
sh600011	华能国际	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	大盘价值|大盘股|中特估|超超临界发电|绿色电力|标准普尔|富时罗素|MSCI中国|雄安新区|证金持股|一带一路|沪股通|央国企改革|上证180_|融资融券|风能|光伏概念|核能核电|机构重仓|HS300_|AH股	BK1666|BK1663|BK1139|BK1087|BK1024|BK0879|BK0867|BK0821|BK0813|BK0718|BK0712|BK0707|BK0683|BK0612|BK0596|BK0595|BK0588|BK0577|BK0552|BK0500|BK0499	2026-06-20 11:26:42
sh600012	皖通高速	sh_main	上证主板	高速公路|交通运输|铁路公路	BK1483|BK1210|BK0421	中盘价值|中盘股|红利股|标准普尔|富时罗素|沪股通|上证380|央国企改革|参股新三板|融资融券|机构重仓|AH股	BK1670|BK1664|BK1641|BK0879|BK0867|BK0707|BK0705|BK0683|BK0600|BK0596|BK0552|BK0499	2026-06-20 11:26:42
sh600015	华夏银行	sh_main	上证主板	股份制银行Ⅲ|银行|银行Ⅱ	BK1610|BK1283|BK0475	金融地产风格|破增发价股|大盘价值|大盘股|红利股|价值股|红利破净股|长期破净|破净股|跨境支付|蚂蚁概念|标准普尔|富时罗素|MSCI中国|证金持股|沪股通|互联网金融|上证180_|融资融券|HS300_	BK1714|BK1673|BK1666|BK1663|BK1641|BK1640|BK1636|BK1635|BK1112|BK1071|BK0937|BK0879|BK0867|BK0821|BK0718|BK0707|BK0637|BK0612|BK0596|BK0500	2026-06-20 11:26:42
sh600016	民生银行	sh_main	上证主板	股份制银行Ⅲ|银行|银行Ⅱ	BK1610|BK1283|BK0475	金融地产风格|大盘价值|大盘股|红利股|红利破净股|长期破净|破净股|跨境支付|标准普尔|富时罗素|MSCI中国|沪股通|互联网金融|上证180_|央视50_|融资融券|参股券商|HS300_|AH股	BK1714|BK1666|BK1663|BK1641|BK1636|BK1635|BK1112|BK1071|BK0879|BK0867|BK0821|BK0707|BK0637|BK0612|BK0610|BK0596|BK0514|BK0500|BK0499	2026-06-20 11:26:42
sh600017	日照港	sh_main	上证主板	港口|交通运输|航运港口	BK1481|BK1210|BK0450	破增发价股|长期破净|破净股|低价股|证金持股|一带一路|沪股通|央国企改革|融资融券	BK1673|BK1635|BK1112|BK1053|BK0718|BK0712|BK0707|BK0683|BK0596	2026-06-20 11:26:42
sh600018	上港集团	sh_main	上证主板	港口|交通运输|航运港口	BK1481|BK1210|BK0450	大盘价值|大盘股|零售概念|长期破净|破净股|F5G概念|免税概念|标准普尔|富时罗素|证金持股|一带一路|体育产业|沪股通|央国企改革|沪企改革|上海自贸|上证180_|融资融券|长江三角|机构重仓|参股银行|HS300_	BK1666|BK1663|BK1655|BK1635|BK1112|BK1088|BK0927|BK0879|BK0867|BK0718|BK0712|BK0708|BK0707|BK0683|BK0672|BK0643|BK0612|BK0596|BK0594|BK0552|BK0525|BK0500	2026-06-20 11:26:42
sh600019	宝钢股份	sh_main	上证主板	板材|普钢|钢铁	BK1367|BK1226|BK0479	大盘价值|大盘股|行业龙头|红利股|价值股|周期股|红利破净股|长期破净|反内卷概念|中特估|破净股|低碳冶金|标准普尔|富时罗素|区块链|MSCI中国|证金持股|航母概念|一带一路|沪股通|央国企改革|特斯拉概念|上证180_|融资融券|长江三角|参股银行|HS300_	BK1666|BK1663|BK1661|BK1641|BK1640|BK1639|BK1636|BK1635|BK1197|BK1139|BK1112|BK0979|BK0879|BK0867|BK0830|BK0821|BK0718|BK0715|BK0712|BK0707|BK0683|BK0644|BK0612|BK0596|BK0594|BK0525|BK0500	2026-06-20 11:26:42
sh600020	中原高速	sh_main	上证主板	高速公路|交通运输|铁路公路	BK1483|BK1210|BK0421	长期破净|破净股|化债(AMC)概念|标准普尔|富时罗素|沪股通|充电桩|央国企改革|参股保险|融资融券|参股银行|创投	BK1635|BK1112|BK0980|BK0879|BK0867|BK0707|BK0700|BK0683|BK0604|BK0596|BK0525|BK0506	2026-06-20 11:26:42
sh600021	上海电力	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	中盘成长|中盘股|油气资源|绿色电力|储能概念|碳交易|标准普尔|富时罗素|氢能源|天然气|MSCI中国|证金持股|沪股通|上证380|中证500|央国企改革|融资融券|风能|长江三角|光伏概念|核能核电|新能源	BK1669|BK1664|BK1649|BK1024|BK0989|BK0966|BK0879|BK0867|BK0864|BK0843|BK0821|BK0718|BK0707|BK0705|BK0701|BK0683|BK0596|BK0595|BK0594|BK0588|BK0577|BK0493	2026-06-20 11:26:42
sh600022	山东钢铁	sh_main	上证主板	板材|普钢|钢铁	BK1367|BK1226|BK0479	2025年报扭亏|破增发价股|破发股|小盘价值|小盘股|长期破净|2025三季报扭亏|反内卷概念|破净股|机器人概念|低价股|人工智能|沪股通|央国企改革|融资融券	BK1679|BK1673|BK1672|BK1668|BK1643|BK1635|BK1628|BK1197|BK1112|BK1090|BK1053|BK0800|BK0707|BK0683|BK0596	2026-06-20 11:26:42
sh600023	浙能电力	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	大盘股|价值股|可控核聚变|超超临界发电|MSCI中国|沪股通|央国企改革|上证180_|融资融券|核能核电|HS300_	BK1663|BK1640|BK1163|BK1087|BK0821|BK0707|BK0683|BK0612|BK0596|BK0577|BK0500	2026-06-20 11:26:42
sh600025	华能水电	sh_main	上证主板	水力发电|电力|公用事业	BK1380|BK0428|BK0427	大盘价值|大盘股|中特估|绿色电力|标准普尔|沪股通|央国企改革|上证180_|水利建设|融资融券|风能|西部大开发|光伏概念|HS300_|新能源	BK1666|BK1663|BK1139|BK1024|BK0879|BK0707|BK0683|BK0612|BK0597|BK0596|BK0595|BK0590|BK0588|BK0500|BK0493	2026-06-20 11:26:42
sh600026	中远海能	sh_main	上证主板	航运|交通运输|航运港口	BK1482|BK1210|BK0450	大盘股|最近多板|昨日高振幅|昨日涨停_含一字|标准普尔|富时罗素|MSCI中国|昨日涨停|证金持股|一带一路|沪股通|央国企改革|海洋经济|上证180_|融资融券|中字头|HS300_|AH股	BK1663|BK1638|BK1633|BK1050|BK0879|BK0867|BK0821|BK0815|BK0718|BK0712|BK0707|BK0683|BK0623|BK0612|BK0596|BK0505|BK0500|BK0499	2026-06-20 11:26:42
