date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,98661.77,5016.77,93645.0,4500
2025-06-20,97671.77,5016.77,92655.0,4500
2025-06-23,95916.77,5016.77,90900.0,4500
2025-06-24,96321.77,5016.77,91305.0,4500
2025-06-25,99426.77,5016.77,94410.0,4500
2025-06-26,99696.77,5016.77,94680.0,4500
2025-06-27,101091.77,5016.77,96075.0,4500
2025-06-30,101226.77,5016.77,96210.0,4500
2025-07-01,101316.77,5016.77,96300.0,4500
2025-07-02,100236.77,5016.77,95220.0,4500
2025-07-03,109776.77,5016.77,104760.0,4500
2025-07-04,112161.77,5016.77,107145.0,4500
2025-07-07,112781.08,7269.08,105512.0,4400
2025-07-08,123341.08,7269.08,116072.0,4400
2025-07-09,124309.08,7269.08,117040.0,4400
2025-07-10,122373.08,7269.08,115104.0,4400
2025-07-11,121669.08,7269.08,114400.0,4400
2025-07-14,121317.08,7269.08,114048.0,4400
2025-07-15,127169.08,7269.08,119900.0,4400
2025-07-16,124738.58,7126.58,117612.0,4400
2025-07-17,128126.58,7126.58,121000.0,4400
2025-07-18,126410.58,7126.58,119284.0,4400
2025-07-21,126014.58,7126.58,118888.0,4400
2025-07-22,125750.58,7126.58,118624.0,4400
2025-07-23,124078.58,7126.58,116952.0,4400
2025-07-24,132306.58,7126.58,125180.0,4400
2025-07-25,133230.58,7126.58,126104.0,4400
2025-07-28,137234.58,7126.58,130108.0,4400
2025-07-29,144362.58,7126.58,137236.0,4400
2025-07-30,153167.99,10063.99,143104.0,4300
2025-07-31,158886.99,10063.99,148823.0,4300
2025-08-01,151963.99,10063.99,141900.0,4300
2025-08-04,151834.99,10063.99,141771.0,4300
2025-08-05,160778.99,10063.99,150715.0,4300
2025-08-06,157378.05,9888.05,147490.0,4300
2025-08-07,163183.05,9888.05,153295.0,4300
2025-08-08,167225.05,9888.05,157337.0,4300
2025-08-11,166193.05,9888.05,156305.0,4300
2025-08-12,180641.05,9888.05,170753.0,4300
2025-08-13,197507.1,9683.1,187824.0,4300
2025-08-14,195529.1,9683.1,185846.0,4300
2025-08-15,202581.1,9683.1,192898.0,4300
2025-08-18,200665.51,13933.51,186732.0,4200
2025-08-19,219355.51,13933.51,205422.0,4200
2025-08-20,215155.51,13933.51,201222.0,4200
2025-08-21,204151.51,13933.51,190218.0,4200
2025-08-22,206419.51,13933.51,192486.0,4200
