date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sh601138,工业富联,DividendLowvolRotation,21.1021,21.1,4500,94959.49,23.74,0.0,9.5,33.23,5016.77,0.0,0.0,红利低波轮动：20日动量 +11.02%，量比 1.16，现价 > MA20×0.98（¥19.398）
2025-07-07,SELL,sh601138,工业富联,DividendLowvolRotation,23.7976,23.8,4500,107089.29,26.77,53.54,10.71,91.03,112025.74,12025.74,12.66,达到 +12% 止盈（当前 +12.8%）
2025-07-07,BUY,sh601138,工业富联,DividendLowvolRotation,23.8024,23.8,4400,104730.47,26.18,0.0,10.47,36.65,7269.08,0.0,0.0,红利低波轮动：20日动量 +17.23%，量比 2.44，现价 > MA20×0.98（¥20.669）
2025-07-16,SELL,sh601138,工业富联,DividendLowvolRotation,26.9873,26.99,4400,118744.12,29.69,59.37,11.88,100.93,125924.15,13898.41,13.27,达到 +12% 止盈（当前 +14.5%）
2025-07-16,BUY,sh601138,工业富联,DividendLowvolRotation,26.9927,26.99,4400,118767.88,29.69,0.0,11.88,41.57,7126.58,0.0,0.0,红利低波轮动：20日动量 +32.28%，量比 1.39，现价 > MA20×0.98（¥22.527）
2025-07-30,SELL,sh601138,工业富联,DividendLowvolRotation,30.9969,31.0,4400,136386.36,34.1,68.19,13.64,115.93,143410.65,17486.5,14.72,达到 +12% 止盈（当前 +15.5%）
2025-07-30,BUY,sh601138,工业富联,DividendLowvolRotation,31.0031,31.0,4300,133313.33,33.33,0.0,13.33,46.66,10063.99,0.0,0.0,红利低波轮动：20日动量 +45.75%，量比 1.21，现价 > MA20×0.98（¥25.985）
2025-08-06,SELL,sh601138,工业富联,DividendLowvolRotation,34.0966,34.1,4300,146615.34,36.65,73.31,14.66,124.62,156569.37,13158.72,9.87,达到 +12% 止盈（当前 +13.0%）
2025-08-06,BUY,sh601138,工业富联,DividendLowvolRotation,34.1034,34.1,4300,146644.66,36.66,0.0,14.66,51.32,9888.05,0.0,0.0,红利低波轮动：20日动量 +32.87%，量比 1.17，现价 > MA20×0.98（¥28.450）
2025-08-13,SELL,sh601138,工业富联,DividendLowvolRotation,39.716,39.72,4300,170778.92,42.69,85.39,17.08,145.16,180538.88,23969.51,16.34,达到 +12% 止盈（当前 +16.4%）
2025-08-13,BUY,sh601138,工业富联,DividendLowvolRotation,39.724,39.72,4300,170813.08,42.7,0.0,17.08,59.78,9683.1,0.0,0.0,红利低波轮动：20日动量 +45.72%，量比 1.10，现价 > MA20×0.98（¥30.933）
2025-08-18,SELL,sh601138,工业富联,DividendLowvolRotation,44.7955,44.8,4300,192620.74,48.16,96.31,19.26,163.73,202159.37,21620.49,12.65,达到 +12% 止盈（当前 +12.9%）
2025-08-18,BUY,sh601138,工业富联,DividendLowvolRotation,44.8045,44.8,4200,188178.82,47.04,0.0,18.82,65.86,13933.51,0.0,0.0,红利低波轮动：20日动量 +65.47%，量比 1.07，现价 > MA20×0.98（¥33.403）
2025-09-01,SELL,sh601138,工业富联,DividendLowvolRotation,53.9846,53.99,4200,226735.32,56.68,113.37,22.68,192.73,240498.78,38339.41,20.37,达到 +12% 止盈（当前 +20.1%）
