date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-04,BUY,sh601138,工业富联,DragonTigerPattern,23.3123,23.31,4000,93249.32,23.31,0.0,9.32,32.64,6727.36,0.0,0.0,游资形态：首板（涨幅 +10.02%），突破 5 日高点 ¥21.700，连板 1 天
2025-07-10,SELL,sh601138,工业富联,DragonTigerPattern,26.8973,26.9,4000,107589.24,26.9,53.79,10.76,91.45,114235.91,14235.91,15.26,次日不板（涨幅 +0.83% < 3%），游资走人
2025-08-14,BUY,sh601138,工业富联,DragonTigerPattern,43.9644,43.96,2400,105514.55,26.38,0.0,10.55,36.93,8694.98,0.0,0.0,游资形态：2连板（涨幅 +10.00%），突破 5 日高点 ¥39.710，连板 2 天
2025-08-21,SELL,sh601138,工业富联,DragonTigerPattern,47.4153,47.42,2400,113796.62,28.45,56.9,11.38,96.73,122406.25,8170.34,7.74,次日不板（涨幅 -2.04% < 3%），游资走人
2025-09-01,BUY,sh601138,工业富联,DragonTigerPattern,53.9954,53.99,2100,113390.34,28.35,0.0,11.34,39.69,8987.57,0.0,0.0,游资形态：2连板（涨幅 +9.99%），突破 5 日高点 ¥49.950，连板 2 天
2025-09-10,SELL,sh601138,工业富联,DragonTigerPattern,51.5948,51.6,2100,108349.16,27.09,54.17,10.84,92.1,117255.47,-5150.78,-4.54,触发 -5% 止损（当前 -9.7%）
2025-09-12,BUY,sh601138,工业富联,DragonTigerPattern,58.8859,58.88,1800,105994.6,26.5,0.0,10.6,37.1,11234.37,0.0,0.0,游资形态：2连板（涨幅 +10.01%），突破 5 日高点 ¥57.880，连板 2 天
2025-09-18,SELL,sh601138,工业富联,DragonTigerPattern,59.3841,59.39,1800,106891.31,26.72,53.45,10.69,90.86,118045.52,790.04,0.75,次日不板（涨幅 +2.33% < 3%），游资走人
2025-10-22,BUY,sh601138,工业富联,DragonTigerPattern,66.9967,66.99,1600,107194.72,26.8,0.0,10.72,37.52,10824.0,0.0,0.0,游资形态：首板（涨幅 +9.57%），突破 5 日高点 ¥65.660，连板 1 天
2025-10-29,SELL,sh601138,工业富联,DragonTigerPattern,78.1122,78.12,1600,124979.5,31.24,62.49,12.5,106.23,135709.76,17664.25,16.47,次日不板（涨幅 +1.69% < 3%），游资走人
2026-05-14,BUY,sh601138,工业富联,DragonTigerPattern,74.0074,74.0,1700,125812.58,31.45,0.0,12.58,44.03,9865.73,0.0,0.0,游资形态：首板（涨幅 +10.00%），突破 5 日高点 ¥65.900，连板 1 天
2026-05-15,SELL,sh601138,工业富联,DragonTigerPattern,69.493,69.5,1700,118138.18,29.53,59.07,11.81,100.42,127915.31,-7794.45,-6.19,触发 -5% 止损（当前 -7.3%）
