date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-10-15,BUY,sh601138,工业富联,GridMartingale,59.726,59.72,100,5972.6,5.0,0.0,0.6,5.6,94022.4,0.0,0.0,网格买入：现价 ¥59.720 位于 20 日区间 ¥47.500-¥74.720 的 45% 位置
2025-10-20,BUY,sh601138,工业富联,GridMartingale,62.0062,62.0,100,6200.62,5.0,0.0,0.62,5.62,87816.78,0.0,0.0,网格买入：现价 ¥60.010 位于 20 日区间 ¥54.650-¥74.720 的 27% 位置
2025-10-21,BUY,sh601138,工业富联,GridMartingale,62.9463,62.94,100,6294.63,5.0,0.0,0.63,5.63,81517.15,0.0,0.0,网格买入：现价 ¥62.060 位于 20 日区间 ¥57.710-¥74.720 的 26% 位置
2025-10-24,BUY,sh601138,工业富联,GridMartingale,65.1865,65.18,100,6518.65,5.0,0.0,0.65,5.65,74993.5,0.0,0.0,网格买入：现价 ¥63.990 位于 20 日区间 ¥57.710-¥74.720 的 37% 位置
2025-10-28,SELL,sh601138,工业富联,GridMartingale,71.1729,71.18,200,14234.58,5.0,7.12,1.42,13.54,89215.96,2039.24,16.74,网格上沿止盈：现价位于区间 88% 位置，浮盈 +16.4%
2025-10-29,SELL,sh601138,工业富联,GridMartingale,78.1122,78.12,100,7811.22,5.0,3.91,0.78,9.69,97018.27,1502.68,23.85,网格上沿止盈：现价位于区间 95% 位置，浮盈 +15.4%
2025-11-12,BUY,sh601138,工业富联,GridMartingale,66.4566,66.45,100,6645.66,5.0,0.0,0.66,5.66,90367.61,0.0,0.0,网格买入：现价 ¥68.030 位于 20 日区间 ¥58.500-¥83.880 的 38% 位置
2025-11-13,BUY,sh601138,工业富联,GridMartingale,67.5868,67.58,100,6758.68,5.0,0.0,0.68,5.68,83603.93,0.0,0.0,网格买入：现价 ¥68.600 位于 20 日区间 ¥58.500-¥83.880 的 40% 位置
2025-11-14,BUY,sh601138,工业富联,GridMartingale,65.8066,65.8,100,6580.66,5.0,0.0,0.66,5.66,77018.28,0.0,0.0,网格买入：现价 ¥67.990 位于 20 日区间 ¥59.900-¥83.880 的 34% 位置
2025-11-17,BUY,sh601138,工业富联,GridMartingale,64.3964,64.39,100,6439.64,5.0,0.0,0.64,5.64,70573.63,0.0,0.0,网格买入：现价 ¥64.270 位于 20 日区间 ¥59.900-¥83.880 的 18% 位置
