date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sh601138,工业富联,ScenarioRouter,21.1021,21.1,4500,94959.49,23.74,0.0,9.5,33.23,5016.77,0.0,0.0,红利低波轮动：20日动量 +11.02%，量比 1.16，现价 > MA20×0.98（¥19.398）
2025-06-30,SELL,sh601138,工业富联,ScenarioRouter,21.4779,21.48,2200,47251.27,11.81,23.63,4.73,40.16,52232.6,779.59,1.68,网格上沿止盈：现价位于区间 86% 位置，浮盈 +1.1%
2025-06-30,BUY,sh601138,工业富联,ScenarioRouter,21.4821,21.48,2100,45112.51,11.28,0.0,4.51,15.79,7108.81,0.0,0.0,红利低波轮动：20日动量 +8.38%，量比 1.34，现价 > MA20×0.98（¥20.032）
2025-07-01,SELL,sh601138,工业富联,ScenarioRouter,21.2579,21.26,2200,46767.32,11.69,23.38,4.68,39.75,53841.06,296.0,0.64,网格上沿止盈：现价位于区间 87% 位置，浮盈 +0.4%
2025-07-01,BUY,sh601138,工业富联,ScenarioRouter,21.2621,21.26,2200,46776.68,11.69,0.0,4.68,16.37,7052.69,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / T3 breakout 60d +0.11 / T2 ma alignment +0.10
2025-07-02,SELL,sh601138,工业富联,ScenarioRouter,21.1979,21.2,2200,46635.34,11.66,23.32,4.66,39.64,53653.05,-634.17,-1.34,网格上沿止盈：现价位于区间 88% 位置，浮盈 +0.1%
2025-07-02,BUY,sh601138,工业富联,ScenarioRouter,21.2021,21.2,2200,46644.66,11.66,0.0,4.66,16.33,6996.72,0.0,0.0,多因子综合 +0.50（8 因子）| Top3: M1 momentum 20d +0.20 / T3 breakout 60d +0.11 / T2 ma alignment +0.10
2025-07-04,SELL,sh601138,工业富联,ScenarioRouter,23.3077,23.31,2200,51276.87,12.82,25.64,5.13,43.59,58235.14,4450.04,9.51,网格上沿止盈：现价位于区间 164% 位置，浮盈 +9.6%
2025-07-04,BUY,sh601138,工业富联,ScenarioRouter,23.3123,23.31,2200,51287.13,12.82,0.0,5.13,17.95,6935.19,0.0,0.0,多因子综合 +0.95（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-07-07,SELL,sh601138,工业富联,ScenarioRouter,23.7976,23.8,2200,52354.76,13.09,26.18,5.24,44.5,59250.68,5659.17,12.13,网格上沿止盈：现价位于区间 116% 位置，浮盈 +6.9%
2025-07-07,BUY,sh601138,工业富联,ScenarioRouter,23.8024,23.8,2200,52365.24,13.09,0.0,5.24,18.33,6872.36,0.0,0.0,多因子综合 +0.90（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-07-08,SELL,sh601138,工业富联,ScenarioRouter,24.8775,24.88,2200,54730.53,13.68,27.37,5.47,46.52,61561.84,3389.53,6.61,网格上沿止盈：现价位于区间 92% 位置，浮盈 +1.8%
2025-07-08,BUY,sh601138,工业富联,ScenarioRouter,24.8825,24.88,2200,54741.47,13.69,0.0,5.47,19.16,6806.68,0.0,0.0,多因子综合 +0.66（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-07-09,SELL,sh601138,工业富联,ScenarioRouter,26.9973,27.0,2200,59394.06,14.85,29.7,5.94,50.49,66156.19,6971.19,13.31,网格上沿止盈：现价位于区间 146% 位置，浮盈 +8.3%
2025-07-09,BUY,sh601138,工业富联,ScenarioRouter,27.0027,27.0,2200,59405.94,14.85,0.0,5.94,20.79,6735.4,0.0,0.0,多因子综合 +0.87（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-07-10,SELL,sh601138,工业富联,ScenarioRouter,26.8973,26.9,2200,59174.08,14.79,29.59,5.92,50.3,65865.1,4374.54,7.99,网格上沿止盈：现价位于区间 103% 位置，浮盈 +2.5%
2025-07-10,BUY,sh601138,工业富联,ScenarioRouter,26.9027,26.9,2200,59185.92,14.8,0.0,5.92,20.71,6664.39,0.0,0.0,红利低波轮动：20日动量 +30.39%，量比 1.13，现价 > MA20×0.98（¥21.452）
2025-07-16,SELL,sh601138,工业富联,ScenarioRouter,26.9873,26.99,2200,59372.06,14.84,29.69,5.94,50.47,65991.92,-93.26,-0.16,网格上沿止盈：现价位于区间 102% 位置，浮盈 +1.1%
2025-07-16,BUY,sh601138,工业富联,ScenarioRouter,26.9927,26.99,2200,59383.94,14.85,0.0,5.94,20.78,6593.14,0.0,0.0,红利低波轮动：20日动量 +32.28%，量比 1.39，现价 > MA20×0.98（¥22.527）
2025-07-18,SELL,sh601138,工业富联,ScenarioRouter,27.4873,27.49,2200,60471.95,15.12,30.24,6.05,51.4,67019.73,1225.88,2.07,网格上沿止盈：现价位于区间 101% 位置，浮盈 +2.0%
2025-07-18,BUY,sh601138,工业富联,ScenarioRouter,27.4927,27.49,2200,60484.05,15.12,0.0,6.05,21.17,6520.57,0.0,0.0,多因子综合 +0.63（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.12
2025-07-25,SELL,sh601138,工业富联,ScenarioRouter,28.4472,28.45,2200,62583.74,15.65,31.29,6.26,53.2,69057.37,3138.02,5.28,网格上沿止盈：现价位于区间 103% 位置，浮盈 +4.4%
2025-07-25,BUY,sh601138,工业富联,ScenarioRouter,28.4528,28.45,2100,59750.97,14.94,0.0,5.97,20.91,9291.46,0.0,0.0,多因子综合 +0.84（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-07-28,SELL,sh601138,工业富联,ScenarioRouter,28.9371,28.94,2100,60767.92,15.19,30.38,6.08,51.65,70013.8,2973.14,5.15,网格上沿止盈：现价位于区间 96% 位置，浮盈 +2.5%
2025-07-28,BUY,sh601138,工业富联,ScenarioRouter,28.9429,28.94,2100,60780.08,15.2,0.0,6.08,21.27,9218.53,0.0,0.0,多因子综合 +0.60（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-07-29,SELL,sh601138,工业富联,ScenarioRouter,29.557,29.56,2100,62069.79,15.52,31.03,6.21,52.76,71241.77,2353.36,3.94,网格上沿止盈：现价位于区间 105% 位置，浮盈 +3.1%
2025-07-29,BUY,sh601138,工业富联,ScenarioRouter,29.563,29.56,2100,62082.21,15.52,0.0,6.21,21.73,9144.04,0.0,0.0,红利低波轮动：20日动量 +38.31%，量比 1.13，现价 > MA20×0.98（¥25.505）
2025-07-30,SELL,sh601138,工业富联,ScenarioRouter,30.9969,31.0,2100,65093.49,16.27,32.55,6.51,55.33,74188.71,4298.41,7.08,网格上沿止盈：现价位于区间 119% 位置，浮盈 +6.7%
2025-07-30,BUY,sh601138,工业富联,ScenarioRouter,31.0031,31.0,2100,65106.51,16.28,0.0,6.51,22.79,9065.93,0.0,0.0,红利低波轮动：20日动量 +45.75%，量比 1.21，现价 > MA20×0.98（¥25.985）
2025-07-31,SELL,sh601138,工业富联,ScenarioRouter,33.2567,33.26,2100,69839.02,17.46,34.92,6.98,59.36,78852.56,7750.93,12.49,网格上沿止盈：现价位于区间 120% 位置，浮盈 +10.0%
2025-07-31,BUY,sh601138,工业富联,ScenarioRouter,33.2633,33.26,2100,69852.98,17.46,0.0,6.98,24.45,8982.11,0.0,0.0,红利低波轮动：20日动量 +57.28%，量比 1.33，现价 > MA20×0.98（¥26.579）
2025-08-01,SELL,sh601138,工业富联,ScenarioRouter,33.9966,34.0,2100,71392.86,17.85,35.7,7.14,60.68,80321.43,6360.58,9.79,网格上沿止盈：现价位于区间 103% 位置，浮盈 +7.9%
2025-08-01,BUY,sh601138,工业富联,ScenarioRouter,34.0034,34.0,2100,71407.14,17.85,0.0,7.14,24.99,8896.44,0.0,0.0,红利低波轮动：20日动量 +48.67%，量比 1.74，现价 > MA20×0.98（¥27.134）
2025-08-06,SELL,sh601138,工业富联,ScenarioRouter,34.0966,34.1,2100,71602.84,17.9,35.8,7.16,60.86,80445.57,1904.77,2.73,网格上沿止盈：现价位于区间 92% 位置，浮盈 +4.4%
2025-08-06,BUY,sh601138,工业富联,ScenarioRouter,34.1034,34.1,2100,71617.16,17.9,0.0,7.16,25.07,8810.51,0.0,0.0,红利低波轮动：20日动量 +32.87%，量比 1.17，现价 > MA20×0.98（¥28.450）
2025-08-07,SELL,sh601138,工业富联,ScenarioRouter,36.1964,36.2,2100,76012.4,19.0,38.01,7.6,64.61,84765.9,4604.42,6.45,网格上沿止盈：现价位于区间 85% 位置，浮盈 +0.8%
2025-08-08,SELL,sh601138,工业富联,ScenarioRouter,35.7264,35.73,1100,39299.07,9.82,19.65,3.93,33.4,124035.49,1756.47,4.68,网格上沿止盈：现价位于区间 98% 位置，浮盈 +4.5%
2025-08-08,BUY,sh601138,工业富联,ScenarioRouter,35.7336,35.73,3200,114347.43,28.59,0.0,11.43,40.02,9659.47,0.0,0.0,红利低波轮动：20日动量 +36.28%，量比 1.16，现价 > MA20×0.98（¥29.292）
