strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,140481.35,40.48,41.66,-20.72,1.393,50.0,12,982.65
DonchianTurtle,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,224145.52,124.15,128.64,-18.42,2.153,55.56,18,2099.49
CrossBorderDca,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,128030.77,28.03,28.81,-9.38,1.635,100.0,6,393.22
DividendLowvolRotation,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,377171.88,277.17,289.69,-21.33,2.921,71.43,42,6041.14
MultiFactor,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,260373.32,160.37,166.57,-23.45,2.349,56.25,33,4127.7
GridMartingale,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,101325.11,1.33,1.36,-12.77,0.012,83.33,49,415.87
DragonTigerPattern,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,127915.31,27.92,28.69,-11.71,1.101,66.67,12,805.7
ChanLun2B,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,134825.04,34.83,35.82,-14.7,1.334,60.0,10,750.96
BuyHold,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,338628.73,238.63,248.94,-21.19,2.755,67.44,266,14658.15
