date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,98629.11,8851.11,89778.0,1300
2025-07-31,98499.11,8851.11,89648.0,1300
2025-08-01,97368.11,8851.11,88517.0,1300
2025-08-04,98993.11,8851.11,90142.0,1300
2025-08-05,98850.11,8851.11,89999.0,1300
2025-08-06,98447.11,8851.11,89596.0,1300
2025-08-07,98031.11,8851.11,89180.0,1300
2025-08-08,97355.11,8851.11,88504.0,1300
2025-08-11,97524.11,8851.11,88673.0,1300
2025-08-12,98720.11,8851.11,89869.0,1300
2025-08-13,99500.11,8851.11,90649.0,1300
2025-08-14,105155.11,8851.11,96304.0,1300
2025-08-15,104583.11,8851.11,95732.0,1300
2025-08-18,105701.11,8851.11,96850.0,1300
2025-08-19,103764.11,8851.11,94913.0,1300
2025-08-20,107833.11,8851.11,98982.0,1300
2025-08-21,106741.11,8851.11,97890.0,1300
2025-08-22,116530.11,8851.11,107679.0,1300
2025-08-25,127151.98,8708.98,118443.0,1300
2025-08-26,127424.98,8708.98,118716.0,1300
2025-08-27,124018.98,8708.98,115310.0,1300
2025-08-28,128971.98,8708.98,120263.0,1300
2025-08-29,123758.98,8708.98,115050.0,1300
2025-09-01,128490.98,8708.98,119782.0,1300
2025-09-02,125734.98,8708.98,117026.0,1300
2025-09-03,121847.98,8708.98,113139.0,1300
2025-09-04,112032.98,8708.98,103324.0,1300
2025-09-05,112088.04,112088.04,0.0,0
2025-09-08,112088.04,112088.04,0.0,0
2025-09-09,112088.04,112088.04,0.0,0
2025-09-10,112088.04,112088.04,0.0,0
2025-09-11,112088.04,112088.04,0.0,0
2025-09-12,112088.04,112088.04,0.0,0
2025-09-15,113512.69,11052.69,102460.0,1000
2025-09-16,122532.69,11052.69,111480.0,1000
2025-09-17,119542.69,11052.69,108490.0,1000
2025-09-18,120972.69,11052.69,109920.0,1000
2025-09-19,117882.69,11052.69,106830.0,1000
2025-09-22,128562.69,11052.69,117510.0,1000
2025-09-23,128952.4,128952.4,0.0,0
2025-09-24,128952.4,128952.4,0.0,0
