date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,100000.0,100000.0,0.0,0
2025-07-31,100000.0,100000.0,0.0,0
2025-08-01,100000.0,100000.0,0.0,0
2025-08-04,100000.0,100000.0,0.0,0
2025-08-05,100000.0,100000.0,0.0,0
2025-08-06,100000.0,100000.0,0.0,0
2025-08-07,100000.0,100000.0,0.0,0
2025-08-08,100000.0,100000.0,0.0,0
2025-08-11,100000.0,100000.0,0.0,0
2025-08-12,100000.0,100000.0,0.0,0
2025-08-13,100000.0,100000.0,0.0,0
2025-08-14,100000.0,100000.0,0.0,0
2025-08-15,100521.26,12153.26,88368.0,1200
2025-08-18,101553.26,12153.26,89400.0,1200
2025-08-19,99765.26,12153.26,87612.0,1200
2025-08-20,103521.26,12153.26,91368.0,1200
2025-08-21,102513.26,12153.26,90360.0,1200
2025-08-22,111549.26,12153.26,99396.0,1200
2025-08-25,121485.26,12153.26,109332.0,1200
2025-08-26,121737.26,12153.26,109584.0,1200
2025-08-27,118593.26,12153.26,106440.0,1200
2025-08-28,123165.26,12153.26,111012.0,1200
2025-08-29,121260.45,121260.45,0.0,0
2025-09-01,121260.45,121260.45,0.0,0
2025-09-02,121260.45,121260.45,0.0,0
2025-09-03,121260.45,121260.45,0.0,0
2025-09-04,121260.45,121260.45,0.0,0
2025-09-05,121260.45,121260.45,0.0,0
2025-09-08,121260.45,121260.45,0.0,0
2025-09-09,121260.45,121260.45,0.0,0
2025-09-10,121260.45,121260.45,0.0,0
2025-09-11,121260.45,121260.45,0.0,0
2025-09-12,121260.45,121260.45,0.0,0
2025-09-15,122827.56,10121.56,112706.0,1100
2025-09-16,132749.56,10121.56,122628.0,1100
2025-09-17,129460.56,10121.56,119339.0,1100
2025-09-18,131033.56,10121.56,120912.0,1100
2025-09-19,127634.56,10121.56,117513.0,1100
2025-09-22,139382.56,10121.56,129261.0,1100
2025-09-23,136324.56,10121.56,126203.0,1100
2025-09-24,139426.56,10121.56,129305.0,1100
2025-09-25,148171.56,10121.56,138050.0,1100
