date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-27,BUY,sh603019,中科曙光,MultiFactor,71.4771,71.47,1300,92920.29,23.23,0.0,9.29,32.52,7056.48,0.0,0.0,多因子综合 +0.74（8 因子）| Top3: M1 momentum 20d +0.19 / vol price sync +0.13 / vol ratio +0.12
2025-08-25,SELL,sh603019,中科曙光,MultiFactor,91.1009,91.11,1300,118431.16,29.61,59.22,11.84,100.67,125398.81,25398.81,27.33,达到 +15% 止盈（当前 +15.9%）
2025-08-25,BUY,sh603019,中科曙光,MultiFactor,91.1191,91.11,1300,118454.84,29.61,0.0,11.84,41.46,6914.35,0.0,0.0,多因子综合 +0.90（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-09-05,SELL,sh603019,中科曙光,MultiFactor,79.582,79.59,1300,103456.65,25.86,51.73,10.35,87.94,110293.41,-15105.4,-12.75,触发 -8% 止损（当前 -12.8%）
2025-09-12,BUY,sh603019,中科曙光,MultiFactor,94.9895,94.98,1100,104488.45,26.12,0.0,10.45,36.57,5778.84,0.0,0.0,多因子综合 +0.64（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-09-17,SELL,sh603019,中科曙光,MultiFactor,108.1292,108.14,1100,118942.1,29.74,59.47,11.9,101.1,124631.74,14338.33,13.72,达到 +15% 止盈（当前 +17.3%）
2025-09-17,BUY,sh603019,中科曙光,MultiFactor,108.1508,108.14,1000,108150.81,27.04,0.0,10.81,37.85,16453.89,0.0,0.0,多因子综合 +0.83（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-09-26,SELL,sh603019,中科曙光,MultiFactor,122.9777,122.99,1000,122977.7,30.74,61.49,12.3,104.53,139339.36,14707.62,13.6,达到 +15% 止盈（当前 +16.0%）
2025-09-26,BUY,sh603019,中科曙光,MultiFactor,123.0023,122.99,1000,123002.3,30.75,0.0,12.3,43.05,16306.31,0.0,0.0,多因子综合 +0.61（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-10-15,SELL,sh603019,中科曙光,MultiFactor,105.6394,105.65,1000,105639.44,26.41,52.82,10.56,89.79,121866.51,-17472.84,-14.2,触发 -8% 止损（当前 -14.3%）
2026-04-28,BUY,sh603019,中科曙光,MultiFactor,93.0193,93.01,1200,111623.16,27.91,0.0,11.16,39.07,10215.45,0.0,0.0,多因子综合 +0.55（8 因子）| Top3: M1 momentum 20d +0.20 / T1 ma20 bias +0.11 / T2 ma alignment +0.10
2026-06-02,SELL,sh603019,中科曙光,MultiFactor,86.0214,86.03,1200,103225.68,25.81,51.61,10.32,87.74,113363.7,-8502.81,-7.62,触发 -8% 止损（当前 -8.2%）
