date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100027.34,93363.34,6664.0,100
2025-06-24,100250.67,86670.67,13580.0,200
2025-06-25,100908.15,5162.15,95746.0,1400
2025-06-26,104408.15,5162.15,99246.0,1400
2025-06-27,103160.62,12251.62,90909.0,1300
2025-06-30,103776.91,5216.91,98560.0,1400
2025-07-01,102783.2,54259.2,48524.0,700
2025-07-02,102055.2,54259.2,47796.0,700
2025-07-03,102391.2,54259.2,48132.0,700
2025-07-04,102321.2,54259.2,48062.0,700
2025-07-07,101887.2,54259.2,47628.0,700
2025-07-08,102580.2,54259.2,48321.0,700
2025-07-09,101443.19,5641.19,95802.0,1400
2025-07-10,101363.03,94565.03,6798.0,100
2025-07-11,101431.27,94550.27,6881.0,100
2025-07-14,101043.29,11733.29,89310.0,1300
2025-07-15,101087.68,94115.68,6972.0,100
2025-07-16,100839.33,10242.33,90597.0,1300
2025-07-17,101008.33,10242.33,90766.0,1300
2025-07-18,100605.33,10242.33,90363.0,1300
2025-07-21,100462.33,10242.33,90220.0,1300
2025-07-22,99773.33,10242.33,89531.0,1300
2025-07-23,99487.33,10242.33,89245.0,1300
2025-07-24,100072.33,10242.33,89830.0,1300
2025-07-25,100236.18,93200.18,7036.0,100
2025-07-28,98572.5,8378.5,90194.0,1300
2025-07-29,98236.06,98236.06,0.0,0
2025-07-30,96865.17,7087.17,89778.0,1300
2025-07-31,96735.17,7087.17,89648.0,1300
2025-08-01,95604.17,7087.17,88517.0,1300
2025-08-04,95300.58,88366.58,6934.0,100
2025-08-05,95289.58,88366.58,6923.0,100
2025-08-06,95258.58,88366.58,6892.0,100
2025-08-07,95188.89,81468.89,13720.0,200
2025-08-08,95021.2,74597.2,20424.0,300
2025-08-11,94995.18,88174.18,6821.0,100
2025-08-12,95072.41,88159.41,6913.0,100
2025-08-13,95070.26,95070.26,0.0,0
2025-08-14,99936.85,11040.85,88896.0,1200
2025-08-15,99356.17,10988.17,88368.0,1200
2025-08-18,100388.17,10988.17,89400.0,1200
2025-08-19,98546.53,10934.53,87612.0,1200
2025-08-20,102302.53,10934.53,91368.0,1200
2025-08-21,101239.71,10879.71,90360.0,1200
2025-08-22,110275.71,10879.71,99396.0,1200
2025-08-25,120146.11,10814.11,109332.0,1200
2025-08-26,120330.55,10746.55,109584.0,1200
2025-08-27,117186.55,10746.55,106440.0,1200
2025-08-28,121758.55,10746.55,111012.0,1200
2025-08-29,116881.03,10681.03,106200.0,1200
2025-09-01,121249.03,10681.03,110568.0,1200
2025-09-02,118705.03,10681.03,108024.0,1200
2025-09-03,115117.03,10681.03,104436.0,1200
2025-09-04,106057.03,10681.03,95376.0,1200
2025-09-05,109494.43,10566.43,98928.0,1200
2025-09-08,111354.43,10566.43,100788.0,1200
2025-09-09,107934.43,10566.43,97368.0,1200
2025-09-10,111030.43,10566.43,100464.0,1200
2025-09-11,121074.43,10566.43,110508.0,1200
2025-09-12,127993.66,10429.66,117564.0,1200
2025-09-15,133308.95,10356.95,122952.0,1200
2025-09-16,144056.63,10280.63,133776.0,1200
2025-09-17,140390.77,10202.77,130188.0,1200
2025-09-18,142026.94,10122.94,131904.0,1200
2025-09-19,138239.75,10043.75,128196.0,1200
2025-09-22,151055.75,10043.75,141012.0,1200
