date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,100000.0,100000.0,0.0,0
2025-07-31,100000.0,100000.0,0.0,0
2025-08-01,100000.0,100000.0,0.0,0
2025-08-04,100000.0,100000.0,0.0,0
2025-08-05,100000.0,100000.0,0.0,0
2025-08-06,100000.0,100000.0,0.0,0
2025-08-07,100000.0,100000.0,0.0,0
2025-08-08,100000.0,100000.0,0.0,0
2025-08-11,100000.0,100000.0,0.0,0
2025-08-12,100000.0,100000.0,0.0,0
2025-08-13,100000.0,100000.0,0.0,0
2025-08-14,100000.0,100000.0,0.0,0
2025-08-15,100000.0,100000.0,0.0,0
2025-08-18,100000.0,100000.0,0.0,0
2025-08-19,100000.0,100000.0,0.0,0
2025-08-20,100000.0,100000.0,0.0,0
2025-08-21,100000.0,100000.0,0.0,0
2025-08-22,100000.0,100000.0,0.0,0
2025-08-25,99106.91,16858.91,82248.0,600
2025-08-26,102418.91,16858.91,85560.0,600
2025-08-27,100462.91,16858.91,83604.0,600
2025-08-28,102592.91,16858.91,85734.0,600
2025-08-29,102796.91,16858.91,85938.0,600
2025-09-01,103978.91,16858.91,87120.0,600
2025-09-02,99598.91,16858.91,82740.0,600
2025-09-03,98458.91,16858.91,81600.0,600
2025-09-04,94042.91,16858.91,77184.0,600
2025-09-05,96058.91,16858.91,79200.0,600
2025-09-08,98422.91,16858.91,81564.0,600
2025-09-09,95878.91,16858.91,79020.0,600
2025-09-10,95584.91,16858.91,78726.0,600
2025-09-11,97858.91,16858.91,81000.0,600
2025-09-12,98458.91,16858.91,81600.0,600
2025-09-15,99994.91,16858.91,83136.0,600
2025-09-16,101548.91,16858.91,84690.0,600
2025-09-17,102634.91,16858.91,85776.0,600
2025-09-18,103408.91,16858.91,86550.0,600
2025-09-19,102358.91,16858.91,85500.0,600
2025-09-22,104644.91,16858.91,87786.0,600
2025-09-23,102658.91,16858.91,85800.0,600
2025-09-24,106018.91,16858.91,89160.0,600
2025-09-25,107260.91,16858.91,90402.0,600
2025-09-26,107476.91,16858.91,90618.0,600
