date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-30,BUY,sh603986,兆易创新,ChanLun2B,128.3828,128.37,700,89867.99,22.47,0.0,8.99,31.45,10109.55,0.0,0.0,缠论二买优化版：5日前底分型 + 突破 ¥121.69 + 多头 MA5(123.84)>MA10(122.73)>MA20(120.47) + MA60↑ + 量比 1.40 + RSI 57.2
2025-07-07,SELL,sh603986,兆易创新,ChanLun2B,118.9681,118.98,700,83277.67,20.82,41.64,8.33,70.79,93324.76,-6675.24,-7.43,触发 -7% 止损（当前 -7.4%）
2025-08-19,BUY,sh603986,兆易创新,ChanLun2B,125.4925,125.48,700,87844.78,21.96,0.0,8.78,30.74,5458.02,0.0,0.0,缠论二买优化版：2日前底分型 + 突破 ¥123.50 + 多头 MA5(122.31)>MA10(119.98)>MA20(119.72) + MA60↑ + 量比 1.43 + RSI 60.8
2025-08-25,SELL,sh603986,兆易创新,ChanLun2B,158.9841,159.0,700,111288.87,27.82,55.64,11.13,94.6,116663.42,23338.66,26.56,达到 +15% 止盈（当前 +20.2%）
2025-08-25,BUY,sh603986,兆易创新,ChanLun2B,159.0159,159.0,600,95409.54,23.85,0.0,9.54,33.39,21230.03,0.0,0.0,缠论二买优化版：3日前底分型 + 突破 ¥127.25 + 多头 MA5(132.80)>MA10(126.78)>MA20(123.00) + MA60↑ + 量比 1.88 + RSI 87.0
2025-09-15,SELL,sh603986,兆易创新,ChanLun2B,193.4906,193.51,600,116094.39,29.02,58.05,11.61,98.68,137237.35,20573.93,21.56,达到 +15% 止盈（当前 +19.6%）
2025-09-15,BUY,sh603986,兆易创新,ChanLun2B,193.5294,193.51,600,116117.61,29.03,0.0,11.61,40.64,21090.71,0.0,0.0,缠论二买优化版：6日前底分型 + 突破 ¥163.99 + 多头 MA5(169.98)>MA10(168.54)>MA20(157.18) + MA60↑ + 量比 1.46 + RSI 65.1
2025-10-10,SELL,sh603986,兆易创新,ChanLun2B,225.4775,225.5,600,135286.47,33.82,67.64,13.53,114.99,156275.71,19038.37,16.39,达到 +15% 止盈（当前 +16.5%）
2026-01-19,BUY,sh603986,兆易创新,ChanLun2B,280.6281,280.6,500,140314.03,35.08,0.0,14.03,49.11,15926.6,0.0,0.0,缠论二买优化版：2日前底分型 + 突破 ¥257.55 + 多头 MA5(262.75)>MA10(257.15)>MA20(238.27) + MA60↑ + 量比 1.39 + RSI 72.2
2026-01-29,SELL,sh603986,兆易创新,ChanLun2B,329.847,329.88,500,164923.51,41.23,82.46,16.49,140.19,180726.42,24450.7,17.42,达到 +15% 止盈（当前 +15.3%）
2026-05-06,BUY,sh603986,兆易创新,ChanLun2B,330.033,330.0,500,165016.5,41.25,0.0,16.5,57.75,15668.66,0.0,0.0,缠论二买优化版：2日前底分型 + 突破 ¥311.66 + 多头 MA5(306.10)>MA10(303.50)>MA20(282.76) + MA60↑ + 量比 1.55 + RSI 74.3
2026-05-19,SELL,sh603986,兆易创新,ChanLun2B,389.961,390.0,500,194980.5,48.75,97.49,19.5,165.74,210502.93,29776.51,18.04,达到 +15% 止盈（当前 +21.2%）
2026-06-18,BUY,sh603986,兆易创新,ChanLun2B,594.0594,594.0,300,178217.82,44.55,0.0,17.82,62.37,32240.55,0.0,0.0,缠论二买优化版：3日前底分型 + 突破 ¥519.00 + 多头 MA5(520.35)>MA10(507.44)>MA20(495.80) + MA60↑ + 量比 1.47 + RSI 67.8
2026-06-18,SELL,sh603986,兆易创新,ChanLun2B,628.9371,629.0,300,188681.13,47.17,94.34,18.87,160.38,220780.17,10277.24,5.77,回测结束强平
