date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,100000.0,100000.0,0.0,0
2025-07-31,100000.0,100000.0,0.0,0
2025-08-01,100000.0,100000.0,0.0,0
2025-08-04,100000.0,100000.0,0.0,0
2025-08-05,100000.0,100000.0,0.0,0
2025-08-06,100000.0,100000.0,0.0,0
2025-08-07,100000.0,100000.0,0.0,0
2025-08-08,100000.0,100000.0,0.0,0
2025-08-11,100000.0,100000.0,0.0,0
2025-08-12,100000.0,100000.0,0.0,0
2025-08-13,100000.0,100000.0,0.0,0
2025-08-14,100000.0,100000.0,0.0,0
2025-08-15,100000.0,100000.0,0.0,0
2025-08-18,100000.0,100000.0,0.0,0
2025-08-19,100000.0,100000.0,0.0,0
2025-08-20,100000.0,100000.0,0.0,0
2025-08-21,100000.0,100000.0,0.0,0
2025-08-22,100000.0,100000.0,0.0,0
2025-08-25,99372.17,20472.17,78900.0,500
2025-08-26,97672.17,20472.17,77200.0,500
2025-08-27,99787.17,20472.17,79315.0,500
2025-08-28,102697.17,20472.17,82225.0,500
2025-08-29,99962.17,20472.17,79490.0,500
2025-09-01,107912.17,20472.17,87440.0,500
2025-09-02,108472.17,20472.17,88000.0,500
2025-09-03,108527.27,108527.27,0.0,0
2025-09-04,108527.27,108527.27,0.0,0
2025-09-05,108527.27,108527.27,0.0,0
2025-09-08,108527.27,108527.27,0.0,0
2025-09-09,108527.27,108527.27,0.0,0
2025-09-10,108527.27,108527.27,0.0,0
2025-09-11,108527.27,108527.27,0.0,0
2025-09-12,113605.77,18500.77,95105.0,500
2025-09-15,113970.77,18500.77,95470.0,500
2025-09-16,112920.45,112920.45,0.0,0
2025-09-17,112920.45,112920.45,0.0,0
2025-09-18,112920.45,112920.45,0.0,0
2025-09-19,112920.45,112920.45,0.0,0
2025-09-22,112920.45,112920.45,0.0,0
2025-09-23,112920.45,112920.45,0.0,0
2025-09-24,112920.45,112920.45,0.0,0
2025-09-25,112920.45,112920.45,0.0,0
2025-09-26,112920.45,112920.45,0.0,0
2025-09-29,112920.45,112920.45,0.0,0
