date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,98615.33,6627.33,91988.0,2600
2025-06-23,99421.33,6627.33,92794.0,2600
2025-06-24,102255.33,6627.33,95628.0,2600
2025-06-25,104075.33,6627.33,97448.0,2600
2025-06-26,103711.33,6627.33,97084.0,2600
2025-06-27,104101.33,6627.33,97474.0,2600
2025-06-30,104491.33,6627.33,97864.0,2600
2025-07-01,103087.33,6627.33,96460.0,2600
2025-07-02,100825.33,6627.33,94198.0,2600
2025-07-03,101917.33,6627.33,95290.0,2600
2025-07-04,101527.33,6627.33,94900.0,2600
2025-07-07,100357.33,6627.33,93730.0,2600
2025-07-08,102489.33,6627.33,95862.0,2600
2025-07-09,101995.33,6627.33,95368.0,2600
2025-07-10,102515.33,6627.33,95888.0,2600
2025-07-11,103763.33,6627.33,97136.0,2600
2025-07-14,103139.33,6627.33,96512.0,2600
2025-07-15,106363.33,6627.33,99736.0,2600
2025-07-16,106545.33,6627.33,99918.0,2600
2025-07-17,108911.33,6627.33,102284.0,2600
2025-07-18,108157.33,6627.33,101530.0,2600
2025-07-21,107533.33,6627.33,100906.0,2600
2025-07-22,106051.33,6627.33,99424.0,2600
2025-07-23,106077.33,6627.33,99450.0,2600
2025-07-24,107039.33,6627.33,100412.0,2600
2025-07-25,110003.33,6627.33,103376.0,2600
2025-07-28,113084.77,113084.77,0.0,0
2025-07-29,113084.77,113084.77,0.0,0
2025-07-30,113084.77,113084.77,0.0,0
2025-07-31,113084.77,113084.77,0.0,0
2025-08-01,113084.77,113084.77,0.0,0
2025-08-04,113084.77,113084.77,0.0,0
2025-08-05,113084.77,113084.77,0.0,0
2025-08-06,113084.77,113084.77,0.0,0
2025-08-07,113084.77,113084.77,0.0,0
2025-08-08,113084.77,113084.77,0.0,0
2025-08-11,113084.77,113084.77,0.0,0
2025-08-12,113084.77,113084.77,0.0,0
2025-08-13,113084.77,113084.77,0.0,0
2025-08-14,113084.77,113084.77,0.0,0
2025-08-15,113084.77,113084.77,0.0,0
2025-08-18,113084.77,113084.77,0.0,0
2025-08-19,113084.77,113084.77,0.0,0
2025-08-20,113084.77,113084.77,0.0,0
2025-08-21,113084.77,113084.77,0.0,0
2025-08-22,113084.77,113084.77,0.0,0
2025-08-25,113084.77,113084.77,0.0,0
2025-08-26,113084.77,113084.77,0.0,0
2025-08-27,113084.77,113084.77,0.0,0
2025-08-28,113084.77,113084.77,0.0,0
2025-08-29,113084.77,113084.77,0.0,0
2025-09-01,113084.77,113084.77,0.0,0
2025-09-02,113084.77,113084.77,0.0,0
2025-09-03,113084.77,113084.77,0.0,0
2025-09-04,113084.77,113084.77,0.0,0
2025-09-05,113084.77,113084.77,0.0,0
2025-09-08,113084.77,113084.77,0.0,0
2025-09-09,113084.77,113084.77,0.0,0
2025-09-10,113084.77,113084.77,0.0,0
2025-09-11,113084.77,113084.77,0.0,0
2025-09-12,113084.77,113084.77,0.0,0
2025-09-15,113084.77,113084.77,0.0,0
2025-09-16,113084.77,113084.77,0.0,0
2025-09-17,113084.77,113084.77,0.0,0
2025-09-18,113084.77,113084.77,0.0,0
2025-09-19,113084.77,113084.77,0.0,0
2025-09-22,113084.77,113084.77,0.0,0
2025-09-23,113084.77,113084.77,0.0,0
2025-09-24,113084.77,113084.77,0.0,0
2025-09-25,113084.77,113084.77,0.0,0
