strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,88677.47,-11.32,-11.58,-27.24,-0.333,33.33,6,368.52
DonchianTurtle,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,79418.34,-20.58,-21.03,-35.44,-0.646,33.33,6,333.66
CrossBorderDca,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,118883.64,18.88,19.39,-26.45,0.667,55.56,18,1190.35
DividendLowvolRotation,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,71415.82,-28.58,-29.17,-43.98,-0.91,25.0,25,1376.2
MultiFactor,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,64385.04,-35.61,-36.31,-47.6,-1.218,16.67,12,621.96
GridMartingale,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,108070.73,8.07,8.28,-12.28,0.482,82.61,89,743.22
DragonTigerPattern,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,100605.43,0.61,0.62,-0.47,-1.143,100.0,2,114.57
ChanLun2B,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,103646.12,3.65,3.74,-13.07,0.185,33.33,6,367.89
BuyHold,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,100839.3,0.84,0.86,-19.24,0.012,50.0,4,212.71
ScenarioRouter,sz000034,神州数码,2025-06-18,2026-06-18,100000.0,65537.98,-34.46,-35.14,-51.25,-1.04,53.44,266,5735.97
