date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,99918.08,90794.08,9124.0,400
2025-06-20,99911.6,99911.6,0.0,0
2025-06-23,101096.51,5336.51,95760.0,4200
2025-06-24,101558.89,92230.89,9328.0,400
2025-06-25,101698.34,92214.34,9484.0,400
2025-06-26,101707.64,101707.64,0.0,0
2025-06-27,101707.64,101707.64,0.0,0
2025-06-30,101707.64,101707.64,0.0,0
2025-07-01,101707.64,101707.64,0.0,0
2025-07-02,101707.64,101707.64,0.0,0
2025-07-03,101857.7,92301.7,9556.0,400
2025-07-04,101818.98,101818.98,0.0,0
2025-07-07,101818.98,101818.98,0.0,0
2025-07-08,102113.05,92449.05,9664.0,400
2025-07-09,101290.58,5370.58,95920.0,4000
2025-07-10,101288.98,101288.98,0.0,0
2025-07-11,101288.98,101288.98,0.0,0
2025-07-14,100553.77,6368.77,94185.0,3900
2025-07-15,103283.77,6368.77,96915.0,3900
2025-07-16,102524.86,6311.86,96213.0,3900
2025-07-17,103833.76,6255.76,97578.0,3900
2025-07-18,103472.34,53772.34,49700.0,2000
2025-07-21,103241.28,78521.28,24720.0,1000
2025-07-22,103143.88,90848.88,12295.0,500
2025-07-23,103073.88,90848.88,12225.0,500
2025-07-24,103288.88,90848.88,12440.0,500
2025-07-25,103338.89,95826.89,7512.0,300
2025-07-28,102015.64,7623.64,94392.0,3800
2025-07-29,103003.64,7623.64,95380.0,3800
2025-07-30,101647.39,5122.39,96525.0,3900
2025-07-31,101569.39,5122.39,96447.0,3900
2025-08-01,100672.39,5122.39,95550.0,3900
2025-08-04,100828.39,5122.39,95706.0,3900
2025-08-05,100711.39,5122.39,95589.0,3900
2025-08-06,102232.39,5122.39,97110.0,3900
2025-08-07,101647.39,5122.39,96525.0,3900
2025-08-08,99931.39,5122.39,94809.0,3900
2025-08-11,101842.39,5122.39,96720.0,3900
2025-08-12,102544.39,5122.39,97422.0,3900
2025-08-13,103909.39,5122.39,98787.0,3900
2025-08-14,103051.59,7595.59,95456.0,3800
2025-08-15,104115.59,7595.59,96520.0,3800
2025-08-18,106468.25,56194.25,50274.0,1900
2025-08-19,105148.82,5588.82,99560.0,3800
2025-08-20,110886.82,5588.82,105298.0,3800
2025-08-21,109075.52,5525.52,103550.0,3800
2025-08-22,113662.81,8212.81,105450.0,3700
2025-08-25,114044.07,8150.07,105894.0,3700
2025-08-26,112613.7,8088.7,104525.0,3700
2025-08-27,109727.7,8088.7,101639.0,3700
2025-08-28,113131.7,8088.7,105043.0,3700
2025-08-29,111318.7,8088.7,103230.0,3700
2025-09-01,115721.7,8088.7,107633.0,3700
2025-09-02,109443.09,8026.09,101417.0,3700
2025-09-03,114068.09,8026.09,106042.0,3700
2025-09-04,110368.09,8026.09,102342.0,3700
2025-09-05,112107.09,8026.09,104081.0,3700
2025-09-08,110886.09,8026.09,102860.0,3700
2025-09-09,105521.09,8026.09,97495.0,3700
2025-09-10,105854.09,97901.09,7953.0,300
2025-09-11,107102.29,89900.29,17202.0,600
2025-09-12,110136.51,7656.51,102480.0,3500
2025-09-15,108256.8,7596.8,100660.0,3500
2025-09-16,111336.8,7596.8,103740.0,3500
2025-09-17,110472.13,7537.13,102935.0,3500
2025-09-18,113302.54,57610.54,55692.0,1800
2025-09-19,110005.22,7495.22,102510.0,3400
2025-09-22,111093.22,7495.22,103598.0,3400
2025-09-23,107591.22,7495.22,100096.0,3400
2025-09-24,111195.22,7495.22,103700.0,3400
2025-09-25,114629.22,7495.22,107134.0,3400
2025-09-26,109193.76,7431.76,101762.0,3400
2025-09-29,109839.76,7431.76,102408.0,3400
2025-09-30,110043.76,7431.76,102612.0,3400
2025-10-09,113001.76,7431.76,105570.0,3400
2025-10-10,107017.76,7431.76,99586.0,3400
2025-10-13,106065.76,7431.76,98634.0,3400
2025-10-14,102189.76,7431.76,94758.0,3400
2025-10-15,102519.15,93990.15,8529.0,300
2025-10-16,102504.31,85560.31,16944.0,600
2025-10-17,101502.74,79830.74,21672.0,800
2025-10-20,101792.18,93581.18,8211.0,300
2025-10-21,101980.41,93565.41,8415.0,300
2025-10-22,101856.59,93549.59,8307.0,300
2025-10-23,101744.71,93533.71,8211.0,300
2025-10-24,101950.93,93517.93,8433.0,300
2025-10-27,102069.98,93501.98,8568.0,300
