date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,99446.08,8762.08,90684.0,1800
2025-06-27,99968.08,8762.08,91206.0,1800
2025-06-30,100346.08,8762.08,91584.0,1800
2025-07-01,99554.08,8762.08,90792.0,1800
2025-07-02,97664.08,8762.08,88902.0,1800
2025-07-03,97462.62,97462.62,0.0,0
2025-07-04,97462.62,97462.62,0.0,0
2025-07-07,97462.62,97462.62,0.0,0
2025-07-08,97462.62,97462.62,0.0,0
2025-07-09,96547.8,9371.8,87176.0,1700
2025-07-10,96802.8,9371.8,87431.0,1700
2025-07-11,98162.8,9371.8,88791.0,1700
2025-07-14,97941.8,9371.8,88570.0,1700
2025-07-15,104214.8,9371.8,94843.0,1700
2025-07-16,102055.8,9371.8,92684.0,1700
2025-07-17,103415.8,9371.8,94044.0,1700
2025-07-18,103347.8,9371.8,93976.0,1700
2025-07-21,102429.8,9371.8,93058.0,1700
2025-07-22,101341.8,9371.8,91970.0,1700
2025-07-23,100916.8,9371.8,91545.0,1700
2025-07-24,101800.8,9371.8,92429.0,1700
2025-07-25,102684.8,9371.8,93313.0,1700
2025-07-28,102191.8,9371.8,92820.0,1700
2025-07-29,103126.8,9371.8,93755.0,1700
2025-07-30,102837.8,9371.8,93466.0,1700
2025-07-31,104180.8,9371.8,94809.0,1700
2025-08-01,101341.8,9371.8,91970.0,1700
2025-08-04,101290.8,9371.8,91919.0,1700
2025-08-05,103194.8,9371.8,93823.0,1700
2025-08-06,103364.8,9371.8,93993.0,1700
2025-08-07,102361.8,9371.8,92990.0,1700
2025-08-08,100644.8,9371.8,91273.0,1700
2025-08-11,101664.8,9371.8,92293.0,1700
2025-08-12,104996.8,9371.8,95625.0,1700
2025-08-13,108634.8,9371.8,99263.0,1700
2025-08-14,108753.55,9252.55,99501.0,1700
2025-08-15,109008.55,9252.55,99756.0,1700
2025-08-18,113071.55,9252.55,103819.0,1700
2025-08-19,111167.55,9252.55,101915.0,1700
2025-08-20,121367.55,9252.55,112115.0,1700
2025-08-21,120397.12,9115.12,111282.0,1700
2025-08-22,125055.12,9115.12,115940.0,1700
2025-08-25,126670.12,9115.12,117555.0,1700
2025-08-26,125599.12,9115.12,116484.0,1700
2025-08-27,121791.12,9115.12,112676.0,1700
2025-08-28,124545.12,9115.12,115430.0,1700
2025-08-29,123270.12,9115.12,114155.0,1700
2025-09-01,126296.12,9115.12,117181.0,1700
2025-09-02,117592.12,9115.12,108477.0,1700
2025-09-03,115603.12,9115.12,106488.0,1700
2025-09-04,109381.12,9115.12,100266.0,1700
2025-09-05,109482.74,109482.74,0.0,0
2025-09-08,109482.74,109482.74,0.0,0
2025-09-09,109482.74,109482.74,0.0,0
2025-09-10,109482.74,109482.74,0.0,0
2025-09-11,109482.74,109482.74,0.0,0
2025-09-12,109734.95,7206.95,102528.0,1600
2025-09-15,109238.95,7206.95,102032.0,1600
2025-09-16,112118.95,7206.95,104912.0,1600
2025-09-17,111350.95,7206.95,104144.0,1600
2025-09-18,111342.37,111342.37,0.0,0
2025-09-19,109305.63,6329.63,102976.0,1600
2025-09-22,109154.16,109154.16,0.0,0
