date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-26,BUY,sz000977,浪潮信息,DividendLowvolRotation,50.6751,50.67,1800,91215.12,22.8,0.0,9.12,31.92,8762.08,0.0,0.0,红利低波轮动：20日动量 +3.84%，量比 1.88，现价 > MA20×0.98（¥48.638）
2025-07-03,SELL,sz000977,浪潮信息,DividendLowvolRotation,49.3151,49.32,1800,88767.12,22.19,44.38,8.88,75.45,97462.62,-2537.38,-2.78,20日动量转负（-1.06%），趋势走坏
2025-07-09,BUY,sz000977,浪潮信息,DividendLowvolRotation,51.8052,51.8,1700,88068.81,22.02,0.0,8.81,30.82,9371.8,0.0,0.0,红利低波轮动：20日动量 +2.63%，量比 2.54，现价 > MA20×0.98（¥48.738）
2025-08-14,SELL,sz000977,浪潮信息,DividendLowvolRotation,58.4542,58.46,1700,99372.06,24.84,49.69,9.94,84.47,108669.33,11206.71,12.72,达到 +12% 止盈（当前 +12.7%）
2025-08-14,BUY,sz000977,浪潮信息,DividendLowvolRotation,58.4658,58.46,1700,99391.94,24.85,0.0,9.94,34.79,9252.55,0.0,0.0,红利低波轮动：20日动量 +7.10%，量比 2.27，现价 > MA20×0.98（¥53.852）
2025-08-21,SELL,sz000977,浪潮信息,DividendLowvolRotation,67.3633,67.37,1700,114517.55,28.63,57.26,11.45,97.34,123684.2,15014.87,15.1,达到 +12% 止盈（当前 +12.8%）
2025-08-21,BUY,sz000977,浪潮信息,DividendLowvolRotation,67.3767,67.37,1700,114540.45,28.64,0.0,11.45,40.09,9115.12,0.0,0.0,红利低波轮动：20日动量 +22.47%，量比 1.56，现价 > MA20×0.98（¥55.366）
2025-09-05,SELL,sz000977,浪潮信息,DividendLowvolRotation,59.0841,59.09,1700,100442.95,25.11,50.22,10.05,85.38,109482.74,-14201.47,-12.4,触发 -10% 止损（当前 -12.5%）
2025-09-12,BUY,sz000977,浪潮信息,DividendLowvolRotation,63.9064,63.9,1600,102250.22,25.56,0.0,10.22,35.79,7206.95,0.0,0.0,红利低波轮动：20日动量 +9.33%，量比 1.62，现价 > MA20×0.98（¥62.447）
2025-09-18,SELL,sz000977,浪潮信息,DividendLowvolRotation,65.1335,65.14,1600,104213.58,26.05,52.11,10.42,88.58,111342.37,1859.63,1.82,20日动量转负（-1.30%），趋势走坏
