date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-14,BUY,sz000977,浪潮信息,DonchianTurtle,52.5052,52.5,1800,94509.45,23.63,0.0,9.45,33.08,5466.92,0.0,0.0,海龟突破：现价 ¥52.230 突破 20 日高点 ¥52.220，ATR(20)=1.114 → 2×ATR 止损 ¥50.260
2025-08-21,SELL,sz000977,浪潮信息,DonchianTurtle,67.3633,67.37,1800,121253.87,30.31,60.63,12.13,103.07,126629.86,26629.86,28.17,达到 +25% 止盈（当前 +25.6%）
2025-08-21,BUY,sz000977,浪潮信息,DonchianTurtle,67.3767,67.37,1700,114540.45,28.64,0.0,11.45,40.09,12060.77,0.0,0.0,海龟突破：现价 ¥65.950 突破 20 日高点 ¥61.600，ATR(20)=1.919 → 2×ATR 止损 ¥62.440
2025-09-05,SELL,sz000977,浪潮信息,DonchianTurtle,59.0841,59.09,1700,100442.95,25.11,50.22,10.05,85.38,112428.39,-14201.47,-12.4,海龟离场：跌破 10 日低点 ¥62.230
2025-09-26,BUY,sz000977,浪潮信息,DonchianTurtle,76.4576,76.45,1300,99394.94,24.85,0.0,9.94,34.79,13008.6,0.0,0.0,海龟突破：现价 ¥76.050 突破 20 日高点 ¥70.980，ATR(20)=3.287 → 2×ATR 止损 ¥69.860
2025-10-13,SELL,sz000977,浪潮信息,DonchianTurtle,65.9934,66.0,1300,85791.42,21.45,42.9,8.58,72.92,98735.68,-13692.71,-13.77,触发 -8% 止损（当前 -8.9%）
2025-12-10,BUY,sz000977,浪潮信息,DonchianTurtle,63.0263,63.02,1400,88236.82,22.06,0.0,8.82,30.88,10476.8,0.0,0.0,海龟突破：现价 ¥64.380 突破 20 日高点 ¥64.330，ATR(20)=2.008 → 2×ATR 止损 ¥60.680
2026-01-20,SELL,sz000977,浪潮信息,DonchianTurtle,65.7634,65.77,1400,92068.79,23.02,46.03,9.21,78.26,102476.54,3740.86,4.24,海龟离场：跌破 10 日低点 ¥66.200
2026-04-10,BUY,sz000977,浪潮信息,DonchianTurtle,65.7766,65.77,1400,92087.21,23.02,0.0,9.21,32.23,10366.31,0.0,0.0,海龟突破：现价 ¥65.070 突破 20 日高点 ¥64.840，ATR(20)=2.593 → 2×ATR 止损 ¥60.220
2026-05-22,SELL,sz000977,浪潮信息,DonchianTurtle,67.1933,67.2,1400,94070.59,23.52,47.04,9.41,79.96,104366.35,1889.81,2.05,海龟离场：跌破 10 日低点 ¥67.300
