date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sz000977,浪潮信息,GridMartingale,48.9049,48.9,200,9780.98,5.0,0.0,0.98,5.98,90214.02,0.0,0.0,网格买入：现价 ¥49.000 位于 20 日区间 ¥48.310-¥53.050 的 15% 位置
2025-06-24,BUY,sz000977,浪潮信息,GridMartingale,48.7149,48.71,100,4871.49,5.0,0.0,0.49,5.49,85337.53,0.0,0.0,网格买入：现价 ¥48.140 位于 20 日区间 ¥47.710-¥53.050 的 8% 位置
2025-06-25,BUY,sz000977,浪潮信息,GridMartingale,49.515,49.51,100,4951.5,5.0,0.0,0.5,5.5,80381.04,0.0,0.0,网格买入：现价 ¥49.460 位于 20 日区间 ¥47.210-¥53.050 的 39% 位置
2025-07-03,BUY,sz000977,浪潮信息,GridMartingale,49.3249,49.32,100,4932.49,5.0,0.0,0.49,5.49,75443.55,0.0,0.0,网格买入：现价 ¥49.390 位于 20 日区间 ¥47.210-¥53.050 的 37% 位置
2025-07-08,BUY,sz000977,浪潮信息,GridMartingale,49.735,49.73,100,4973.5,5.0,0.0,0.5,5.5,70465.05,0.0,0.0,网格买入：现价 ¥49.710 位于 20 日区间 ¥47.210-¥53.050 的 43% 位置
2025-07-09,SELL,sz000977,浪潮信息,GridMartingale,51.7948,51.8,300,15538.45,5.0,7.77,1.55,14.32,85990.73,863.21,5.89,网格上沿止盈：现价位于区间 80% 位置，浮盈 +5.4%
2025-07-10,SELL,sz000977,浪潮信息,GridMartingale,51.4049,51.41,100,5140.49,5.0,2.57,0.51,8.08,91123.64,176.42,3.56,网格上沿止盈：现价位于区间 86% 位置，浮盈 +3.4%
2025-07-11,SELL,sz000977,浪潮信息,GridMartingale,51.4149,51.42,100,5141.49,5.0,2.57,0.51,8.08,96257.56,196.42,3.98,网格上沿止盈：现价位于区间 89% 位置，浮盈 +3.7%
2025-08-11,BUY,sz000977,浪潮信息,GridMartingale,53.5654,53.56,100,5356.54,5.0,0.0,0.54,5.54,90896.02,0.0,0.0,网格买入：现价 ¥53.690 位于 20 日区间 ¥51.030-¥57.120 的 44% 位置
2025-08-13,SELL,sz000977,浪潮信息,GridMartingale,56.4844,56.49,100,5648.44,5.0,2.82,0.56,8.39,96536.63,662.11,13.3,网格上沿止盈：现价位于区间 86% 位置，浮盈 +8.8%
2025-09-05,BUY,sz000977,浪潮信息,GridMartingale,59.0959,59.09,100,5909.59,5.0,0.0,0.59,5.59,90622.04,0.0,0.0,网格买入：现价 ¥58.980 位于 20 日区间 ¥53.500-¥71.500 的 30% 位置
2025-09-08,BUY,sz000977,浪潮信息,GridMartingale,60.196,60.19,100,6019.6,5.0,0.0,0.6,5.6,84597.44,0.0,0.0,网格买入：现价 ¥60.200 位于 20 日区间 ¥53.500-¥71.500 的 37% 位置
2025-09-09,BUY,sz000977,浪潮信息,GridMartingale,59.5059,59.5,100,5950.6,5.0,0.0,0.6,5.59,78641.84,0.0,0.0,网格买入：现价 ¥59.790 位于 20 日区间 ¥53.500-¥71.500 的 35% 位置
