date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-08-25,BUY,sz002371,北方华创,MultiFactor,394.3194,394.28,200,78863.89,19.72,0.0,7.89,27.6,21116.4,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / vol price sync +0.13 / T1 ma20 bias +0.12
2025-09-05,SELL,sz002371,北方华创,MultiFactor,350.9149,350.95,200,70182.98,17.55,35.09,7.02,59.66,91246.74,-8753.26,-11.1,触发 -8% 止损（当前 -11.0%）
2025-09-25,BUY,sz002371,北方华创,MultiFactor,469.3769,469.33,100,46937.69,11.73,0.0,4.69,16.43,44297.31,0.0,0.0,多因子综合 +0.77（8 因子）| Top3: M1 momentum 20d +0.20 / T3 breakout 60d +0.13 / vol price sync +0.13
2025-10-15,SELL,sz002371,北方华创,MultiFactor,405.4595,405.5,100,40545.94,10.14,20.27,4.06,34.46,84812.85,-6433.89,-13.7,触发 -8% 止损（当前 -14.4%）
2025-12-02,BUY,sz002371,北方华创,MultiFactor,442.6243,442.58,100,44262.43,11.07,0.0,4.43,15.49,40539.36,0.0,0.0,多因子综合 +0.62（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.11
2026-01-08,SELL,sz002371,北方华创,MultiFactor,515.3685,515.42,100,51536.85,12.88,25.77,5.15,43.81,92037.55,7224.7,16.32,达到 +15% 止盈（当前 +16.4%）
2026-01-08,BUY,sz002371,北方华创,MultiFactor,515.4715,515.42,100,51547.15,12.89,0.0,5.15,18.04,40477.51,0.0,0.0,多因子综合 +0.86（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.14 / vol price sync +0.13
2026-02-03,SELL,sz002371,北方华创,MultiFactor,466.4534,466.5,100,46645.33,11.66,23.32,4.67,39.65,87087.86,-4949.69,-9.6,触发 -8% 止损（当前 -10.5%）
2026-04-28,BUY,sz002371,北方华创,MultiFactor,511.5912,511.54,100,51159.12,12.79,0.0,5.12,17.91,35915.96,0.0,0.0,多因子综合 +0.73（8 因子）| Top3: M1 momentum 20d +0.20 / vol price sync +0.13 / T3 breakout 60d +0.12
2026-05-18,SELL,sz002371,北方华创,MultiFactor,600.9399,601.0,100,60093.99,15.02,30.05,6.01,51.08,95964.88,8877.01,17.35,达到 +15% 止盈（当前 +15.7%）
2026-05-18,BUY,sz002371,北方华创,MultiFactor,601.0601,601.0,100,60106.01,15.03,0.0,6.01,21.04,35843.84,0.0,0.0,多因子综合 +0.82（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2026-05-26,SELL,sz002371,北方华创,MultiFactor,689.931,690.0,100,68993.1,17.25,34.5,6.9,58.64,104785.19,8820.32,14.67,达到 +15% 止盈（当前 +16.1%）
2026-05-26,BUY,sz002371,北方华创,MultiFactor,690.069,690.0,100,69006.9,17.25,0.0,6.9,24.15,35761.04,0.0,0.0,多因子综合 +0.62（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2026-06-01,SELL,sz002371,北方华创,MultiFactor,624.9275,624.99,100,62492.75,15.62,31.25,6.25,53.12,98206.92,-6578.27,-9.53,触发 -8% 止损（当前 -8.7%）
2026-06-15,BUY,sz002371,北方华创,MultiFactor,669.867,669.8,100,66986.7,16.75,0.0,6.7,23.44,31203.48,0.0,0.0,多因子综合 +0.62（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2026-06-18,SELL,sz002371,北方华创,MultiFactor,720.9679,721.04,100,72096.79,18.02,36.05,7.21,61.28,103246.2,5039.27,7.52,回测结束强平
