date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-24,BUY,sz002371,北方华创,ScenarioRouter,437.0337,436.99,200,87406.74,21.85,0.0,8.74,30.59,12571.41,0.0,0.0,红利低波轮动：20日动量 +3.23%，量比 1.74，现价 > MA20×0.98（¥413.738）
2025-06-26,SELL,sz002371,北方华创,ScenarioRouter,441.9558,442.0,100,44195.58,11.05,22.1,4.42,37.57,56733.84,448.14,1.03,网格上沿止盈：现价位于区间 97% 位置，浮盈 +1.0%
2025-07-01,BUY,sz002371,北方华创,ScenarioRouter,442.6443,442.6,100,44264.43,11.07,0.0,4.43,15.49,12458.35,0.0,0.0,红利低波轮动：20日动量 +5.65%，量比 1.26，现价 > MA20×0.98（¥417.174）
2025-07-02,SELL,sz002371,北方华创,ScenarioRouter,444.7555,444.8,100,44475.55,11.12,22.24,4.45,37.8,56900.55,727.9,1.67,网格上沿止盈：现价位于区间 89% 位置，浮盈 +0.8%
2025-07-04,SELL,sz002371,北方华创,ScenarioRouter,326.9573,326.99,100,32695.73,8.17,16.35,3.27,27.79,89571.75,-11604.28,-26.21,触发 -8% 止损（当前 -25.9%）
2025-07-04,BUY,sz002371,北方华创,ScenarioRouter,327.0227,326.99,200,65404.54,16.35,0.0,6.54,22.89,24150.86,0.0,0.0,跨境定投：现价 ¥328.170 < MA60×0.95（¥413.564），RSI=25.4，量比=1.12
2025-07-07,SELL,sz002371,北方华创,ScenarioRouter,337.2663,337.3,200,67453.25,16.86,33.73,6.75,57.34,91553.53,1981.77,3.03,20日动量转负（-22.15%），趋势走坏
2025-07-07,BUY,sz002371,北方华创,ScenarioRouter,337.3337,337.3,200,67466.75,16.87,0.0,6.75,23.61,24069.91,0.0,0.0,跨境定投：现价 ¥335.150 < MA60×0.95（¥412.018），RSI=27.6，量比=1.92
2025-07-08,SELL,sz002371,北方华创,ScenarioRouter,334.0666,334.1,200,66813.32,16.7,33.41,6.68,56.79,90833.12,-720.4,-1.07,20日动量转负（-22.60%），趋势走坏
2025-07-08,BUY,sz002371,北方华创,ScenarioRouter,334.1334,334.1,200,66826.68,16.71,0.0,6.68,23.39,23989.73,0.0,0.0,跨境定投：现价 ¥332.680 < MA60×0.95（¥410.461），RSI=25.8，量比=0.84
