date,equity,cash,position_value
2025-08-01,1000000.0,1000000.0,0.0
2025-08-04,1000000.0,1000000.0,0.0
2025-08-05,1000000.0,1000000.0,0.0
2025-08-06,1000000.0,1000000.0,0.0
2025-08-07,1000000.0,1000000.0,0.0
2025-08-08,1000000.0,1000000.0,0.0
2025-08-11,1000000.0,1000000.0,0.0
2025-08-12,1000000.0,1000000.0,0.0
2025-08-13,1000000.0,1000000.0,0.0
2025-08-14,1000000.0,1000000.0,0.0
2025-08-15,1000000.0,1000000.0,0.0
2025-08-18,1000000.0,1000000.0,0.0
2025-08-19,1000000.0,1000000.0,0.0
2025-08-20,1000000.0,1000000.0,0.0
2025-08-21,1000000.0,1000000.0,0.0
2025-08-22,1000000.0,1000000.0,0.0
2025-08-25,1000000.0,1000000.0,0.0
2025-08-26,1000000.0,1000000.0,0.0
2025-08-27,1000000.0,1000000.0,0.0
2025-08-28,1000000.0,1000000.0,0.0
2025-08-29,1000000.0,1000000.0,0.0
2025-09-01,1000000.0,1000000.0,0.0
2025-09-02,1000821.31,805986.11,194835.2
2025-09-03,993787.66,181221.96,812565.7
2025-09-04,947697.36,181221.96,766475.4
2025-09-05,965485.28,464928.28,500557.0
2025-09-08,966131.87,374857.77,591274.1
2025-09-09,959004.52,492614.52,466390.0
2025-09-10,957889.32,492614.52,465274.8
2025-09-11,959256.76,647187.36,312069.4
2025-09-12,960480.87,271110.57,689370.3
2025-09-15,964894.07,271110.57,693783.5
2025-09-16,963572.87,271110.57,692462.3
2025-09-17,966475.87,271110.57,695365.3
2025-09-18,962222.27,271110.57,691111.7
2025-09-19,958816.27,271110.57,687705.7
2025-09-22,962751.57,271110.57,691641.0
2025-09-23,957468.67,271110.57,686358.1
2025-09-24,970027.97,271110.57,698917.4
2025-09-25,980020.52,190936.32,789084.2
2025-09-26,961512.22,190936.32,770575.9
2025-09-29,968363.12,190936.32,777426.8
2025-09-30,893421.22,190936.32,702484.9
2025-10-09,907786.39,273097.49,634688.9
2025-10-10,880483.29,273097.49,607385.8
2025-10-13,895264.59,273097.49,622167.1
2025-10-14,870671.19,273097.49,597573.7
2025-10-15,874505.86,423254.56,451251.3
2025-10-16,868339.16,423254.56,445084.6
2025-10-17,849431.86,423254.56,426177.3
2025-10-20,864493.66,423254.56,441239.1
2025-10-21,869178.83,546967.73,322211.1
2025-10-22,861098.63,546967.73,314130.9
2025-10-23,855036.23,546967.73,308068.5
2025-10-24,862559.48,701049.88,161509.6
2025-10-27,866470.38,701049.88,165420.5
2025-10-28,864990.58,701049.88,163940.7
2025-10-29,865413.38,701049.88,164363.5
2025-10-30,860989.99,565430.99,295559.0
2025-10-31,853290.49,565430.99,287859.5
2025-11-03,854200.93,720087.93,134113.0
2025-11-04,855649.93,720087.93,135562.0
2025-11-05,854223.93,720087.93,134136.0
2025-11-06,855557.93,720087.93,135470.0
2025-11-07,855534.93,720087.93,135447.0
2025-11-10,856477.93,720087.93,136390.0
2025-11-11,856247.93,720087.93,136160.0
2025-11-12,858156.93,720087.93,138069.0
2025-11-13,860111.93,720087.93,140024.0
2025-11-14,859582.93,720087.93,139495.0
2025-11-17,857696.93,720087.93,137609.0
2025-11-18,857213.93,720087.93,137126.0
2025-11-19,858938.93,720087.93,138851.0
2025-11-20,858547.93,720087.93,138460.0
2025-11-21,855580.93,720087.93,135493.0
2025-11-24,854407.93,720087.93,134320.0
2025-11-25,856868.93,720087.93,136781.0
2025-11-26,857581.93,720087.93,137494.0
2025-11-27,856569.93,720087.93,136482.0
2025-11-28,856399.32,856399.32,0.0
2025-12-01,856399.32,856399.32,0.0
2025-12-02,856399.32,856399.32,0.0
2025-12-03,856399.32,856399.32,0.0
2025-12-04,856399.32,856399.32,0.0
2025-12-05,856399.32,856399.32,0.0
2025-12-08,860025.03,695185.03,164840.0
2025-12-09,859071.75,560429.75,298642.0
2025-12-10,859576.55,560429.75,299146.8
2025-12-11,856178.95,560429.75,295749.2
2025-12-12,861480.55,560429.75,301050.8
2025-12-15,867927.35,560429.75,307497.6
2025-12-16,864944.95,560429.75,304515.2
2025-12-17,871102.15,560429.75,310672.4
2025-12-18,870721.75,560429.75,310292.0
2025-12-19,871779.75,560429.75,311350.0
2025-12-22,873028.95,560429.75,312599.2
2025-12-23,874846.15,560429.75,314416.4
2025-12-24,874629.35,560429.75,314199.6
2025-12-25,881029.87,452087.67,428942.2
2025-12-26,882714.47,452087.67,430626.8
2025-12-29,879493.67,452087.67,427406.0
2025-12-30,877898.57,452087.67,425810.9
2025-12-31,877939.27,452087.67,425851.6
2026-01-05,895518.07,452087.67,443430.4
2026-01-06,905373.9,268690.7,636683.2
2026-01-07,907450.8,268690.7,638760.1
2026-01-08,905152.9,268690.7,636462.2
2026-01-09,913673.74,332954.44,580719.3
2026-01-12,933341.14,332954.44,600386.7
2026-01-13,920426.74,332954.44,587472.3
2026-01-14,929303.24,332954.44,596348.8
2026-01-15,928086.64,434342.84,493743.8
2026-01-16,929147.34,434342.84,494804.5
2026-01-19,923794.93,351513.13,572281.8
2026-01-20,916766.33,351513.13,565253.2
2026-01-21,927674.15,446984.05,480690.1
2026-01-22,929740.05,446984.05,482756.0
2026-01-23,934571.65,446984.05,487587.6
2026-01-26,926389.53,462492.53,463897.0
2026-01-27,932645.69,545224.99,387420.7
2026-01-28,940862.27,439532.57,501329.7
2026-01-29,932454.92,469489.92,462965.0
2026-01-30,930536.79,378559.99,551976.8
2026-02-02,904629.49,378559.99,526069.5
2026-02-03,911855.16,583132.96,328722.2
2026-02-04,908664.39,715902.39,192762.0
2026-02-05,904935.09,715902.39,189032.7
2026-02-06,904778.44,800473.34,104305.1
2026-02-09,907089.84,800473.34,106616.5
2026-02-10,906861.24,800473.34,106387.9
2026-02-11,906728.26,906728.26,0.0
2026-02-12,906728.26,906728.26,0.0
2026-02-13,906728.26,906728.26,0.0
2026-02-24,906728.26,906728.26,0.0
2026-02-25,906728.26,906728.26,0.0
2026-02-26,906728.26,906728.26,0.0
2026-02-27,906728.26,906728.26,0.0
2026-03-02,906728.26,906728.26,0.0
2026-03-03,906728.26,906728.26,0.0
2026-03-04,906728.26,906728.26,0.0
2026-03-05,906728.26,906728.26,0.0
2026-03-06,906728.26,906728.26,0.0
2026-03-09,906413.68,730794.28,175619.4
2026-03-10,906143.08,730794.28,175348.8
2026-03-11,909119.68,730794.28,178325.4
2026-03-12,911013.88,730794.28,180219.6
2026-03-13,909390.28,730794.28,178596.0
2026-03-16,911284.48,730794.28,180490.2
2026-03-17,908307.88,730794.28,177513.6
2026-03-18,908037.28,730794.28,177243.0
2026-03-19,903978.28,730794.28,173184.0
2026-03-20,901542.88,730794.28,170748.6
2026-03-23,891530.68,730794.28,160736.4
2026-03-24,891329.76,891329.76,0.0
2026-03-25,891329.76,891329.76,0.0
2026-03-26,891329.76,891329.76,0.0
2026-03-27,891329.76,891329.76,0.0
2026-03-30,891329.76,891329.76,0.0
2026-03-31,891329.76,891329.76,0.0
2026-04-01,891329.76,891329.76,0.0
2026-04-02,891329.76,891329.76,0.0
2026-04-03,891329.76,891329.76,0.0
2026-04-07,891329.76,891329.76,0.0
2026-04-08,891329.76,891329.76,0.0
2026-04-09,891329.76,891329.76,0.0
2026-04-10,891329.76,891329.76,0.0
2026-04-13,891329.76,891329.76,0.0
2026-04-14,891329.76,891329.76,0.0
2026-04-15,891329.76,891329.76,0.0
2026-04-16,891329.76,891329.76,0.0
2026-04-17,894655.25,718419.05,176236.2
2026-04-20,896250.95,718419.05,177831.9
2026-04-21,893690.27,579691.37,313998.9
2026-04-22,901067.67,579691.37,321376.3
2026-04-23,896172.88,467304.28,428868.6
2026-04-24,894061.28,467304.28,426757.0
2026-04-27,901098.08,467304.28,433793.8
2026-04-28,893925.88,467304.28,426621.6
2026-04-29,897971.28,467304.28,430667.0
2026-04-30,909472.68,467304.28,442168.4
2026-05-06,926958.78,467304.28,459654.5
2026-05-07,936388.28,467304.28,469084.0
2026-05-08,931757.27,366119.57,565637.7
2026-05-11,947067.67,366119.57,580948.1
2026-05-12,946296.25,296021.05,650275.2
2026-05-13,967437.75,296021.05,671416.7
2026-05-14,953305.28,403990.48,549314.8
2026-05-15,946337.78,403990.48,542347.3
2026-05-18,949835.58,403990.48,545845.1
2026-05-19,961230.48,403990.48,557240.0
2026-05-20,966433.38,403990.48,562442.9
2026-05-21,944326.28,403990.48,540335.8
2026-05-22,957165.38,403990.48,553174.9
2026-05-25,976780.82,547533.62,429247.2
2026-05-26,972686.9,553665.6,419021.3
2026-05-27,970971.71,664478.91,306492.8
2026-05-28,986015.64,603855.04,382160.6
2026-05-29,959617.94,603855.04,355762.9
2026-06-01,943034.94,585306.74,357728.2
2026-06-02,948940.44,585306.74,363633.7
2026-06-03,963120.94,585306.74,377814.2
2026-06-04,967481.64,585306.74,382174.9
2026-06-05,951995.24,585306.74,366688.5
2026-06-08,935351.74,585306.74,350045.0
2026-06-09,945895.99,713666.09,232229.9
2026-06-10,943379.49,713666.09,229713.4
2026-06-11,942482.89,713666.09,228816.8
2026-06-12,940805.66,803494.46,137311.2
2026-06-15,948955.66,803494.46,145461.2
2026-06-16,963220.36,647827.56,315392.8
2026-06-17,983111.96,647827.56,335284.4
2026-06-18,992876.38,667978.18,324898.2
