date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sh600460,士兰微,GridMartingale,23.9024,23.9,400,9560.96,5.0,0.0,0.96,5.96,90434.04,0.0,0.0,网格买入：现价 ¥23.990 位于 20 日区间 ¥23.480-¥25.580 的 24% 位置
2025-06-20,BUY,sh600460,士兰微,GridMartingale,23.7324,23.73,300,7119.71,5.0,0.0,0.71,5.71,83309.33,0.0,0.0,网格买入：现价 ¥23.880 位于 20 日区间 ¥23.480-¥25.580 的 19% 位置
2025-06-23,BUY,sh600460,士兰微,GridMartingale,23.3723,23.37,300,7011.7,5.0,0.0,0.7,5.7,76292.63,0.0,0.0,网格买入：现价 ¥23.600 位于 20 日区间 ¥23.480-¥25.580 的 6% 位置
2025-06-24,BUY,sh600460,士兰微,GridMartingale,24.0824,24.08,300,7224.72,5.0,0.0,0.72,5.72,69062.91,0.0,0.0,网格买入：现价 ¥24.030 位于 20 日区间 ¥23.480-¥25.180 的 32% 位置
2025-06-25,SELL,sh600460,士兰微,GridMartingale,24.4576,24.46,600,14674.53,5.0,7.34,1.47,13.8,83725.1,346.43,2.42,网格上沿止盈：现价位于区间 85% 位置，浮盈 +2.7%
2025-06-26,SELL,sh600460,士兰微,GridMartingale,24.8575,24.86,300,7457.25,5.0,3.73,0.75,9.47,91173.63,395.82,5.61,网格上沿止盈：现价位于区间 125% 位置，浮盈 +4.6%
2025-06-27,SELL,sh600460,士兰微,GridMartingale,24.7375,24.74,200,4947.51,5.0,2.47,0.49,7.97,96113.66,191.22,4.03,网格上沿止盈：现价位于区间 84% 位置，浮盈 +3.0%
2025-06-30,SELL,sh600460,士兰微,GridMartingale,24.8275,24.83,100,2482.75,5.0,1.24,0.25,6.49,98590.17,66.6,2.76,网格上沿止盈：现价位于区间 85% 位置，浮盈 +2.7%
2025-09-05,BUY,sh600460,士兰微,GridMartingale,28.5529,28.55,300,8565.86,5.0,0.0,0.86,5.86,90019.31,0.0,0.0,网格买入：现价 ¥28.470 位于 20 日区间 ¥26.310-¥33.740 的 29% 位置
2025-09-08,BUY,sh600460,士兰微,GridMartingale,29.3929,29.39,300,8817.88,5.0,0.0,0.88,5.88,81196.43,0.0,0.0,网格买入：现价 ¥29.390 位于 20 日区间 ¥26.690-¥33.740 的 38% 位置
2025-09-09,BUY,sh600460,士兰微,GridMartingale,29.563,29.56,200,5912.59,5.0,0.0,0.59,5.59,75278.84,0.0,0.0,网格买入：现价 ¥29.830 位于 20 日区间 ¥26.690-¥33.740 的 45% 位置
2025-09-10,BUY,sh600460,士兰微,GridMartingale,28.8529,28.85,200,5770.58,5.0,0.0,0.58,5.58,69503.26,0.0,0.0,网格买入：现价 ¥28.840 位于 20 日区间 ¥26.690-¥33.740 的 30% 位置
2025-09-11,BUY,sh600460,士兰微,GridMartingale,28.8329,28.83,200,5766.58,5.0,0.0,0.58,5.58,63731.69,0.0,0.0,网格买入：现价 ¥28.920 位于 20 日区间 ¥26.710-¥33.740 的 31% 位置
2025-09-12,BUY,sh600460,士兰微,GridMartingale,29.833,29.83,200,5966.6,5.0,0.0,0.6,5.6,57760.09,0.0,0.0,网格买入：现价 ¥29.800 位于 20 日区间 ¥26.710-¥33.740 的 44% 位置
2025-09-18,BUY,sh600460,士兰微,GridMartingale,30.183,30.18,100,3018.3,5.0,0.0,0.3,5.3,54736.79,0.0,0.0,网格买入：现价 ¥30.180 位于 20 日区间 ¥27.280-¥33.740 的 45% 位置
2025-10-09,SELL,sh600460,士兰微,GridMartingale,31.7468,31.75,800,25397.46,6.35,12.7,2.54,21.59,80115.2,2615.97,11.49,网格上沿止盈：现价位于区间 83% 位置，浮盈 +8.7%
2025-10-10,SELL,sh600460,士兰微,GridMartingale,32.0968,32.1,400,12838.72,5.0,6.42,1.28,12.7,92942.5,1207.14,10.39,网格上沿止盈：现价位于区间 109% 位置，浮盈 +10.8%
2025-10-14,SELL,sh600460,士兰微,GridMartingale,33.3967,33.4,200,6679.33,5.0,3.34,0.67,9.01,99613.49,799.41,13.61,网格上沿止盈：现价位于区间 108% 位置，浮盈 +12.3%
2025-10-20,BUY,sh600460,士兰微,GridMartingale,32.9333,32.93,300,9879.99,5.0,0.0,0.99,5.99,89728.5,0.0,0.0,网格买入：现价 ¥29.940 位于 20 日区间 ¥28.680-¥34.210 的 23% 位置
2025-10-23,BUY,sh600460,士兰微,GridMartingale,30.8331,30.83,200,6166.62,5.0,0.0,0.62,5.62,83556.89,0.0,0.0,网格买入：现价 ¥31.190 位于 20 日区间 ¥29.340-¥34.210 的 38% 位置
2025-10-24,BUY,sh600460,士兰微,GridMartingale,30.5031,30.5,200,6100.61,5.0,0.0,0.61,5.61,77451.28,0.0,0.0,网格买入：现价 ¥30.250 位于 20 日区间 ¥29.340-¥34.210 的 19% 位置
2025-10-27,BUY,sh600460,士兰微,GridMartingale,31.5732,31.57,200,6314.63,5.0,0.0,0.63,5.63,71131.64,0.0,0.0,网格买入：现价 ¥31.120 位于 20 日区间 ¥29.340-¥34.210 的 37% 位置
2025-11-04,BUY,sh600460,士兰微,GridMartingale,31.0831,31.08,200,6216.62,5.0,0.0,0.62,5.62,64910.02,0.0,0.0,网格买入：现价 ¥31.240 位于 20 日区间 ¥29.700-¥34.210 的 34% 位置
2025-11-05,BUY,sh600460,士兰微,GridMartingale,29.803,29.8,200,5960.6,5.0,0.0,0.6,5.6,58944.43,0.0,0.0,网格买入：现价 ¥30.370 位于 20 日区间 ¥29.700-¥34.210 的 15% 位置
2025-11-06,BUY,sh600460,士兰微,GridMartingale,30.113,30.11,100,3011.3,5.0,0.0,0.3,5.3,55928.13,0.0,0.0,网格买入：现价 ¥29.910 位于 20 日区间 ¥29.700-¥34.210 的 5% 位置
2025-11-07,BUY,sh600460,士兰微,GridMartingale,29.763,29.76,100,2976.3,5.0,0.0,0.3,5.3,52946.83,0.0,0.0,网格买入：现价 ¥30.060 位于 20 日区间 ¥29.310-¥34.210 的 15% 位置
2025-11-25,BUY,sh600460,士兰微,GridMartingale,27.5027,27.5,100,2750.28,5.0,0.0,0.27,5.28,50191.55,0.0,0.0,网格买入：现价 ¥27.330 位于 20 日区间 ¥27.000-¥33.200 的 5% 位置
2026-01-22,SELL,sh600460,士兰微,GridMartingale,31.9968,32.0,900,28797.12,7.2,14.4,2.88,24.48,78967.08,604.21,2.14,网格上沿止盈：现价位于区间 107% 位置，浮盈 +2.4%
2026-01-23,SELL,sh600460,士兰微,GridMartingale,30.9969,31.0,400,12398.76,5.0,6.2,1.24,12.44,91354.64,-153.69,-1.23,网格上沿止盈：现价位于区间 89% 位置，浮盈 +2.8%
2026-01-26,SELL,sh600460,士兰微,GridMartingale,31.5968,31.6,200,6319.37,5.0,3.16,0.63,8.79,97665.84,345.61,5.79,网格上沿止盈：现价位于区间 90% 位置，浮盈 +7.6%
2026-01-28,SELL,sh600460,士兰微,GridMartingale,31.8768,31.88,100,3187.68,5.0,1.59,0.32,6.91,100846.93,164.79,5.46,网格上沿止盈：现价位于区间 98% 位置，浮盈 +9.7%
2026-01-29,SELL,sh600460,士兰微,GridMartingale,33.2967,33.3,100,3329.67,5.0,1.66,0.33,7.0,104169.93,341.7,11.46,网格上沿止盈：现价位于区间 144% 位置，浮盈 +18.5%
2026-02-03,BUY,sh600460,士兰微,GridMartingale,31.4031,31.4,300,9420.94,5.0,0.0,0.94,5.94,94743.99,0.0,0.0,网格买入：现价 ¥30.690 位于 20 日区间 ¥28.550-¥34.980 的 33% 位置
2026-02-04,BUY,sh600460,士兰微,GridMartingale,30.5331,30.53,300,9159.92,5.0,0.0,0.92,5.92,85579.08,0.0,0.0,网格买入：现价 ¥31.000 位于 20 日区间 ¥28.620-¥34.980 的 37% 位置
2026-02-05,BUY,sh600460,士兰微,GridMartingale,29.863,29.86,200,5972.6,5.0,0.0,0.6,5.6,79601.48,0.0,0.0,网格买入：现价 ¥30.400 位于 20 日区间 ¥28.620-¥34.980 的 28% 位置
2026-02-06,BUY,sh600460,士兰微,GridMartingale,30.303,30.3,200,6060.61,5.0,0.0,0.61,5.61,73535.87,0.0,0.0,网格买入：现价 ¥31.120 位于 20 日区间 ¥28.620-¥34.980 的 39% 位置
2026-02-09,BUY,sh600460,士兰微,GridMartingale,30.6231,30.62,200,6124.61,5.0,0.0,0.61,5.61,67406.26,0.0,0.0,网格买入：现价 ¥30.180 位于 20 日区间 ¥28.620-¥34.980 的 25% 位置
2026-02-11,BUY,sh600460,士兰微,GridMartingale,30.8631,30.86,200,6172.62,5.0,0.0,0.62,5.62,61228.64,0.0,0.0,网格买入：现价 ¥31.020 位于 20 日区间 ¥28.620-¥34.980 的 38% 位置
