date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,99092.93,5498.93,93594.0,3800
2025-06-27,99510.93,5498.93,94012.0,3800
2025-06-30,99814.93,5498.93,94316.0,3800
2025-07-01,100346.93,5498.93,94848.0,3800
2025-07-02,99320.93,5498.93,93822.0,3800
2025-07-03,99396.93,5498.93,93898.0,3800
2025-07-04,98636.93,5498.93,93138.0,3800
2025-07-07,98104.93,5498.93,92606.0,3800
2025-07-08,99890.93,5498.93,94392.0,3800
2025-07-09,99586.93,5498.93,94088.0,3800
2025-07-10,100232.93,5498.93,94734.0,3800
2025-07-11,100574.93,5498.93,95076.0,3800
2025-07-14,100080.93,5498.93,94582.0,3800
2025-07-15,101638.93,5498.93,96140.0,3800
2025-07-16,101334.93,5498.93,95836.0,3800
2025-07-17,102398.93,5498.93,96900.0,3800
2025-07-18,102170.93,5498.93,96672.0,3800
2025-07-21,102664.93,5498.93,97166.0,3800
2025-07-22,101752.93,5498.93,96254.0,3800
2025-07-23,101904.93,5498.93,96406.0,3800
2025-07-24,103272.93,5498.93,97774.0,3800
2025-07-25,105324.93,5498.93,99826.0,3800
2025-07-28,105438.93,5498.93,99940.0,3800
2025-07-29,105780.93,5498.93,100282.0,3800
2025-07-30,104108.93,5498.93,98610.0,3800
2025-07-31,102740.93,5498.93,97242.0,3800
2025-08-01,104678.93,5498.93,99180.0,3800
2025-08-04,104640.93,5498.93,99142.0,3800
2025-08-05,104108.93,5498.93,98610.0,3800
2025-08-06,105438.93,5498.93,99940.0,3800
2025-08-07,110834.93,5498.93,105336.0,3800
2025-08-08,107832.93,5498.93,102334.0,3800
2025-08-11,108250.93,5498.93,102752.0,3800
2025-08-12,108820.93,5498.93,103322.0,3800
2025-08-13,108706.93,5498.93,103208.0,3800
2025-08-14,107604.93,5498.93,102106.0,3800
2025-08-15,109922.93,5498.93,104424.0,3800
2025-08-18,110910.93,5498.93,105412.0,3800
2025-08-19,110226.93,5498.93,104728.0,3800
2025-08-20,112848.93,5498.93,107350.0,3800
2025-08-21,112050.93,5498.93,106552.0,3800
2025-08-22,117142.93,5498.93,111644.0,3800
2025-08-25,120469.61,8396.61,112073.0,3700
2025-08-26,127869.61,8396.61,119473.0,3700
2025-08-27,125649.61,8396.61,117253.0,3700
2025-08-28,131236.61,8396.61,122840.0,3700
2025-08-29,128535.61,8396.61,120139.0,3700
2025-09-01,126167.61,8396.61,117771.0,3700
2025-09-02,120432.61,8396.61,112036.0,3700
2025-09-03,118952.61,8396.61,110556.0,3700
2025-09-04,118747.74,118747.74,0.0,0
2025-09-05,118747.74,118747.74,0.0,0
2025-09-08,118747.74,118747.74,0.0,0
2025-09-09,118747.74,118747.74,0.0,0
2025-09-10,118747.74,118747.74,0.0,0
2025-09-11,118747.74,118747.74,0.0,0
2025-09-12,118747.74,118747.74,0.0,0
2025-09-15,118747.74,118747.74,0.0,0
2025-09-16,118747.74,118747.74,0.0,0
2025-09-17,118747.74,118747.74,0.0,0
2025-09-18,118747.74,118747.74,0.0,0
2025-09-19,118747.74,118747.74,0.0,0
2025-09-22,118747.74,118747.74,0.0,0
2025-09-23,118747.74,118747.74,0.0,0
