date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-26,BUY,sh600460,士兰微,VpBreakout,24.8625,24.86,3800,94477.45,23.62,0.0,9.45,33.07,5498.93,0.0,0.0,量价突破：突破 20 日新高 ¥24.540，量比 1.91 ≥ 1.5，强势收盘 99.8%
2025-08-25,SELL,sh600460,士兰微,VpBreakout,30.347,30.35,3800,115318.47,28.83,57.66,11.53,98.02,120730.91,20730.91,21.94,达到 +18% 止盈（当前 +18.1%）
2025-08-25,BUY,sh600460,士兰微,VpBreakout,30.353,30.35,3700,112306.23,28.08,0.0,11.23,39.31,8396.61,0.0,0.0,量价突破：突破 20 日新高 ¥28.760，量比 1.74 ≥ 1.5，强势收盘 99.6%
2025-09-04,SELL,sh600460,士兰微,VpBreakout,29.847,29.85,3700,110433.96,27.61,55.22,11.04,93.87,118747.74,-1983.18,-1.77,跌破 10 日均线（¥30.935），趋势走坏
2025-10-14,BUY,sh600460,士兰微,VpBreakout,33.4033,33.4,3300,110231.02,27.56,0.0,11.02,38.58,8489.16,0.0,0.0,量价突破：突破 20 日新高 ¥32.990，量比 1.97 ≥ 1.5，强势收盘 97.5%
2025-10-20,SELL,sh600460,士兰微,VpBreakout,32.9267,32.93,3300,108658.13,27.16,54.33,10.87,92.36,117065.8,-1681.94,-1.53,触发 -7% 止损（当前 -10.4%）
2026-01-07,BUY,sh600460,士兰微,VpBreakout,29.3929,29.39,3700,108753.87,27.19,0.0,10.87,38.06,8284.73,0.0,0.0,量价突破：突破 20 日新高 ¥28.960，量比 2.09 ≥ 1.5，强势收盘 99.6%
2026-02-03,SELL,sh600460,士兰微,VpBreakout,31.3969,31.4,3700,116168.38,29.04,58.08,11.62,98.74,124365.99,7300.19,6.71,跌破 10 日均线（¥31.918），趋势走坏
2026-04-28,BUY,sh600460,士兰微,VpBreakout,28.9029,28.9,4000,115611.56,28.9,0.0,11.56,40.46,8725.53,0.0,0.0,量价突破：突破 20 日新高 ¥28.080，量比 2.03 ≥ 1.5，强势收盘 99.1%
2026-05-26,SELL,sh600460,士兰微,VpBreakout,33.9666,33.97,4000,135866.41,33.97,67.93,13.59,115.49,144490.04,20124.05,17.4,达到 +18% 止盈（当前 +18.3%）
2026-05-29,BUY,sh600460,士兰微,VpBreakout,38.0038,38.0,3600,136813.68,34.2,0.0,13.68,47.88,7642.15,0.0,0.0,量价突破：突破 20 日新高 ¥37.280，量比 1.70 ≥ 1.5，强势收盘 98.2%
2026-06-01,SELL,sh600460,士兰微,VpBreakout,34.1666,34.17,3600,122999.7,30.75,61.5,12.3,104.55,130549.6,-13940.43,-10.19,触发 -7% 止损（当前 -9.0%）
2026-06-18,BUY,sh600460,士兰微,VpBreakout,40.504,40.5,3000,121512.15,30.38,0.0,12.15,42.53,9007.08,0.0,0.0,量价突破：突破 20 日新高 ¥39.140，量比 2.11 ≥ 1.5，强势收盘 99.2%
2026-06-18,SELL,sh600460,士兰微,VpBreakout,41.8258,41.83,3000,125477.45,31.37,62.74,12.55,106.66,134390.42,3840.81,3.16,回测结束强平
