date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-04,BUY,sh601138,工业富联,DonchianTurtle,23.3123,23.31,4000,93249.32,23.31,0.0,9.32,32.64,6727.36,0.0,0.0,海龟突破：现价 ¥23.280 突破 20 日高点 ¥21.760，ATR(20)=0.703 → 2×ATR 止损 ¥21.990
2025-07-29,SELL,sh601138,工业富联,DonchianTurtle,29.557,29.56,4000,118228.18,29.56,59.11,11.82,100.5,124866.87,24866.87,26.66,达到 +25% 止盈（当前 +26.8%）
2025-07-29,BUY,sh601138,工业富联,DonchianTurtle,29.563,29.56,4000,118251.82,29.56,0.0,11.82,41.39,6585.48,0.0,0.0,海龟突破：现价 ¥29.570 突破 20 日高点 ¥29.150，ATR(20)=1.102 → 2×ATR 止损 ¥27.520
2025-08-13,SELL,sh601138,工业富联,DonchianTurtle,39.716,39.72,4000,158864.11,39.72,79.43,15.89,135.04,165330.45,40463.58,34.21,达到 +25% 止盈（当前 +34.3%）
2025-08-13,BUY,sh601138,工业富联,DonchianTurtle,39.724,39.72,3900,154923.49,38.73,0.0,15.49,54.22,10368.22,0.0,0.0,海龟突破：现价 ¥39.710 突破 20 日高点 ¥37.640，ATR(20)=1.822 → 2×ATR 止损 ¥36.270
2025-09-01,SELL,sh601138,工业富联,DonchianTurtle,53.9846,53.99,3900,210539.94,52.63,105.27,21.06,178.96,220750.26,55419.82,35.76,达到 +25% 止盈（当前 +35.5%）
2025-09-01,BUY,sh601138,工业富联,DonchianTurtle,53.9954,53.99,3800,205182.52,51.3,0.0,20.52,71.81,15516.45,0.0,0.0,海龟突破：现价 ¥53.830 突破 20 日高点 ¥49.950，ATR(20)=3.378 → 2×ATR 止损 ¥47.340
2025-09-10,SELL,sh601138,工业富联,DonchianTurtle,51.5948,51.6,3800,196060.39,49.02,98.03,19.61,166.65,211429.8,-9320.47,-4.54,触发 -8% 止损（当前 -9.7%）
2025-09-12,BUY,sh601138,工业富联,DonchianTurtle,58.8859,58.88,3400,200212.02,50.05,0.0,20.02,70.07,11167.73,0.0,0.0,海龟突破：现价 ¥59.040 突破 20 日高点 ¥58.000，ATR(20)=4.661 → 2×ATR 止损 ¥50.020
2025-10-14,SELL,sh601138,工业富联,DonchianTurtle,64.9835,64.99,3400,220943.9,55.24,110.47,22.1,187.8,231945.92,20516.12,10.24,海龟离场：跌破 10 日低点 ¥64.640
2025-10-30,BUY,sh601138,工业富联,DonchianTurtle,80.008,80.0,2700,216021.6,54.01,0.0,21.6,75.61,15870.32,0.0,0.0,海龟突破：现价 ¥80.800 突破 20 日高点 ¥75.760，ATR(20)=4.441 → 2×ATR 止损 ¥72.320
2025-11-03,SELL,sh601138,工业富联,DonchianTurtle,70.353,70.36,2700,189953.0,47.49,94.98,19.0,161.46,205680.85,-26265.07,-12.16,触发 -8% 止损（当前 -10.0%）
2026-04-09,BUY,sh601138,工业富联,DonchianTurtle,55.0055,55.0,3500,192519.25,48.13,0.0,19.25,67.38,13113.47,0.0,0.0,海龟突破：现价 ¥56.610 突破 20 日高点 ¥54.990，ATR(20)=2.073 → 2×ATR 止损 ¥52.740
2026-05-14,SELL,sh601138,工业富联,DonchianTurtle,73.9926,74.0,3500,258974.1,64.74,129.49,25.9,220.13,271893.34,66212.49,34.38,达到 +25% 止盈（当前 +28.8%）
2026-05-14,BUY,sh601138,工业富联,DonchianTurtle,74.0074,74.0,3400,251625.16,62.91,0.0,25.16,88.07,20205.28,0.0,0.0,海龟突破：现价 ¥70.840 突破 20 日高点 ¥69.100，ATR(20)=3.001 → 2×ATR 止损 ¥65.190
2026-05-18,SELL,sh601138,工业富联,DonchianTurtle,65.8734,65.88,3400,223969.6,55.99,111.98,22.4,190.38,244006.9,-27886.44,-11.08,触发 -8% 止损（当前 -8.7%）
2026-05-29,BUY,sh601138,工业富联,DonchianTurtle,78.7579,78.75,2900,228397.84,57.1,0.0,22.84,79.94,15551.96,0.0,0.0,海龟突破：现价 ¥75.000 突破 20 日高点 ¥74.000，ATR(20)=3.692 → 2×ATR 止损 ¥67.990
2026-06-09,SELL,sh601138,工业富联,DonchianTurtle,71.9828,71.99,2900,208750.12,52.19,104.38,20.88,177.44,224145.52,-19861.38,-8.69,触发 -8% 止损（当前 -10.5%）
