date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,101967.36,6727.36,95240.0,4000
2025-07-07,102647.36,6727.36,95920.0,4000
2025-07-08,112247.36,6727.36,105520.0,4000
2025-07-09,113127.36,6727.36,106400.0,4000
2025-07-10,114235.91,114235.91,0.0,0
2025-07-11,114235.91,114235.91,0.0,0
2025-07-14,114235.91,114235.91,0.0,0
2025-07-15,114235.91,114235.91,0.0,0
2025-07-16,114235.91,114235.91,0.0,0
2025-07-17,114235.91,114235.91,0.0,0
2025-07-18,114235.91,114235.91,0.0,0
2025-07-21,114235.91,114235.91,0.0,0
2025-07-22,114235.91,114235.91,0.0,0
2025-07-23,114235.91,114235.91,0.0,0
2025-07-24,114235.91,114235.91,0.0,0
2025-07-25,114235.91,114235.91,0.0,0
2025-07-28,114235.91,114235.91,0.0,0
2025-07-29,114235.91,114235.91,0.0,0
2025-07-30,114235.91,114235.91,0.0,0
2025-07-31,114235.91,114235.91,0.0,0
2025-08-01,114235.91,114235.91,0.0,0
2025-08-04,114235.91,114235.91,0.0,0
2025-08-05,114235.91,114235.91,0.0,0
2025-08-06,114235.91,114235.91,0.0,0
2025-08-07,114235.91,114235.91,0.0,0
2025-08-08,114235.91,114235.91,0.0,0
2025-08-11,114235.91,114235.91,0.0,0
2025-08-12,114235.91,114235.91,0.0,0
2025-08-13,114235.91,114235.91,0.0,0
2025-08-14,112422.98,8694.98,103728.0,2400
2025-08-15,116358.98,8694.98,107664.0,2400
2025-08-18,115398.98,8694.98,106704.0,2400
2025-08-19,126078.98,8694.98,117384.0,2400
2025-08-20,123678.98,8694.98,114984.0,2400
2025-08-21,122406.25,122406.25,0.0,0
2025-08-22,122406.25,122406.25,0.0,0
2025-08-25,122406.25,122406.25,0.0,0
2025-08-26,122406.25,122406.25,0.0,0
2025-08-27,122406.25,122406.25,0.0,0
2025-08-28,122406.25,122406.25,0.0,0
2025-08-29,122406.25,122406.25,0.0,0
2025-09-01,125789.57,8987.57,116802.0,2100
2025-09-02,122135.57,8987.57,113148.0,2100
2025-09-03,122891.57,8987.57,113904.0,2100
2025-09-04,120560.57,8987.57,111573.0,2100
2025-09-05,126230.57,8987.57,117243.0,2100
2025-09-08,116927.57,8987.57,107940.0,2100
2025-09-09,111446.57,8987.57,102459.0,2100
2025-09-10,117255.47,117255.47,0.0,0
2025-09-11,117255.47,117255.47,0.0,0
2025-09-12,122654.37,11234.37,111420.0,1800
2025-09-15,119054.37,11234.37,107820.0,1800
2025-09-16,118748.37,11234.37,107514.0,1800
2025-09-17,121250.37,11234.37,110016.0,1800
2025-09-18,118045.52,118045.52,0.0,0
2025-09-19,118045.52,118045.52,0.0,0
2025-09-22,118045.52,118045.52,0.0,0
2025-09-23,118045.52,118045.52,0.0,0
2025-09-24,118045.52,118045.52,0.0,0
2025-09-25,118045.52,118045.52,0.0,0
