date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sh601138,工业富联,MultiFactor,21.1021,21.1,4500,94959.49,23.74,0.0,9.5,33.23,5016.77,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / T1 ma20 bias +0.11 / T2 ma alignment +0.10
2025-07-09,SELL,sh601138,工业富联,MultiFactor,26.9973,27.0,4500,121487.85,30.37,60.74,12.15,103.27,126413.5,26413.5,27.81,达到 +15% 止盈（当前 +25.0%）
2025-07-09,BUY,sh601138,工业富联,MultiFactor,27.0027,27.0,4400,118811.88,29.7,0.0,11.88,41.58,7571.92,0.0,0.0,多因子综合 +0.87（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-07-30,SELL,sh601138,工业富联,MultiFactor,30.9969,31.0,4400,136386.36,34.1,68.19,13.64,115.93,143855.99,17442.49,14.68,达到 +15% 止盈（当前 +15.5%）
2025-07-30,BUY,sh601138,工业富联,MultiFactor,31.0031,31.0,4400,136413.64,34.1,0.0,13.64,47.74,7408.24,0.0,0.0,多因子综合 +0.81（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-08-11,SELL,sh601138,工业富联,MultiFactor,36.4963,36.5,4400,160583.94,40.15,80.29,16.06,136.5,167871.75,24015.76,17.6,达到 +15% 止盈（当前 +18.0%）
2025-08-11,BUY,sh601138,工业富联,MultiFactor,36.5037,36.5,4300,156965.7,39.24,0.0,15.7,54.94,10866.81,0.0,0.0,多因子综合 +0.60（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-08-14,SELL,sh601138,工业富联,MultiFactor,43.9556,43.96,4300,189009.1,47.25,94.5,18.9,160.66,199734.15,31862.4,20.29,达到 +15% 止盈（当前 +19.6%）
2025-08-14,BUY,sh601138,工业富联,MultiFactor,43.9644,43.96,4300,189046.9,47.26,0.0,18.9,66.16,10639.98,0.0,0.0,多因子综合 +0.81（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-09-01,SELL,sh601138,工业富联,MultiFactor,53.9846,53.99,4300,232133.78,58.03,116.07,23.22,197.32,242599.67,42865.52,22.67,达到 +15% 止盈（当前 +22.4%）
2025-09-01,BUY,sh601138,工业富联,MultiFactor,53.9954,53.99,4200,226780.68,56.7,0.0,22.68,79.37,15762.3,0.0,0.0,多因子综合 +0.81（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-09-10,SELL,sh601138,工业富联,MultiFactor,51.5948,51.6,4200,216698.33,54.17,108.35,21.67,184.2,232298.1,-10301.57,-4.54,触发 -8% 止损（当前 -9.7%）
2025-09-12,BUY,sh601138,工业富联,MultiFactor,58.8859,58.88,3700,217877.79,54.47,0.0,21.79,76.26,14365.85,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2025-09-23,SELL,sh601138,工业富联,MultiFactor,74.7125,74.72,3700,276436.35,69.11,138.22,27.65,234.97,290594.87,58296.77,26.75,达到 +15% 止盈（当前 +19.7%）
2025-09-23,BUY,sh601138,工业富联,MultiFactor,74.7275,74.72,3600,269018.9,67.25,0.0,26.9,94.15,21508.72,0.0,0.0,多因子综合 +0.63（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-09-24,BUY,sh601138,工业富联,MultiFactor,68.8069,68.8,100,6880.69,5.0,0.0,0.69,5.69,14623.03,0.0,0.0,多因子综合 +0.60（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-09-26,SELL,sh601138,工业富联,MultiFactor,67.5432,67.55,3700,249910.01,62.48,124.96,24.99,212.43,264345.61,-26249.27,-9.51,触发 -8% 止损（当前 -8.2%）
2025-10-10,BUY,sh601138,工业富联,MultiFactor,68.3168,68.31,3600,245940.59,61.49,0.0,24.59,86.08,18343.53,0.0,0.0,多因子综合 +0.55（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-10-15,SELL,sh601138,工业富联,MultiFactor,59.714,59.72,3600,214970.5,53.74,107.49,21.5,182.73,233152.8,-31192.8,-12.68,触发 -8% 止损（当前 -12.6%）
2025-10-22,BUY,sh601138,工业富联,MultiFactor,66.9967,66.99,3300,221089.11,55.27,0.0,22.11,77.38,12008.42,0.0,0.0,多因子综合 +0.53（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-10-30,SELL,sh601138,工业富联,MultiFactor,79.992,80.0,3300,263973.6,65.99,131.99,26.4,224.38,275784.04,42631.24,19.28,达到 +15% 止盈（当前 +20.6%）
2025-10-30,BUY,sh601138,工业富联,MultiFactor,80.008,80.0,3200,256025.6,64.01,0.0,25.6,89.61,19694.44,0.0,0.0,多因子综合 +0.68（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.12
2025-11-03,SELL,sh601138,工业富联,MultiFactor,70.353,70.36,3200,225129.48,56.28,112.56,22.52,191.36,244655.07,-31128.97,-12.16,触发 -8% 止损（当前 -10.0%）
2025-11-04,BUY,sh601138,工业富联,MultiFactor,74.7775,74.77,3100,231810.18,57.95,0.0,23.18,81.13,12786.94,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T1 ma20 bias +0.12
2025-11-12,SELL,sh601138,工业富联,MultiFactor,66.4434,66.45,3100,205974.4,51.49,102.99,20.6,175.08,218606.86,-26048.21,-11.23,触发 -8% 止损（当前 -9.0%）
2026-04-15,BUY,sh601138,工业富联,MultiFactor,59.3659,59.36,3400,201844.18,50.46,0.0,20.18,70.64,16712.22,0.0,0.0,多因子综合 +0.59（8 因子）| Top3: M1 momentum 20d +0.20 / vol price sync +0.13 / T1 ma20 bias +0.12
2026-05-14,SELL,sh601138,工业富联,MultiFactor,73.9926,74.0,3400,251574.84,62.89,125.79,25.16,213.84,268098.38,49491.52,24.51,达到 +15% 止盈（当前 +19.3%）
2026-05-14,BUY,sh601138,工业富联,MultiFactor,74.0074,74.0,3400,251625.16,62.91,0.0,25.16,88.07,16410.31,0.0,0.0,多因子综合 +0.89（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T3 breakout 60d +0.13
2026-05-18,SELL,sh601138,工业富联,MultiFactor,65.8734,65.88,3400,223969.6,55.99,111.98,22.4,190.38,240211.93,-27886.44,-11.08,触发 -8% 止损（当前 -8.7%）
2026-05-18,BUY,sh601138,工业富联,MultiFactor,65.8866,65.88,3400,224014.4,56.0,0.0,22.4,78.4,16141.53,0.0,0.0,多因子综合 +0.56（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / T2 ma alignment +0.10
2026-06-03,SELL,sh601138,工业富联,MultiFactor,79.942,79.95,3400,271802.82,67.95,135.9,27.18,231.04,287740.5,47528.56,21.21,达到 +15% 止盈（当前 +21.4%）
2026-06-03,BUY,sh601138,工业富联,MultiFactor,79.958,79.95,3400,271857.18,67.96,0.0,27.18,95.15,15815.35,0.0,0.0,多因子综合 +0.82（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2026-06-09,SELL,sh601138,工业富联,MultiFactor,71.9828,71.99,3400,244741.52,61.19,122.37,24.48,208.03,260373.32,-27367.18,-10.06,触发 -8% 止损（当前 -11.9%）
