date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,98661.77,5016.77,93645.0,4500
2025-06-20,97671.77,5016.77,92655.0,4500
2025-06-23,95916.77,5016.77,90900.0,4500
2025-06-24,96321.77,5016.77,91305.0,4500
2025-06-25,99426.77,5016.77,94410.0,4500
2025-06-26,99696.77,5016.77,94680.0,4500
2025-06-27,101091.77,5016.77,96075.0,4500
2025-06-30,101180.81,7108.81,94072.0,4400
2025-07-01,101212.69,7052.69,94160.0,4400
2025-07-02,100100.72,6996.72,93104.0,4400
2025-07-03,109428.72,6996.72,102432.0,4400
2025-07-04,111699.19,6935.19,104764.0,4400
2025-07-07,112384.36,6872.36,105512.0,4400
2025-07-08,122878.68,6806.68,116072.0,4400
2025-07-09,123775.4,6735.4,117040.0,4400
2025-07-10,121768.39,6664.39,115104.0,4400
2025-07-11,121064.39,6664.39,114400.0,4400
2025-07-14,120712.39,6664.39,114048.0,4400
2025-07-15,126564.39,6664.39,119900.0,4400
2025-07-16,124205.14,6593.14,117612.0,4400
2025-07-17,127593.14,6593.14,121000.0,4400
2025-07-18,125804.57,6520.57,119284.0,4400
2025-07-21,125408.57,6520.57,118888.0,4400
2025-07-22,125144.57,6520.57,118624.0,4400
2025-07-23,123472.57,6520.57,116952.0,4400
2025-07-24,131700.57,6520.57,125180.0,4400
2025-07-25,132529.46,9291.46,123238.0,4300
2025-07-28,136369.53,9218.53,127151.0,4300
2025-07-29,143261.04,9144.04,134117.0,4300
2025-07-30,152169.93,9065.93,143104.0,4300
2025-07-31,157805.11,8982.11,148823.0,4300
2025-08-01,150796.44,8896.44,141900.0,4300
2025-08-04,150667.44,8896.44,141771.0,4300
2025-08-05,159611.44,8896.44,150715.0,4300
2025-08-06,156300.51,8810.51,147490.0,4300
2025-08-07,163195.9,84765.9,78430.0,2200
2025-08-08,166996.47,9659.47,157337.0,4300
2025-08-11,165872.5,9567.5,156305.0,4300
2025-08-12,180228.6,9475.6,170753.0,4300
2025-08-13,196804.9,13348.9,183456.0,4200
2025-08-14,194762.12,13238.12,181524.0,4200
2025-08-15,201542.8,13130.8,188412.0,4200
2025-08-18,199749.91,13017.91,186732.0,4200
2025-08-19,218328.98,12906.98,205422.0,4200
2025-08-20,214011.81,12789.81,201222.0,4200
2025-08-21,202888.31,12670.31,190218.0,4200
2025-08-22,205156.31,12670.31,192486.0,4200
