date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100027.34,93363.34,6664.0,100
2025-06-24,100250.67,86670.67,13580.0,200
2025-06-25,100348.67,86670.67,13678.0,200
2025-06-26,100848.67,86670.67,14178.0,200
2025-06-27,100801.38,93808.38,6993.0,100
2025-06-30,100848.38,93808.38,7040.0,100
2025-07-01,100740.38,93808.38,6932.0,100
2025-07-02,100636.38,93808.38,6828.0,100
2025-07-03,100684.38,93808.38,6876.0,100
2025-07-04,100674.38,93808.38,6866.0,100
2025-07-07,100612.38,93808.38,6804.0,100
2025-07-08,100711.38,93808.38,6903.0,100
2025-07-09,100545.69,86859.69,13686.0,200
2025-07-10,100401.0,80007.0,20394.0,300
2025-07-11,100727.32,73203.32,27524.0,400
2025-07-14,100648.63,66298.63,34350.0,500
2025-07-15,101158.63,66298.63,34860.0,500
2025-07-16,101143.63,66298.63,34845.0,500
2025-07-17,101208.63,66298.63,34910.0,500
2025-07-18,101053.63,66298.63,34755.0,500
2025-07-21,100998.63,66298.63,34700.0,500
2025-07-22,100733.63,66298.63,34435.0,500
2025-07-23,100623.63,66298.63,34325.0,500
2025-07-24,100848.63,66298.63,34550.0,500
2025-07-25,101478.63,66298.63,35180.0,500
2025-07-28,100988.63,66298.63,34690.0,500
2025-07-29,101473.63,66298.63,35175.0,500
2025-07-30,101021.22,80303.22,20718.0,300
2025-07-31,100973.53,73389.53,27584.0,400
2025-08-01,100522.84,66477.84,34045.0,500
2025-08-04,101147.84,66477.84,34670.0,500
2025-08-05,101092.84,66477.84,34615.0,500
2025-08-06,100937.84,66477.84,34460.0,500
2025-08-07,100777.84,66477.84,34300.0,500
2025-08-08,100517.84,66477.84,34040.0,500
2025-08-11,100582.84,66477.84,34105.0,500
2025-08-12,101042.84,66477.84,34565.0,500
2025-08-13,101342.84,66477.84,34865.0,500
2025-08-14,103517.84,66477.84,37040.0,500
2025-08-15,103192.06,81100.06,22092.0,300
2025-08-18,103450.06,81100.06,22350.0,300
2025-08-19,103142.59,88540.59,14602.0,200
2025-08-20,103768.59,88540.59,15228.0,200
2025-08-21,103675.02,96145.02,7530.0,100
2025-08-22,104428.02,96145.02,8283.0,100
2025-08-25,105256.02,96145.02,9111.0,100
2025-08-26,105277.02,96145.02,9132.0,100
2025-08-27,105015.02,96145.02,8870.0,100
2025-08-28,105396.02,96145.02,9251.0,100
2025-08-29,104995.02,96145.02,8850.0,100
2025-09-01,105359.02,96145.02,9214.0,100
2025-09-02,105147.02,96145.02,9002.0,100
2025-09-03,104848.02,96145.02,8703.0,100
2025-09-04,104093.02,96145.02,7948.0,100
2025-09-05,104668.23,88180.23,16488.0,200
2025-09-08,104978.23,88180.23,16798.0,200
2025-09-09,104408.23,88180.23,16228.0,200
2025-09-10,104924.23,88180.23,16744.0,200
2025-09-11,106598.23,88180.23,18418.0,200
2025-09-12,107464.53,97667.53,9797.0,100
2025-09-15,107913.53,97667.53,10246.0,100
2025-09-16,108815.53,97667.53,11148.0,100
2025-09-17,108516.53,97667.53,10849.0,100
2025-09-18,108659.53,97667.53,10992.0,100
2025-09-19,108350.53,97667.53,10683.0,100
2025-09-22,109418.53,97667.53,11751.0,100
2025-09-23,109140.53,97667.53,11473.0,100
2025-09-24,109422.53,97667.53,11755.0,100
