date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,97965.48,7056.48,90909.0,1300
2025-06-30,98576.48,7056.48,91520.0,1300
2025-07-01,97172.48,7056.48,90116.0,1300
2025-07-02,95820.48,7056.48,88764.0,1300
2025-07-03,96444.48,7056.48,89388.0,1300
2025-07-04,96314.48,7056.48,89258.0,1300
2025-07-07,95508.48,7056.48,88452.0,1300
2025-07-08,96795.48,7056.48,89739.0,1300
2025-07-09,96015.48,7056.48,88959.0,1300
2025-07-10,95430.48,7056.48,88374.0,1300
2025-07-11,96509.48,7056.48,89453.0,1300
2025-07-14,96366.48,7056.48,89310.0,1300
2025-07-15,97692.48,7056.48,90636.0,1300
2025-07-16,97653.48,7056.48,90597.0,1300
2025-07-17,97822.48,7056.48,90766.0,1300
2025-07-18,97419.48,7056.48,90363.0,1300
2025-07-21,97276.48,7056.48,90220.0,1300
2025-07-22,96587.48,7056.48,89531.0,1300
2025-07-23,96301.48,7056.48,89245.0,1300
2025-07-24,96886.48,7056.48,89830.0,1300
2025-07-25,98524.48,7056.48,91468.0,1300
2025-07-28,97250.48,7056.48,90194.0,1300
2025-07-29,98511.48,7056.48,91455.0,1300
2025-07-30,96834.48,7056.48,89778.0,1300
2025-07-31,96704.48,7056.48,89648.0,1300
2025-08-01,95573.48,7056.48,88517.0,1300
2025-08-04,97198.48,7056.48,90142.0,1300
2025-08-05,97055.48,7056.48,89999.0,1300
2025-08-06,96652.48,7056.48,89596.0,1300
2025-08-07,96236.48,7056.48,89180.0,1300
2025-08-08,95560.48,7056.48,88504.0,1300
2025-08-11,95729.48,7056.48,88673.0,1300
2025-08-12,96925.48,7056.48,89869.0,1300
2025-08-13,97705.48,7056.48,90649.0,1300
2025-08-14,103360.48,7056.48,96304.0,1300
2025-08-15,102788.48,7056.48,95732.0,1300
2025-08-18,103906.48,7056.48,96850.0,1300
2025-08-19,101969.48,7056.48,94913.0,1300
2025-08-20,106038.48,7056.48,98982.0,1300
2025-08-21,104946.48,7056.48,97890.0,1300
2025-08-22,114735.48,7056.48,107679.0,1300
2025-08-25,125357.35,6914.35,118443.0,1300
2025-08-26,125630.35,6914.35,118716.0,1300
2025-08-27,122224.35,6914.35,115310.0,1300
2025-08-28,127177.35,6914.35,120263.0,1300
2025-08-29,121964.35,6914.35,115050.0,1300
2025-09-01,126696.35,6914.35,119782.0,1300
2025-09-02,123940.35,6914.35,117026.0,1300
2025-09-03,120053.35,6914.35,113139.0,1300
2025-09-04,110238.35,6914.35,103324.0,1300
2025-09-05,110293.41,110293.41,0.0,0
2025-09-08,110293.41,110293.41,0.0,0
2025-09-09,110293.41,110293.41,0.0,0
2025-09-10,110293.41,110293.41,0.0,0
2025-09-11,110293.41,110293.41,0.0,0
2025-09-12,113545.84,5778.84,107767.0,1100
2025-09-15,118484.84,5778.84,112706.0,1100
2025-09-16,128406.84,5778.84,122628.0,1100
2025-09-17,124943.89,16453.89,108490.0,1000
2025-09-18,126373.89,16453.89,109920.0,1000
2025-09-19,123283.89,16453.89,106830.0,1000
2025-09-22,133963.89,16453.89,117510.0,1000
