date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,100000.0,100000.0,0.0,0
2025-07-31,100000.0,100000.0,0.0,0
2025-08-01,100000.0,100000.0,0.0,0
2025-08-04,100000.0,100000.0,0.0,0
2025-08-05,100000.0,100000.0,0.0,0
2025-08-06,100000.0,100000.0,0.0,0
2025-08-07,100000.0,100000.0,0.0,0
2025-08-08,100000.0,100000.0,0.0,0
2025-08-11,100439.79,16509.79,83930.0,700
2025-08-12,100901.79,16509.79,84392.0,700
2025-08-13,103442.79,16509.79,86933.0,700
2025-08-14,102497.79,16509.79,85988.0,700
2025-08-15,103155.79,16509.79,86646.0,700
2025-08-18,106396.79,16509.79,89887.0,700
2025-08-19,104520.79,16509.79,88011.0,700
2025-08-20,106949.79,16509.79,90440.0,700
2025-08-21,107390.79,16509.79,90881.0,700
2025-08-22,112290.79,16509.79,95781.0,700
2025-08-25,113391.37,113391.37,0.0,0
2025-08-26,113391.37,113391.37,0.0,0
2025-08-27,113391.37,113391.37,0.0,0
2025-08-28,113391.37,113391.37,0.0,0
2025-08-29,113391.37,113391.37,0.0,0
2025-09-01,113391.37,113391.37,0.0,0
2025-09-02,113391.37,113391.37,0.0,0
2025-09-03,113391.37,113391.37,0.0,0
2025-09-04,113391.37,113391.37,0.0,0
2025-09-05,113391.37,113391.37,0.0,0
2025-09-08,113391.37,113391.37,0.0,0
2025-09-09,113391.37,113391.37,0.0,0
2025-09-10,113391.37,113391.37,0.0,0
2025-09-11,113391.37,113391.37,0.0,0
2025-09-12,113391.37,113391.37,0.0,0
2025-09-15,113391.37,113391.37,0.0,0
2025-09-16,113391.37,113391.37,0.0,0
2025-09-17,113391.37,113391.37,0.0,0
2025-09-18,113391.37,113391.37,0.0,0
2025-09-19,113391.37,113391.37,0.0,0
2025-09-22,113391.37,113391.37,0.0,0
2025-09-23,113391.37,113391.37,0.0,0
2025-09-24,113391.37,113391.37,0.0,0
2025-09-25,113391.37,113391.37,0.0,0
2025-09-26,113391.37,113391.37,0.0,0
2025-09-29,113391.37,113391.37,0.0,0
