date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-08-11,BUY,sh603501,韦尔股份,CrossBorderDca,119.2419,119.23,700,83469.35,20.87,0.0,8.35,29.21,16509.79,0.0,0.0,跨境定投：现价 ¥119.230 < MA60×0.95（¥119.385），RSI=28.7，量比=1.04
2025-08-25,SELL,sh603501,韦尔股份,CrossBorderDca,138.5061,138.52,700,96954.3,24.24,48.48,9.7,82.41,113391.37,13391.37,16.04,达到 +10% 止盈（当前 +14.7%）
2025-11-14,BUY,sh603501,韦尔股份,CrossBorderDca,122.8123,122.8,800,98249.82,24.56,0.0,9.82,34.39,15116.99,0.0,0.0,跨境定投：现价 ¥124.270 < MA60×0.95（¥128.367），RSI=30.3，量比=1.02
2026-03-10,SELL,sh603501,韦尔股份,CrossBorderDca,113.5886,113.6,800,90870.91,22.72,45.44,9.09,77.24,105919.75,-7471.63,-7.6,触发 -8% 止损（当前 -8.7%）
2026-03-18,BUY,sh603501,韦尔股份,CrossBorderDca,109.5109,109.5,900,98559.85,24.64,0.0,9.86,34.49,7335.25,0.0,0.0,跨境定投：现价 ¥108.920 < MA60×0.95（¥116.324），RSI=33.2，量比=1.03
2026-03-24,SELL,sh603501,韦尔股份,CrossBorderDca,99.94,99.95,900,89946.0,22.49,44.97,9.0,76.46,97213.8,-8705.95,-8.83,触发 -8% 止损（当前 -10.0%）
2026-03-24,BUY,sh603501,韦尔股份,CrossBorderDca,99.96,99.95,900,89964.0,22.49,0.0,9.0,31.49,7227.31,0.0,0.0,跨境定投：现价 ¥98.620 < MA60×0.95（¥114.977），RSI=14.5，量比=1.37
2026-04-03,SELL,sh603501,韦尔股份,CrossBorderDca,92.1208,92.13,900,82908.71,20.73,41.45,8.29,70.47,90073.84,-7139.96,-7.93,触发 -8% 止损（当前 -8.6%）
2026-04-03,BUY,sh603501,韦尔股份,CrossBorderDca,92.1392,92.13,900,82925.29,20.73,0.0,8.29,29.02,7127.81,0.0,0.0,跨境定投：现价 ¥91.350 < MA60×0.95（¥111.467），RSI=18.2，量比=2.08
2026-04-28,SELL,sh603501,韦尔股份,CrossBorderDca,106.9393,106.95,900,96245.37,24.06,48.12,9.63,81.81,103301.0,13227.17,15.95,达到 +10% 止盈（当前 +13.5%）
2026-06-12,BUY,sh603501,韦尔股份,CrossBorderDca,86.9087,86.9,1100,95599.56,23.9,0.0,9.56,33.46,7677.55,0.0,0.0,跨境定投：现价 ¥85.170 < MA60×0.95（¥93.600），RSI=30.3，量比=1.11
2026-06-18,SELL,sh603501,韦尔股份,CrossBorderDca,89.961,89.97,1100,98957.1,24.74,49.48,9.9,84.11,106560.43,3259.43,3.41,回测结束强平
