date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-26,BUY,sh603501,韦尔股份,DividendLowvolRotation,128.2128,128.2,700,89748.97,22.44,0.0,8.97,31.41,10228.59,0.0,0.0,红利低波轮动：20日动量 +1.32%，量比 1.49，现价 > MA20×0.98（¥124.312）
2025-06-27,SELL,sh603501,韦尔股份,DividendLowvolRotation,126.9873,127.0,700,88891.11,22.22,44.45,8.89,75.56,99053.03,-946.97,-1.05,20日动量转负（-0.12%），趋势走坏
2025-07-21,BUY,sh603501,韦尔股份,DividendLowvolRotation,125.0125,125.0,700,87508.75,21.88,0.0,8.75,30.63,11522.4,0.0,0.0,红利低波轮动：20日动量 +0.89%，量比 2.38，现价 > MA20×0.98（¥122.434）
2025-07-23,SELL,sh603501,韦尔股份,DividendLowvolRotation,124.9875,125.0,700,87491.25,21.87,43.75,8.75,74.37,98948.03,-105.0,-0.12,20日动量转负（-0.84%），趋势走坏
2025-08-14,BUY,sh603501,韦尔股份,DividendLowvolRotation,124.5125,124.5,700,87158.71,21.79,0.0,8.71,30.5,11767.53,0.0,0.0,红利低波轮动：20日动量 +1.15%，量比 2.53，现价 > MA20×0.98（¥120.418）
2025-08-18,SELL,sh603501,韦尔股份,DividendLowvolRotation,124.2076,124.22,700,86945.3,21.74,43.47,8.7,73.9,98647.63,-300.41,-0.34,20日动量转负（-1.54%），趋势走坏
2025-08-19,BUY,sh603501,韦尔股份,DividendLowvolRotation,128.5128,128.5,700,89958.99,22.49,0.0,9.0,31.48,8666.14,0.0,0.0,红利低波轮动：20日动量 +2.65%，量比 2.17，现价 > MA20×0.98（¥120.503）
2025-09-02,SELL,sh603501,韦尔股份,DividendLowvolRotation,144.6855,144.7,700,101279.87,25.32,50.64,10.13,86.09,109870.05,11222.43,12.47,达到 +12% 止盈（当前 +13.0%）
2025-09-12,BUY,sh603501,韦尔股份,DividendLowvolRotation,134.6135,134.6,700,94229.42,23.56,0.0,9.42,32.98,15617.07,0.0,0.0,红利低波轮动：20日动量 +9.90%，量比 1.04，现价 > MA20×0.98（¥131.933）
2025-09-29,SELL,sh603501,韦尔股份,DividendLowvolRotation,150.5849,150.6,700,105409.46,26.35,52.7,10.54,89.6,120947.47,11077.42,11.75,达到 +12% 止盈（当前 +12.2%）
2025-09-29,BUY,sh603501,韦尔股份,DividendLowvolRotation,150.6151,150.6,700,105430.54,26.36,0.0,10.54,36.9,15490.57,0.0,0.0,红利低波轮动：20日动量 +5.45%，量比 1.14，现价 > MA20×0.98（¥137.132）
2025-10-15,SELL,sh603501,韦尔股份,DividendLowvolRotation,131.3669,131.38,700,91956.8,22.99,45.98,9.2,78.16,107378.41,-13569.06,-12.87,20日动量转负（-3.13%），趋势走坏
2025-12-15,BUY,sh603501,韦尔股份,DividendLowvolRotation,125.4625,125.45,800,100370.04,25.09,0.0,10.04,35.13,6983.28,0.0,0.0,红利低波轮动：20日动量 +3.91%，量比 2.32，现价 > MA20×0.98（¥117.674）
2026-01-27,SELL,sh603501,韦尔股份,DividendLowvolRotation,124.4875,124.5,800,99590.04,24.9,49.8,9.96,84.65,106498.63,-879.78,-0.88,20日动量转负（-1.97%），趋势走坏
2026-01-29,BUY,sh603501,韦尔股份,DividendLowvolRotation,127.3127,127.3,700,89118.91,22.28,0.0,8.91,31.19,17357.44,0.0,0.0,红利低波轮动：20日动量 +0.91%，量比 1.57，现价 > MA20×0.98（¥126.337）
2026-01-30,SELL,sh603501,韦尔股份,DividendLowvolRotation,122.4977,122.51,700,85748.42,21.44,42.87,8.58,72.89,103041.55,-3457.08,-3.88,20日动量转负（-3.09%），趋势走坏
2026-04-28,BUY,sh603501,韦尔股份,DividendLowvolRotation,106.9607,106.95,900,96264.63,24.07,0.0,9.63,33.69,6752.86,0.0,0.0,红利低波轮动：20日动量 +3.57%，量比 2.46，现价 > MA20×0.98（¥92.623）
2026-05-29,SELL,sh603501,韦尔股份,DividendLowvolRotation,101.8898,101.9,900,91700.83,22.93,45.85,9.17,77.95,98384.91,-4656.64,-4.84,20日动量转负（-2.61%），趋势走坏
2026-06-04,BUY,sh603501,韦尔股份,DividendLowvolRotation,98.0098,98.0,900,88208.82,22.05,0.0,8.82,30.87,10154.04,0.0,0.0,红利低波轮动：20日动量 +0.01%，量比 1.99，现价 > MA20×0.98（¥99.118）
2026-06-05,SELL,sh603501,韦尔股份,DividendLowvolRotation,97.4903,97.5,900,87741.23,21.94,43.87,8.78,74.58,97829.46,-555.45,-0.63,20日动量转负（-1.40%），趋势走坏
