date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-26,BUY,sh603501,韦尔股份,ScenarioRouter,128.2128,128.2,700,89748.97,22.44,0.0,8.97,31.41,10228.59,0.0,0.0,红利低波轮动：20日动量 +1.32%，量比 1.49，现价 > MA20×0.98（¥124.312）
2025-06-27,SELL,sh603501,韦尔股份,ScenarioRouter,126.9873,127.0,700,88891.11,22.22,44.45,8.89,75.56,99053.03,-946.97,-1.05,20日动量转负（-0.12%），趋势走坏
2025-07-21,BUY,sh603501,韦尔股份,ScenarioRouter,125.0125,125.0,700,87508.75,21.88,0.0,8.75,30.63,11522.4,0.0,0.0,红利低波轮动：20日动量 +0.89%，量比 2.38，现价 > MA20×0.98（¥122.434）
2025-07-23,SELL,sh603501,韦尔股份,ScenarioRouter,124.9875,125.0,700,87491.25,21.87,43.75,8.75,74.37,98948.03,-105.0,-0.12,20日动量转负（-0.84%），趋势走坏
2025-08-14,BUY,sh603501,韦尔股份,ScenarioRouter,124.5125,124.5,700,87158.71,21.79,0.0,8.71,30.5,11767.53,0.0,0.0,红利低波轮动：20日动量 +1.15%，量比 2.53，现价 > MA20×0.98（¥120.418）
2025-08-18,SELL,sh603501,韦尔股份,ScenarioRouter,124.2076,124.22,700,86945.3,21.74,43.47,8.7,73.9,98647.63,-300.41,-0.34,20日动量转负（-1.54%），趋势走坏
2025-08-19,BUY,sh603501,韦尔股份,ScenarioRouter,128.5128,128.5,700,89958.99,22.49,0.0,9.0,31.48,8666.14,0.0,0.0,红利低波轮动：20日动量 +2.65%，量比 2.17，现价 > MA20×0.98（¥120.503）
2025-08-21,SELL,sh603501,韦尔股份,ScenarioRouter,130.287,130.3,300,39086.09,9.77,19.54,3.91,33.22,47722.92,493.28,1.28,网格上沿止盈：现价位于区间 79% 位置，浮盈 +0.5%
2025-08-22,SELL,sh603501,韦尔股份,ScenarioRouter,130.077,130.09,200,26015.4,6.5,13.01,2.6,22.11,73718.8,286.89,1.12,网格上沿止盈：现价位于区间 83% 位置，浮盈 +1.0%
2025-08-22,BUY,sh603501,韦尔股份,ScenarioRouter,130.103,130.09,500,65051.5,16.26,0.0,6.5,22.77,8651.04,0.0,0.0,红利低波轮动：20日动量 +3.21%，量比 1.15，现价 > MA20×0.98（¥120.940）
2025-08-25,SELL,sh603501,韦尔股份,ScenarioRouter,138.5061,138.52,300,41551.84,10.39,20.78,4.16,35.32,50171.72,2798.13,7.23,网格上沿止盈：现价位于区间 128% 位置，浮盈 +5.5%
