date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,98680.55,10109.55,88571.0,700
2025-07-01,96923.55,10109.55,86814.0,700
2025-07-02,94795.55,10109.55,84686.0,700
2025-07-03,93913.55,10109.55,83804.0,700
2025-07-04,93304.55,10109.55,83195.0,700
2025-07-07,93324.76,93324.76,0.0,0
2025-07-08,93324.76,93324.76,0.0,0
2025-07-09,93324.76,93324.76,0.0,0
2025-07-10,93324.76,93324.76,0.0,0
2025-07-11,93324.76,93324.76,0.0,0
2025-07-14,93324.76,93324.76,0.0,0
2025-07-15,93324.76,93324.76,0.0,0
2025-07-16,93324.76,93324.76,0.0,0
2025-07-17,93324.76,93324.76,0.0,0
2025-07-18,93324.76,93324.76,0.0,0
2025-07-21,93324.76,93324.76,0.0,0
2025-07-22,93324.76,93324.76,0.0,0
2025-07-23,93324.76,93324.76,0.0,0
2025-07-24,93324.76,93324.76,0.0,0
2025-07-25,93324.76,93324.76,0.0,0
2025-07-28,93324.76,93324.76,0.0,0
2025-07-29,93324.76,93324.76,0.0,0
2025-07-30,93324.76,93324.76,0.0,0
2025-07-31,93324.76,93324.76,0.0,0
2025-08-01,93324.76,93324.76,0.0,0
2025-08-04,93324.76,93324.76,0.0,0
2025-08-05,93324.76,93324.76,0.0,0
2025-08-06,93324.76,93324.76,0.0,0
2025-08-07,93324.76,93324.76,0.0,0
2025-08-08,93324.76,93324.76,0.0,0
2025-08-11,93324.76,93324.76,0.0,0
2025-08-12,93324.76,93324.76,0.0,0
2025-08-13,93324.76,93324.76,0.0,0
2025-08-14,93324.76,93324.76,0.0,0
2025-08-15,93324.76,93324.76,0.0,0
2025-08-18,93324.76,93324.76,0.0,0
2025-08-19,91740.02,5458.02,86282.0,700
2025-08-20,94365.02,5458.02,88907.0,700
2025-08-21,101470.02,5458.02,96012.0,700
2025-08-22,111074.02,5458.02,105616.0,700
2025-08-25,115910.03,21230.03,94680.0,600
2025-08-26,113870.03,21230.03,92640.0,600
2025-08-27,116408.03,21230.03,95178.0,600
2025-08-28,119900.03,21230.03,98670.0,600
2025-08-29,116618.03,21230.03,95388.0,600
2025-09-01,126158.03,21230.03,104928.0,600
2025-09-02,126830.03,21230.03,105600.0,600
2025-09-03,123884.03,21230.03,102654.0,600
2025-09-04,113618.03,21230.03,92388.0,600
2025-09-05,116966.03,21230.03,95736.0,600
2025-09-08,119528.03,21230.03,98298.0,600
2025-09-09,115520.03,21230.03,94290.0,600
2025-09-10,118004.03,21230.03,96774.0,600
2025-09-11,127682.03,21230.03,106452.0,600
2025-09-12,135356.03,21230.03,114126.0,600
2025-09-15,135654.71,21090.71,114564.0,600
2025-09-16,134586.71,21090.71,113496.0,600
2025-09-17,133050.71,21090.71,111960.0,600
2025-09-18,135618.71,21090.71,114528.0,600
2025-09-19,132210.71,21090.71,111120.0,600
2025-09-22,138096.71,21090.71,117006.0,600
2025-09-23,137532.71,21090.71,116442.0,600
2025-09-24,140970.71,21090.71,119880.0,600
2025-09-25,139536.71,21090.71,118446.0,600
2025-09-26,135216.71,21090.71,114126.0,600
