date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,97414.96,14142.96,83272.0,700
2025-06-23,98289.96,14142.96,84147.0,700
2025-06-24,100879.96,14142.96,86737.0,700
2025-06-25,101992.96,14142.96,87850.0,700
2025-06-26,100417.96,14142.96,86275.0,700
2025-06-27,102580.96,14142.96,88438.0,700
2025-06-30,102713.96,14142.96,88571.0,700
2025-07-01,100956.96,14142.96,86814.0,700
2025-07-02,98828.96,14142.96,84686.0,700
2025-07-03,97946.96,14142.96,83804.0,700
2025-07-04,97337.96,14142.96,83195.0,700
2025-07-07,97358.17,97358.17,0.0,0
2025-07-08,97358.17,97358.17,0.0,0
2025-07-09,96320.55,12691.55,83629.0,700
2025-07-10,95333.55,12691.55,82642.0,700
2025-07-11,95151.4,95151.4,0.0,0
2025-07-14,95151.4,95151.4,0.0,0
2025-07-15,95151.4,95151.4,0.0,0
2025-07-16,95151.4,95151.4,0.0,0
2025-07-17,95151.4,95151.4,0.0,0
2025-07-18,95151.4,95151.4,0.0,0
2025-07-21,95151.4,95151.4,0.0,0
2025-07-22,95151.4,95151.4,0.0,0
2025-07-23,95151.4,95151.4,0.0,0
2025-07-24,95151.4,95151.4,0.0,0
2025-07-25,95151.4,95151.4,0.0,0
2025-07-28,95151.4,95151.4,0.0,0
2025-07-29,95151.4,95151.4,0.0,0
2025-07-30,95151.4,95151.4,0.0,0
2025-07-31,95212.76,10421.76,84791.0,700
2025-08-01,92538.76,10421.76,82117.0,700
2025-08-04,91762.56,91762.56,0.0,0
2025-08-05,91762.56,91762.56,0.0,0
2025-08-06,91762.56,91762.56,0.0,0
2025-08-07,91762.56,91762.56,0.0,0
2025-08-08,91762.56,91762.56,0.0,0
2025-08-11,91762.56,91762.56,0.0,0
2025-08-12,91762.56,91762.56,0.0,0
2025-08-13,92412.04,7390.04,85022.0,700
2025-08-14,92097.04,7390.04,84707.0,700
2025-08-15,93420.04,7390.04,86030.0,700
2025-08-18,95380.04,7390.04,87990.0,700
2025-08-19,93672.04,7390.04,86282.0,700
2025-08-20,96297.04,7390.04,88907.0,700
2025-08-21,103402.04,7390.04,96012.0,700
2025-08-22,112892.54,7276.54,105616.0,700
2025-08-25,117736.54,7276.54,110460.0,700
2025-08-26,115224.0,7144.0,108080.0,700
2025-08-27,118185.0,7144.0,111041.0,700
2025-08-28,122259.0,7144.0,115115.0,700
2025-08-29,118430.0,7144.0,111286.0,700
2025-09-01,129560.0,7144.0,122416.0,700
2025-09-02,130344.0,7144.0,123200.0,700
2025-09-03,126907.0,7144.0,119763.0,700
2025-09-04,114930.0,7144.0,107786.0,700
2025-09-05,118836.0,7144.0,111692.0,700
2025-09-08,121825.0,7144.0,114681.0,700
2025-09-09,117149.0,7144.0,110005.0,700
2025-09-10,120047.0,7144.0,112903.0,700
2025-09-11,131338.0,7144.0,124194.0,700
2025-09-12,140139.81,6992.81,133147.0,700
2025-09-15,140650.81,6992.81,133658.0,700
2025-09-16,139404.81,6992.81,132412.0,700
2025-09-17,137612.81,6992.81,130620.0,700
2025-09-18,140608.81,6992.81,133616.0,700
2025-09-19,136632.81,6992.81,129640.0,700
2025-09-22,143499.81,6992.81,136507.0,700
2025-09-23,142841.81,6992.81,135849.0,700
2025-09-24,146852.81,6992.81,139860.0,700
2025-09-25,145179.81,6992.81,138187.0,700
