strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,136377.13,36.38,37.42,-3.88,1.775,100.0,4,258.87
DonchianTurtle,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,228210.01,128.21,132.89,-21.97,2.209,60.0,20,1739.97
CrossBorderDca,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,123894.24,23.89,24.55,-2.32,1.845,100.0,4,250.76
DividendLowvolRotation,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,339341.74,239.34,249.69,-19.25,2.628,59.09,44,4352.24
MultiFactor,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,278800.56,178.8,185.92,-27.97,2.374,64.71,36,3061.42
GridMartingale,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
DragonTigerPattern,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,161254.77,61.25,63.16,-13.52,2.209,88.89,18,1140.22
ChanLun2B,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,220780.17,120.78,125.12,-10.42,2.793,85.71,14,1150.82
BuyHold,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sh603986,兆易创新,2025-06-18,2026-06-18,100000.0,312496.04,212.5,221.38,-18.43,2.459,81.82,153,7796.86
