date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sz000034,神州数码,ScenarioRouter,36.5037,36.5,200,7300.73,5.0,0.0,0.73,5.73,92694.27,0.0,0.0,网格买入：现价 ¥36.450 位于 20 日区间 ¥35.850-¥41.500 的 11% 位置
2025-06-20,SELL,sz000034,神州数码,ScenarioRouter,35.8964,35.9,200,7179.28,5.0,3.59,0.72,9.31,99864.96,-135.04,-1.85,20日动量转负（-12.09%），趋势走坏
2025-06-20,BUY,sz000034,神州数码,ScenarioRouter,35.9036,35.9,200,7180.72,5.0,0.0,0.72,5.72,92679.24,0.0,0.0,网格买入：现价 ¥35.980 位于 20 日区间 ¥35.850-¥41.500 的 2% 位置
2025-06-23,SELL,sz000034,神州数码,ScenarioRouter,34.8765,34.88,200,6975.3,5.0,3.49,0.7,9.19,99646.06,-218.9,-3.05,20日动量转负（-10.07%），趋势走坏
2025-06-24,BUY,sz000034,神州数码,ScenarioRouter,35.9136,35.91,200,7182.72,5.0,0.0,0.72,5.72,92458.34,0.0,0.0,网格买入：现价 ¥35.690 位于 20 日区间 ¥35.260-¥39.340 的 11% 位置
2025-06-25,SELL,sz000034,神州数码,ScenarioRouter,36.7863,36.79,200,7357.26,5.0,3.68,0.74,9.41,99806.93,160.87,2.24,20日动量转负（-3.62%），趋势走坏
2025-06-26,BUY,sz000034,神州数码,ScenarioRouter,37.5037,37.5,2500,93759.37,23.44,0.0,9.38,32.81,6024.11,0.0,0.0,红利低波轮动：20日动量 +0.51%，量比 1.61，现价 > MA20×0.98（¥36.216）
2025-06-30,SELL,sz000034,神州数码,ScenarioRouter,37.5162,37.52,2500,93790.62,23.45,46.9,9.38,79.72,99744.39,-62.54,-0.07,20日动量转负（-1.32%），趋势走坏
2025-07-03,BUY,sz000034,神州数码,ScenarioRouter,36.0036,36.0,200,7200.72,5.0,0.0,0.72,5.72,92538.67,0.0,0.0,网格买入：现价 ¥36.230 位于 20 日区间 ¥34.850-¥38.500 的 38% 位置
2025-07-04,SELL,sz000034,神州数码,ScenarioRouter,36.6563,36.66,200,7331.27,5.0,3.67,0.73,9.4,99861.27,116.88,1.62,20日动量转负（-4.28%），趋势走坏
2025-07-08,BUY,sz000034,神州数码,ScenarioRouter,36.0536,36.05,200,7210.72,5.0,0.0,0.72,5.72,92645.55,0.0,0.0,网格买入：现价 ¥36.050 位于 20 日区间 ¥34.850-¥38.500 的 33% 位置
2025-07-09,SELL,sz000034,神州数码,ScenarioRouter,36.8863,36.89,200,7377.26,5.0,3.69,0.74,9.43,100014.12,152.85,2.12,20日动量转负（-1.23%），趋势走坏
2025-07-14,BUY,sz000034,神州数码,ScenarioRouter,37.4037,37.4,2500,93509.35,23.38,0.0,9.35,32.73,6481.4,0.0,0.0,红利低波轮动：20日动量 +3.40%，量比 1.42，现价 > MA20×0.98（¥35.919）
2025-07-16,SELL,sz000034,神州数码,ScenarioRouter,38.8761,38.88,1200,46651.33,11.66,23.33,4.67,39.65,53097.74,1720.64,3.83,网格上沿止盈：现价位于区间 105% 位置，浮盈 +2.5%
