date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-09,BUY,sz000938,紫光股份,DividendLowvolRotation,24.1824,24.18,3900,94311.43,23.58,0.0,9.43,33.01,5664.99,0.0,0.0,红利低波轮动：20日动量 +0.21%，量比 2.33，现价 > MA20×0.98（¥23.017）
2025-07-10,SELL,sz000938,紫光股份,DividendLowvolRotation,23.9976,24.0,3900,93590.64,23.4,46.8,9.36,79.55,99185.44,-814.56,-0.86,20日动量转负（-0.54%），趋势走坏
2025-07-14,BUY,sz000938,紫光股份,DividendLowvolRotation,24.3324,24.33,3800,92463.25,23.12,0.0,9.25,32.36,6699.08,0.0,0.0,红利低波轮动：20日动量 +4.39%，量比 1.21，现价 > MA20×0.98（¥23.066）
2025-08-21,SELL,sz000938,紫光股份,DividendLowvolRotation,27.7572,27.76,3800,105477.45,26.37,52.74,10.55,89.66,112097.42,12911.98,13.96,达到 +12% 止盈（当前 +13.9%）
2025-08-21,BUY,sz000938,紫光股份,DividendLowvolRotation,27.7628,27.76,3800,105498.55,26.37,0.0,10.55,36.92,6572.5,0.0,0.0,红利低波轮动：20日动量 +13.33%，量比 1.99，现价 > MA20×0.98（¥24.640）
2025-09-26,SELL,sz000938,紫光股份,DividendLowvolRotation,31.1069,31.11,3800,118206.18,29.55,59.1,11.82,100.48,124690.02,12592.6,11.93,达到 +12% 止盈（当前 +13.5%）
2025-09-26,BUY,sz000938,紫光股份,DividendLowvolRotation,31.1131,31.11,3800,118229.82,29.56,0.0,11.82,41.38,6430.64,0.0,0.0,红利低波轮动：20日动量 +10.99%，量比 1.03，现价 > MA20×0.98（¥28.336）
2025-10-15,SELL,sz000938,紫光股份,DividendLowvolRotation,27.9472,27.95,3800,106199.38,26.55,53.1,10.62,90.27,112550.37,-12139.65,-10.27,触发 -10% 止损（当前 -10.4%）
2025-12-23,BUY,sz000938,紫光股份,DividendLowvolRotation,24.8025,24.8,4300,106650.66,26.66,0.0,10.66,37.33,5873.04,0.0,0.0,红利低波轮动：20日动量 +1.55%，量比 1.11，现价 > MA20×0.98（¥24.370）
2025-12-24,SELL,sz000938,紫光股份,DividendLowvolRotation,24.2976,24.3,4300,104479.55,26.12,52.24,10.45,88.81,110274.24,-2276.14,-2.13,20日动量转负（-0.04%），趋势走坏
2026-01-06,BUY,sz000938,紫光股份,DividendLowvolRotation,25.2625,25.26,4100,103576.36,25.89,0.0,10.36,36.25,6671.99,0.0,0.0,红利低波轮动：20日动量 +1.12%，量比 1.78，现价 > MA20×0.98（¥24.286）
2026-01-08,SELL,sz000938,紫光股份,DividendLowvolRotation,25.4575,25.46,4100,104375.56,26.09,52.19,10.44,88.72,110969.26,695.03,0.67,20日动量转负（-0.12%），趋势走坏
2026-01-09,BUY,sz000938,紫光股份,DividendLowvolRotation,25.6026,25.6,4100,104970.5,26.24,0.0,10.5,36.74,5972.53,0.0,0.0,红利低波轮动：20日动量 +0.82%，量比 1.30，现价 > MA20×0.98（¥24.320）
2026-02-03,SELL,sz000938,紫光股份,DividendLowvolRotation,24.7375,24.74,4100,101423.86,25.36,50.71,10.14,86.21,107320.31,-3648.95,-3.48,20日动量转负（-3.01%），趋势走坏
2026-03-11,BUY,sz000938,紫光股份,DividendLowvolRotation,24.8625,24.86,4100,101936.19,25.48,0.0,10.19,35.68,5358.64,0.0,0.0,红利低波轮动：20日动量 +1.76%，量比 1.13，现价 > MA20×0.98（¥24.380）
2026-03-18,SELL,sz000938,紫光股份,DividendLowvolRotation,24.4976,24.5,4100,100439.96,25.11,50.22,10.04,85.37,105723.26,-1597.05,-1.57,20日动量转负（-2.78%），趋势走坏
2026-03-19,BUY,sz000938,紫光股份,DividendLowvolRotation,25.8526,25.85,3800,98239.82,24.56,0.0,9.82,34.38,7458.88,0.0,0.0,红利低波轮动：20日动量 +3.91%，量比 1.32，现价 > MA20×0.98（¥24.611）
2026-03-24,SELL,sz000938,紫光股份,DividendLowvolRotation,25.7174,25.72,3800,97726.23,24.43,48.86,9.77,83.07,105111.81,-611.45,-0.62,20日动量转负（-0.39%），趋势走坏
2026-04-07,BUY,sz000938,紫光股份,DividendLowvolRotation,25.5126,25.51,3900,99498.95,24.87,0.0,9.95,34.82,5587.99,0.0,0.0,红利低波轮动：20日动量 +6.17%，量比 1.68，现价 > MA20×0.98（¥24.923）
2026-04-23,SELL,sz000938,紫光股份,DividendLowvolRotation,30.5169,30.52,3900,119016.1,29.75,59.51,11.9,101.16,124514.82,19403.01,19.5,达到 +12% 止盈（当前 +17.2%）
2026-04-23,BUY,sz000938,紫光股份,DividendLowvolRotation,30.5231,30.52,3800,115987.6,29.0,0.0,11.6,40.59,8498.23,0.0,0.0,红利低波轮动：20日动量 +16.42%，量比 2.59，现价 > MA20×0.98（¥26.103）
2026-05-27,SELL,sz000938,紫光股份,DividendLowvolRotation,28.7771,28.78,3800,109353.06,27.34,54.68,10.94,92.95,117769.28,-6745.55,-5.81,20日动量转负（-7.37%），趋势走坏
