date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,99246.92,5466.92,93780.0,1800
2025-07-15,105888.92,5466.92,100422.0,1800
2025-07-16,103602.92,5466.92,98136.0,1800
2025-07-17,105042.92,5466.92,99576.0,1800
2025-07-18,104970.92,5466.92,99504.0,1800
2025-07-21,103998.92,5466.92,98532.0,1800
2025-07-22,102846.92,5466.92,97380.0,1800
2025-07-23,102396.92,5466.92,96930.0,1800
2025-07-24,103332.92,5466.92,97866.0,1800
2025-07-25,104268.92,5466.92,98802.0,1800
2025-07-28,103746.92,5466.92,98280.0,1800
2025-07-29,104736.92,5466.92,99270.0,1800
2025-07-30,104430.92,5466.92,98964.0,1800
2025-07-31,105852.92,5466.92,100386.0,1800
2025-08-01,102846.92,5466.92,97380.0,1800
2025-08-04,102792.92,5466.92,97326.0,1800
2025-08-05,104808.92,5466.92,99342.0,1800
2025-08-06,104988.92,5466.92,99522.0,1800
2025-08-07,103926.92,5466.92,98460.0,1800
2025-08-08,102108.92,5466.92,96642.0,1800
2025-08-11,103188.92,5466.92,97722.0,1800
2025-08-12,106716.92,5466.92,101250.0,1800
2025-08-13,110568.92,5466.92,105102.0,1800
2025-08-14,110820.92,5466.92,105354.0,1800
2025-08-15,111090.92,5466.92,105624.0,1800
2025-08-18,115392.92,5466.92,109926.0,1800
2025-08-19,113376.92,5466.92,107910.0,1800
2025-08-20,124176.92,5466.92,118710.0,1800
2025-08-21,123342.77,12060.77,111282.0,1700
2025-08-22,128000.77,12060.77,115940.0,1700
2025-08-25,129615.77,12060.77,117555.0,1700
2025-08-26,128544.77,12060.77,116484.0,1700
2025-08-27,124736.77,12060.77,112676.0,1700
2025-08-28,127490.77,12060.77,115430.0,1700
2025-08-29,126215.77,12060.77,114155.0,1700
2025-09-01,129241.77,12060.77,117181.0,1700
2025-09-02,120537.77,12060.77,108477.0,1700
2025-09-03,118548.77,12060.77,106488.0,1700
2025-09-04,112326.77,12060.77,100266.0,1700
2025-09-05,112428.39,112428.39,0.0,0
2025-09-08,112428.39,112428.39,0.0,0
2025-09-09,112428.39,112428.39,0.0,0
2025-09-10,112428.39,112428.39,0.0,0
2025-09-11,112428.39,112428.39,0.0,0
2025-09-12,112428.39,112428.39,0.0,0
2025-09-15,112428.39,112428.39,0.0,0
2025-09-16,112428.39,112428.39,0.0,0
2025-09-17,112428.39,112428.39,0.0,0
2025-09-18,112428.39,112428.39,0.0,0
2025-09-19,112428.39,112428.39,0.0,0
2025-09-22,112428.39,112428.39,0.0,0
2025-09-23,112428.39,112428.39,0.0,0
2025-09-24,112428.39,112428.39,0.0,0
