date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,99866.02,90214.02,9652.0,200
2025-06-20,99863.23,99863.23,0.0,0
2025-06-23,99863.23,99863.23,0.0,0
2025-06-24,100007.25,90115.25,9892.0,200
2025-06-25,100210.32,90098.32,10112.0,200
2025-06-26,99681.94,8997.94,90684.0,1800
2025-06-27,100203.94,8997.94,91206.0,1800
2025-06-30,100581.94,8997.94,91584.0,1800
2025-07-01,99789.94,8997.94,90792.0,1800
2025-07-02,97899.94,8997.94,88902.0,1800
2025-07-03,97855.0,92761.0,5094.0,100
2025-07-04,97812.96,97812.96,0.0,0
2025-07-07,97812.96,97812.96,0.0,0
2025-07-08,98022.46,92834.46,5188.0,100
2025-07-09,97101.45,9925.45,87176.0,1700
2025-07-10,97356.45,9925.45,87431.0,1700
2025-07-11,98716.45,9925.45,88791.0,1700
2025-07-14,98445.06,9875.06,88570.0,1700
2025-07-15,104718.06,9875.06,94843.0,1700
2025-07-16,102505.96,9821.96,92684.0,1700
2025-07-17,103813.72,9769.72,94044.0,1700
2025-07-18,103692.6,9716.6,93976.0,1700
2025-07-21,102721.66,9663.66,93058.0,1700
2025-07-22,101633.66,9663.66,91970.0,1700
2025-07-23,101208.66,9663.66,91545.0,1700
2025-07-24,102092.66,9663.66,92429.0,1700
2025-07-25,102976.66,9663.66,93313.0,1700
2025-07-28,102483.66,9663.66,92820.0,1700
2025-07-29,103418.66,9663.66,93755.0,1700
2025-07-30,103129.66,9663.66,93466.0,1700
2025-07-31,104472.66,9663.66,94809.0,1700
2025-08-01,101580.12,9610.12,91970.0,1700
2025-08-04,101529.12,9610.12,91919.0,1700
2025-08-05,103433.12,9610.12,93823.0,1700
2025-08-06,103603.12,9610.12,93993.0,1700
2025-08-07,102600.12,9610.12,92990.0,1700
2025-08-08,100883.12,9610.12,91273.0,1700
2025-08-11,101903.12,9610.12,92293.0,1700
2025-08-12,105235.12,9610.12,95625.0,1700
2025-08-13,108818.89,9555.89,99263.0,1700
2025-08-14,109000.77,9499.77,99501.0,1700
2025-08-15,109199.56,9443.56,99756.0,1700
2025-08-18,113205.97,9386.97,103819.0,1700
2025-08-19,111243.65,9328.65,101915.0,1700
2025-08-20,121386.53,9271.53,112115.0,1700
2025-08-21,120488.86,9206.86,111282.0,1700
2025-08-22,125083.88,9143.88,115940.0,1700
2025-08-25,126631.96,9076.96,117555.0,1700
2025-08-26,125495.15,9011.15,116484.0,1700
2025-08-27,121687.15,9011.15,112676.0,1700
2025-08-28,124441.15,9011.15,115430.0,1700
2025-08-29,123166.15,9011.15,114155.0,1700
2025-09-01,126192.15,9011.15,117181.0,1700
2025-09-02,117488.15,9011.15,108477.0,1700
2025-09-03,115499.15,9011.15,106488.0,1700
2025-09-04,115476.59,115476.59,0.0,0
2025-09-05,115582.0,109562.0,6020.0,100
2025-09-08,115495.39,103537.39,11958.0,200
2025-09-09,114990.8,97581.8,17409.0,300
2025-09-10,115614.21,91718.21,23896.0,400
2025-09-11,117627.6,85632.6,31995.0,500
2025-09-12,117861.76,8925.76,108936.0,1700
2025-09-15,117334.76,8925.76,108409.0,1700
2025-09-16,120394.76,8925.76,111469.0,1700
2025-09-17,119578.76,8925.76,110653.0,1700
2025-09-18,119569.65,119569.65,0.0,0
2025-09-19,117405.6,7993.6,109412.0,1700
2025-09-22,117244.67,117244.67,0.0,0
2025-09-23,117244.67,117244.67,0.0,0
2025-09-24,117244.67,117244.67,0.0,0
2025-09-25,125922.79,11847.79,114075.0,1500
2025-09-26,119768.58,11783.58,107985.0,1500
2025-09-29,120683.58,11783.58,108900.0,1500
2025-09-30,123413.58,11783.58,111630.0,1500
2025-10-09,125659.0,11719.0,113940.0,1500
2025-10-10,116209.0,11719.0,104490.0,1500
2025-10-13,117320.21,11600.21,105720.0,1500
2025-10-14,111680.21,11600.21,100080.0,1500
2025-10-15,113195.21,11600.21,101595.0,1500
2025-10-16,112715.21,11600.21,101115.0,1500
2025-10-17,108215.21,11600.21,96615.0,1500
2025-10-20,108725.21,11600.21,97125.0,1500
2025-10-21,112415.21,11600.21,100815.0,1500
2025-10-22,111380.21,11600.21,99780.0,1500
2025-10-23,110120.21,11600.21,98520.0,1500
2025-10-24,113300.21,11600.21,101700.0,1500
2025-10-27,114215.21,11600.21,102615.0,1500
2025-10-28,113855.21,11600.21,102255.0,1500
2025-10-29,117725.21,11600.21,106125.0,1500
2025-10-30,115655.21,11600.21,104055.0,1500
2025-10-31,109445.21,11600.21,97845.0,1500
2025-11-03,108819.75,102441.75,6378.0,100
2025-11-04,108802.93,108802.93,0.0,0
2025-11-05,108802.93,108802.93,0.0,0
2025-11-06,108930.31,102552.31,6378.0,100
2025-11-07,108777.9,102537.9,6240.0,100
2025-11-10,108711.52,102523.52,6188.0,100
2025-11-11,108524.17,102509.17,6015.0,100
2025-11-12,108605.83,6384.83,102221.0,1700
2025-11-13,108569.36,102484.36,6085.0,100
2025-11-14,107149.05,6424.05,100725.0,1700
2025-11-17,106845.09,100877.09,5968.0,100
2025-11-18,106932.91,100862.91,6070.0,100
2025-11-19,106214.0,9110.0,97104.0,1600
2025-11-20,106255.83,8991.83,97264.0,1600
2025-11-21,101085.8,8877.8,92208.0,1600
2025-11-24,103326.24,8766.24,94560.0,1600
2025-11-25,104690.04,98679.04,6011.0,100
2025-11-26,105020.82,98664.82,6356.0,100
2025-11-27,104956.04,104956.04,0.0,0
2025-11-28,104924.42,98765.42,6159.0,100
2025-12-01,104997.11,98751.11,6246.0,100
2025-12-02,104962.38,104962.38,0.0,0
2025-12-03,104962.38,104962.38,0.0,0
2025-12-04,104962.38,104962.38,0.0,0
2025-12-05,104962.38,104962.38,0.0,0
2025-12-08,104962.38,104962.38,0.0,0
2025-12-09,102497.73,5927.73,96570.0,1500
2025-12-10,100427.73,5927.73,94500.0,1500
2025-12-11,97652.73,5927.73,91725.0,1500
2025-12-12,99752.73,5927.73,93825.0,1500
2025-12-15,99557.73,5927.73,93630.0,1500
2025-12-16,96752.73,5927.73,90825.0,1500
2025-12-17,96913.92,90628.92,6285.0,100
2025-12-18,96754.92,90628.92,6126.0,100
2025-12-19,96780.3,84456.3,12324.0,200
2025-12-22,97334.3,84456.3,12878.0,200
2025-12-23,98149.25,7149.25,91000.0,1400
2025-12-24,100249.25,7149.25,93100.0,1400
2025-12-25,99955.41,7093.41,92862.0,1400
2025-12-26,100405.93,53505.93,46900.0,700
2025-12-29,101352.5,6684.5,94668.0,1400
2025-12-30,100836.63,53544.63,47292.0,700
2025-12-31,100507.35,73867.35,26640.0,400
2026-01-05,101019.35,73867.35,27152.0,400
2026-01-06,101068.19,87450.19,13618.0,200
2026-01-07,100018.09,5630.09,94388.0,1400
2026-01-08,99598.09,5630.09,93968.0,1400
2026-01-09,102090.09,5630.09,96460.0,1400
2026-01-12,104649.83,5571.83,99078.0,1400
2026-01-13,100236.09,5512.09,94724.0,1400
2026-01-14,102882.09,5512.09,97370.0,1400
2026-01-15,100894.09,5512.09,95382.0,1400
2026-01-16,100838.09,5512.09,95326.0,1400
2026-01-19,97632.09,5512.09,92120.0,1400
