date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,99622.38,6772.38,92850.0,1500
2025-06-23,100747.38,6772.38,93975.0,1500
2025-06-24,101647.38,6772.38,94875.0,1500
2025-06-25,103522.38,6772.38,96750.0,1500
2025-06-26,102307.38,6772.38,95535.0,1500
2025-06-27,102577.38,6772.38,95805.0,1500
2025-06-30,105562.38,6772.38,98790.0,1500
2025-07-01,105052.38,6772.38,98280.0,1500
2025-07-02,104137.38,6772.38,97365.0,1500
2025-07-03,103942.38,6772.38,97170.0,1500
2025-07-04,103867.38,6772.38,97095.0,1500
2025-07-07,103132.38,6772.38,96360.0,1500
2025-07-08,105022.38,6772.38,98250.0,1500
2025-07-09,104557.38,6772.38,97785.0,1500
2025-07-10,105502.38,6772.38,98730.0,1500
2025-07-11,105937.38,6772.38,99165.0,1500
2025-07-14,106702.38,6772.38,99930.0,1500
2025-07-15,105907.38,6772.38,99135.0,1500
2025-07-16,106327.38,6772.38,99555.0,1500
2025-07-17,108622.38,6772.38,101850.0,1500
2025-07-18,108247.38,6772.38,101475.0,1500
2025-07-21,108127.38,6772.38,101355.0,1500
2025-07-22,107662.38,6772.38,100890.0,1500
2025-07-23,107872.38,6772.38,101100.0,1500
2025-07-24,108742.38,6772.38,101970.0,1500
2025-07-25,109507.38,6772.38,102735.0,1500
2025-07-28,109719.81,109719.81,0.0,0
2025-07-29,109719.81,109719.81,0.0,0
2025-07-30,109719.81,109719.81,0.0,0
2025-07-31,109719.81,109719.81,0.0,0
2025-08-01,109719.81,109719.81,0.0,0
2025-08-04,109719.81,109719.81,0.0,0
2025-08-05,109719.81,109719.81,0.0,0
2025-08-06,109719.81,109719.81,0.0,0
2025-08-07,109719.81,109719.81,0.0,0
2025-08-08,109719.81,109719.81,0.0,0
2025-08-11,109719.81,109719.81,0.0,0
2025-08-12,109719.81,109719.81,0.0,0
2025-08-13,109719.81,109719.81,0.0,0
2025-08-14,109719.81,109719.81,0.0,0
2025-08-15,109719.81,109719.81,0.0,0
2025-08-18,109719.81,109719.81,0.0,0
2025-08-19,109719.81,109719.81,0.0,0
2025-08-20,109719.81,109719.81,0.0,0
2025-08-21,109719.81,109719.81,0.0,0
2025-08-22,109719.81,109719.81,0.0,0
2025-08-25,109719.81,109719.81,0.0,0
2025-08-26,109719.81,109719.81,0.0,0
2025-08-27,109719.81,109719.81,0.0,0
2025-08-28,109719.81,109719.81,0.0,0
2025-08-29,109719.81,109719.81,0.0,0
2025-09-01,109719.81,109719.81,0.0,0
2025-09-02,109719.81,109719.81,0.0,0
2025-09-03,109719.81,109719.81,0.0,0
2025-09-04,109719.81,109719.81,0.0,0
2025-09-05,109719.81,109719.81,0.0,0
2025-09-08,109719.81,109719.81,0.0,0
2025-09-09,109719.81,109719.81,0.0,0
2025-09-10,109719.81,109719.81,0.0,0
2025-09-11,109719.81,109719.81,0.0,0
2025-09-12,109719.81,109719.81,0.0,0
2025-09-15,109719.81,109719.81,0.0,0
2025-09-16,109719.81,109719.81,0.0,0
2025-09-17,109719.81,109719.81,0.0,0
2025-09-18,109719.81,109719.81,0.0,0
2025-09-19,109719.81,109719.81,0.0,0
2025-09-22,109719.81,109719.81,0.0,0
2025-09-23,109719.81,109719.81,0.0,0
2025-09-24,109719.81,109719.81,0.0,0
2025-09-25,109719.81,109719.81,0.0,0
