date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-06-19,BUY,sz002049,紫光国微,GridMartingale,62.9063,62.9,100,6290.63,5.0,0.0,0.63,5.63,93704.37,0.0,0.0,网格买入：现价 ¥62.900 位于 20 日区间 ¥61.890-¥65.730 的 26% 位置
2025-06-20,BUY,sz002049,紫光国微,GridMartingale,62.1362,62.13,100,6213.62,5.0,0.0,0.62,5.62,87485.75,0.0,0.0,网格买入：现价 ¥62.170 位于 20 日区间 ¥61.890-¥65.730 的 7% 位置
2025-06-23,BUY,sz002049,紫光国微,GridMartingale,61.6662,61.66,100,6166.62,5.0,0.0,0.62,5.62,81314.13,0.0,0.0,网格买入：现价 ¥61.900 位于 20 日区间 ¥61.890-¥65.730 的 0% 位置
2025-06-24,BUY,sz002049,紫光国微,GridMartingale,62.6563,62.65,100,6265.63,5.0,0.0,0.63,5.63,75043.51,0.0,0.0,网格买入：现价 ¥62.650 位于 20 日区间 ¥61.760-¥65.730 的 22% 位置
2025-06-25,BUY,sz002049,紫光国微,GridMartingale,63.1663,63.16,100,6316.63,5.0,0.0,0.63,5.63,68721.88,0.0,0.0,网格买入：现价 ¥63.250 位于 20 日区间 ¥61.520-¥65.730 的 41% 位置
2025-07-01,SELL,sz002049,紫光国微,GridMartingale,65.5934,65.6,200,13118.69,5.0,6.56,1.31,12.87,81829.0,592.88,4.74,网格上沿止盈：现价位于区间 103% 位置，浮盈 +5.3%
2025-07-02,SELL,sz002049,紫光国微,GridMartingale,65.3235,65.33,100,6532.35,5.0,3.27,0.65,8.92,88353.08,352.46,5.71,网格上沿止盈：现价位于区间 82% 位置，浮盈 +4.8%
2025-07-09,SELL,sz002049,紫光国微,GridMartingale,65.2235,65.23,100,6522.35,5.0,3.26,0.65,8.91,94867.17,243.46,3.88,网格上沿止盈：现价位于区间 81% 位置，浮盈 +4.0%
2025-09-03,BUY,sz002049,紫光国微,GridMartingale,77.8878,77.88,100,7788.78,5.0,0.0,0.78,5.78,87073.39,0.0,0.0,网格买入：现价 ¥77.550 位于 20 日区间 ¥73.200-¥86.770 的 32% 位置
2025-09-04,BUY,sz002049,紫光国微,GridMartingale,76.0076,76.0,100,7600.76,5.0,0.0,0.76,5.76,79467.63,0.0,0.0,网格买入：现价 ¥75.850 位于 20 日区间 ¥73.410-¥86.770 的 18% 位置
2025-09-08,BUY,sz002049,紫光国微,GridMartingale,74.7875,74.78,100,7478.75,5.0,0.0,0.75,5.75,71983.88,0.0,0.0,网格买入：现价 ¥74.610 位于 20 日区间 ¥71.850-¥86.770 的 18% 位置
2025-09-26,SELL,sz002049,紫光国微,GridMartingale,85.9914,86.0,200,17198.28,5.0,8.6,1.72,15.32,89168.56,3069.27,21.74,网格上沿止盈：现价位于区间 102% 位置，浮盈 +15.0%
2025-09-29,SELL,sz002049,紫光国微,GridMartingale,87.5112,87.52,100,8751.12,5.0,4.38,0.88,10.25,97910.31,1135.99,14.94,网格上沿止盈：现价位于区间 127% 位置，浮盈 +18.0%
2025-10-20,BUY,sz002049,紫光国微,GridMartingale,80.8081,80.8,100,8080.81,5.0,0.0,0.81,5.81,89824.51,0.0,0.0,网格买入：现价 ¥79.440 位于 20 日区间 ¥74.210-¥94.830 的 25% 位置
2025-10-21,BUY,sz002049,紫光国微,GridMartingale,81.2381,81.23,100,8123.81,5.0,0.0,0.81,5.81,81695.69,0.0,0.0,网格买入：现价 ¥80.570 位于 20 日区间 ¥76.930-¥94.830 的 20% 位置
2025-10-22,BUY,sz002049,紫光国微,GridMartingale,81.3481,81.34,100,8134.81,5.0,0.0,0.81,5.81,73555.88,0.0,0.0,网格买入：现价 ¥81.970 位于 20 日区间 ¥76.930-¥94.830 的 28% 位置
2025-12-29,SELL,sz002049,紫光国微,GridMartingale,79.792,79.8,200,15958.4,5.0,7.98,1.6,14.58,89501.31,375.87,2.41,网格上沿止盈：现价位于区间 112% 位置，浮盈 +0.8%
2026-01-16,SELL,sz002049,紫光国微,GridMartingale,91.9808,91.99,100,9198.08,5.0,4.6,0.92,10.52,98689.79,1059.67,13.04,网格上沿止盈：现价位于区间 152% 位置，浮盈 +6.6%
2026-02-03,BUY,sz002049,紫光国微,GridMartingale,81.1081,81.1,100,8110.81,5.0,0.0,0.81,5.81,90573.98,0.0,0.0,网格买入：现价 ¥79.780 位于 20 日区间 ¥74.330-¥91.990 的 31% 位置
2026-02-04,BUY,sz002049,紫光国微,GridMartingale,80.308,80.3,100,8030.8,5.0,0.0,0.8,5.8,82538.17,0.0,0.0,网格买入：现价 ¥81.290 位于 20 日区间 ¥75.810-¥91.990 的 34% 位置
2026-02-05,BUY,sz002049,紫光国微,GridMartingale,77.5378,77.53,100,7753.78,5.0,0.0,0.78,5.78,74779.4,0.0,0.0,网格买入：现价 ¥78.800 位于 20 日区间 ¥76.140-¥91.990 的 17% 位置
2026-03-06,BUY,sz002049,紫光国微,GridMartingale,74.6075,74.6,100,7460.75,5.0,0.0,0.75,5.75,67313.65,0.0,0.0,网格买入：现价 ¥74.910 位于 20 日区间 ¥73.990-¥89.110 的 6% 位置
2026-03-24,SELL,sz002049,紫光国微,GridMartingale,67.4933,67.5,500,33746.62,8.44,16.87,3.38,28.68,101034.97,-5794.63,-14.66,网格破网止损：收盘 66.48 <= 66.78，清仓跳出
2026-03-25,BUY,sz002049,紫光国微,GridMartingale,67.9068,67.9,100,6790.68,5.0,0.0,0.68,5.68,94239.29,0.0,0.0,网格买入：现价 ¥67.400 位于 20 日区间 ¥66.410-¥80.510 的 7% 位置
2026-03-26,BUY,sz002049,紫光国微,GridMartingale,68.6069,68.6,100,6860.69,5.0,0.0,0.69,5.69,87373.6,0.0,0.0,网格买入：现价 ¥68.980 位于 20 日区间 ¥66.000-¥80.510 的 21% 位置
2026-03-27,BUY,sz002049,紫光国微,GridMartingale,66.7367,66.73,100,6673.67,5.0,0.0,0.67,5.67,80694.93,0.0,0.0,网格买入：现价 ¥67.720 位于 20 日区间 ¥66.000-¥80.510 的 12% 位置
2026-03-30,BUY,sz002049,紫光国微,GridMartingale,66.8067,66.8,100,6680.67,5.0,0.0,0.67,5.67,74009.27,0.0,0.0,网格买入：现价 ¥67.890 位于 20 日区间 ¥66.000-¥80.450 的 13% 位置
2026-03-31,BUY,sz002049,紫光国微,GridMartingale,67.4067,67.4,100,6740.67,5.0,0.0,0.67,5.67,67263.59,0.0,0.0,网格买入：现价 ¥67.630 位于 20 日区间 ¥66.000-¥80.450 的 11% 位置
2026-04-03,BUY,sz002049,紫光国微,GridMartingale,66.2266,66.22,100,6622.66,5.0,0.0,0.66,5.66,60635.93,0.0,0.0,网格买入：现价 ¥65.900 位于 20 日区间 ¥65.900-¥76.340 的 0% 位置
2026-04-20,SELL,sz002049,紫光国微,GridMartingale,72.8827,72.89,300,21864.81,5.47,10.93,2.19,18.59,82484.34,1508.38,7.42,网格上沿止盈：现价位于区间 94% 位置，浮盈 +8.3%
2026-04-21,SELL,sz002049,紫光国微,GridMartingale,71.9928,72.0,100,7199.28,5.0,3.6,0.72,9.32,89675.02,505.01,7.55,网格上沿止盈：现价位于区间 93% 位置，浮盈 +9.4%
2026-04-23,SELL,sz002049,紫光国微,GridMartingale,72.9927,73.0,100,7299.27,5.0,3.65,0.73,9.38,96965.65,544.95,8.08,网格上沿止盈：现价位于区间 86% 位置，浮盈 +8.3%
2026-06-01,BUY,sz002049,紫光国微,GridMartingale,79.0079,79.0,100,7900.79,5.0,0.0,0.79,5.79,89059.86,0.0,0.0,网格买入：现价 ¥79.300 位于 20 日区间 ¥73.220-¥89.530 的 37% 位置
2026-06-02,BUY,sz002049,紫光国微,GridMartingale,76.5577,76.55,100,7655.77,5.0,0.0,0.77,5.77,81399.09,0.0,0.0,网格买入：现价 ¥76.510 位于 20 日区间 ¥73.220-¥89.530 的 20% 位置
