date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-18,BUY,sz002049,紫光国微,MultiFactor,67.9168,67.91,1300,88291.83,22.07,0.0,8.83,30.9,11686.1,0.0,0.0,多因子综合 +0.64（8 因子）| Top3: M1 momentum 20d +0.18 / T3 breakout 60d +0.11 / T2 ma alignment +0.10
2025-08-19,SELL,sz002049,紫光国微,MultiFactor,82.9917,83.0,1300,107889.21,26.97,53.94,10.79,91.71,119494.39,19494.39,22.07,达到 +15% 止盈（当前 +19.0%）
2025-08-19,BUY,sz002049,紫光国微,MultiFactor,83.0083,83.0,1300,107910.79,26.98,0.0,10.79,37.77,11556.62,0.0,0.0,多因子综合 +0.83（8 因子）| Top3: M1 momentum 20d +0.20 / M2 momentum 60d +0.15 / vol price sync +0.13
2025-09-04,SELL,sz002049,紫光国微,MultiFactor,75.9924,76.0,1300,98790.12,24.7,49.4,9.88,83.97,110272.65,-9221.74,-8.54,触发 -8% 止损（当前 -8.6%）
2025-09-25,BUY,sz002049,紫光国微,MultiFactor,81.1681,81.16,1200,97401.74,24.35,0.0,9.74,34.09,12846.56,0.0,0.0,多因子综合 +0.55（8 因子）| Top3: M2 momentum 60d +0.15 / vol price sync +0.11 / T2 ma alignment +0.10
2025-11-21,SELL,sz002049,紫光国微,MultiFactor,73.1527,73.16,1200,87783.22,21.95,43.89,8.78,74.62,100563.95,-9708.71,-9.97,触发 -8% 止损（当前 -8.1%）
2026-01-19,BUY,sz002049,紫光国微,MultiFactor,85.0185,85.01,1100,93520.35,23.38,0.0,9.35,32.73,7020.21,0.0,0.0,多因子综合 +0.51（8 因子）| Top3: M1 momentum 20d +0.20 / vol ratio +0.12 / T1 ma20 bias +0.12
2026-02-06,SELL,sz002049,紫光国微,MultiFactor,76.8723,76.88,1100,84559.54,21.14,42.28,8.46,71.88,91516.34,-9047.61,-9.67,触发 -8% 止损（当前 -8.9%）
2026-05-07,BUY,sz002049,紫光国微,MultiFactor,79.2079,79.2,1000,79207.92,19.8,0.0,7.92,27.72,12288.62,0.0,0.0,多因子综合 +0.52（8 因子）| Top3: M1 momentum 20d +0.20 / T1 ma20 bias +0.12 / vol price sync +0.11
2026-06-09,SELL,sz002049,紫光国微,MultiFactor,71.7228,71.73,1000,71722.83,17.93,35.86,7.17,60.97,83957.65,-7558.69,-9.54,触发 -8% 止损（当前 -11.7%）
