date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,99855.85,8127.85,91728.0,1400
2025-07-02,99001.85,8127.85,90874.0,1400
2025-07-03,98819.85,8127.85,90692.0,1400
2025-07-04,98749.85,8127.85,90622.0,1400
2025-07-07,98063.85,8127.85,89936.0,1400
2025-07-08,99827.85,8127.85,91700.0,1400
2025-07-09,99393.85,8127.85,91266.0,1400
2025-07-10,100275.85,8127.85,92148.0,1400
2025-07-11,100681.85,8127.85,92554.0,1400
2025-07-14,101395.85,8127.85,93268.0,1400
2025-07-15,100653.85,8127.85,92526.0,1400
2025-07-16,101045.85,8127.85,92918.0,1400
2025-07-17,103187.85,8127.85,95060.0,1400
2025-07-18,102837.85,8127.85,94710.0,1400
2025-07-21,102725.85,8127.85,94598.0,1400
2025-07-22,102291.85,8127.85,94164.0,1400
2025-07-23,102487.85,8127.85,94360.0,1400
2025-07-24,103299.85,8127.85,95172.0,1400
2025-07-25,104013.85,8127.85,95886.0,1400
2025-07-28,103999.85,8127.85,95872.0,1400
2025-07-29,110607.85,8127.85,102480.0,1400
2025-07-30,108339.85,8127.85,100212.0,1400
2025-07-31,105483.85,8127.85,97356.0,1400
2025-08-01,109095.85,8127.85,100968.0,1400
2025-08-04,111699.85,8127.85,103572.0,1400
2025-08-05,111699.85,8127.85,103572.0,1400
2025-08-06,115787.85,8127.85,107660.0,1400
2025-08-07,115507.85,8127.85,107380.0,1400
2025-08-08,114807.85,8127.85,106680.0,1400
2025-08-11,113225.85,8127.85,105098.0,1400
2025-08-12,112553.85,8127.85,104426.0,1400
2025-08-13,113477.85,8127.85,105350.0,1400
2025-08-14,111125.85,8127.85,102998.0,1400
2025-08-15,116515.85,8127.85,108388.0,1400
2025-08-18,121303.85,8127.85,113176.0,1400
2025-08-19,123068.42,7988.42,115080.0,1400
2025-08-20,122592.42,7988.42,114604.0,1400
2025-08-21,120618.42,7988.42,112630.0,1400
2025-08-22,123740.42,7988.42,115752.0,1400
2025-08-25,122634.42,7988.42,114646.0,1400
2025-08-26,121570.42,7988.42,113582.0,1400
2025-08-27,122690.42,7988.42,114702.0,1400
2025-08-28,124916.42,7988.42,116928.0,1400
2025-08-29,122186.42,7988.42,114198.0,1400
2025-09-01,123082.42,7988.42,115094.0,1400
2025-09-02,116558.42,7988.42,108570.0,1400
2025-09-03,116927.75,116927.75,0.0,0
2025-09-04,116927.75,116927.75,0.0,0
2025-09-05,116927.75,116927.75,0.0,0
2025-09-08,116927.75,116927.75,0.0,0
2025-09-09,116927.75,116927.75,0.0,0
2025-09-10,116927.75,116927.75,0.0,0
2025-09-11,116927.75,116927.75,0.0,0
2025-09-12,116927.75,116927.75,0.0,0
2025-09-15,116927.75,116927.75,0.0,0
2025-09-16,116927.75,116927.75,0.0,0
2025-09-17,116927.75,116927.75,0.0,0
2025-09-18,116927.75,116927.75,0.0,0
2025-09-19,116927.75,116927.75,0.0,0
2025-09-22,116927.75,116927.75,0.0,0
2025-09-23,116927.75,116927.75,0.0,0
