date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,99735.41,12571.41,87164.0,200
2025-06-25,100887.41,12571.41,88316.0,200
2025-06-26,100153.41,12571.41,87582.0,200
2025-06-27,99473.41,12571.41,86902.0,200
2025-06-30,101013.41,12571.41,88442.0,200
2025-07-01,101231.41,12571.41,88660.0,200
2025-07-02,99995.41,12571.41,87424.0,200
2025-07-03,78205.41,12571.41,65634.0,200
2025-07-04,77913.83,77913.83,0.0,0
2025-07-07,77913.83,77913.83,0.0,0
2025-07-08,77913.83,77913.83,0.0,0
2025-07-09,77913.83,77913.83,0.0,0
2025-07-10,77913.83,77913.83,0.0,0
2025-07-11,77913.83,77913.83,0.0,0
2025-07-14,77913.83,77913.83,0.0,0
2025-07-15,77913.83,77913.83,0.0,0
2025-07-16,77913.83,77913.83,0.0,0
2025-07-17,77913.83,77913.83,0.0,0
2025-07-18,77913.83,77913.83,0.0,0
2025-07-21,77913.83,77913.83,0.0,0
2025-07-22,77913.83,77913.83,0.0,0
2025-07-23,77913.83,77913.83,0.0,0
2025-07-24,77913.83,77913.83,0.0,0
2025-07-25,77913.83,77913.83,0.0,0
2025-07-28,77913.83,77913.83,0.0,0
2025-07-29,77913.83,77913.83,0.0,0
2025-07-30,77913.83,77913.83,0.0,0
2025-07-31,77913.83,77913.83,0.0,0
2025-08-01,77050.44,11090.44,65960.0,200
2025-08-04,76656.67,76656.67,0.0,0
2025-08-05,76656.67,76656.67,0.0,0
2025-08-06,76656.67,76656.67,0.0,0
2025-08-07,76656.67,76656.67,0.0,0
2025-08-08,76656.67,76656.67,0.0,0
2025-08-11,76656.67,76656.67,0.0,0
2025-08-12,76656.67,76656.67,0.0,0
2025-08-13,76259.35,9997.35,66262.0,200
2025-08-14,78329.35,9997.35,68332.0,200
2025-08-15,78403.35,9997.35,68406.0,200
2025-08-18,79441.35,9997.35,69444.0,200
2025-08-19,77989.35,9997.35,67992.0,200
2025-08-20,80095.35,9997.35,70098.0,200
2025-08-21,82193.35,9997.35,72196.0,200
2025-08-22,86677.35,9997.35,76680.0,200
2025-08-25,85918.72,9902.72,76016.0,200
2025-08-26,86502.72,9902.72,76600.0,200
2025-08-27,84602.72,9902.72,74700.0,200
2025-08-28,89288.72,9902.72,79386.0,200
2025-08-29,84402.72,9902.72,74500.0,200
2025-09-01,85470.72,9902.72,75568.0,200
2025-09-02,85604.72,9902.72,75702.0,200
2025-09-03,84588.72,9902.72,74686.0,200
2025-09-04,80092.72,9902.72,70190.0,200
2025-09-05,80033.07,80033.07,0.0,0
2025-09-08,80033.07,80033.07,0.0,0
2025-09-09,80033.07,80033.07,0.0,0
2025-09-10,80033.07,80033.07,0.0,0
2025-09-11,80033.07,80033.07,0.0,0
2025-09-12,79924.64,4516.64,75408.0,200
2025-09-15,80516.64,4516.64,76000.0,200
2025-09-16,80088.64,4516.64,75572.0,200
2025-09-17,82394.64,4516.64,77878.0,200
2025-09-18,86056.64,4516.64,81540.0,200
2025-09-19,84916.64,4516.64,80400.0,200
2025-09-22,87056.64,4516.64,82540.0,200
2025-09-23,88276.64,4516.64,83760.0,200
2025-09-24,96652.64,4516.64,92136.0,200
2025-09-25,96718.44,51353.44,45365.0,100
