strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,72072.0,-27.93,-28.51,-30.7,-1.178,0.0,8,282.0
DonchianTurtle,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,96884.83,-3.12,-3.19,-25.0,0.01,50.0,12,495.17
CrossBorderDca,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,118127.06,18.13,18.61,-8.16,0.941,100.0,4,202.93
DividendLowvolRotation,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,99684.14,-0.32,-0.32,-24.67,0.114,40.0,31,1107.85
MultiFactor,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,103246.2,3.25,3.33,-16.55,0.16,50.0,16,565.8
GridMartingale,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
DragonTigerPattern,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,90829.07,-9.17,-9.39,-9.17,-1.798,0.0,2,104.93
ChanLun2B,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,102218.18,2.22,2.27,-8.58,0.077,33.33,6,233.83
BuyHold,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sz002371,北方华创,2025-06-18,2026-06-18,100000.0,112412.29,12.41,12.74,-20.02,0.52,53.85,77,2605.72
