date,equity,cash,position_value,shares
2026-01-05,100000.0,100000.0,0.0,0
2026-01-06,100000.0,100000.0,0.0,0
2026-01-07,100000.0,100000.0,0.0,0
2026-01-08,100000.0,100000.0,0.0,0
2026-01-09,100000.0,100000.0,0.0,0
2026-01-12,100000.0,100000.0,0.0,0
2026-01-13,100000.0,100000.0,0.0,0
2026-01-14,100000.0,100000.0,0.0,0
2026-01-15,100000.0,100000.0,0.0,0
2026-01-16,100000.0,100000.0,0.0,0
2026-01-19,100000.0,100000.0,0.0,0
2026-01-20,100000.0,100000.0,0.0,0
2026-01-21,100000.0,100000.0,0.0,0
2026-01-22,100000.0,100000.0,0.0,0
2026-01-23,100000.0,100000.0,0.0,0
2026-01-26,100000.0,100000.0,0.0,0
2026-01-27,100000.0,100000.0,0.0,0
2026-01-28,100000.0,100000.0,0.0,0
2026-01-29,100000.0,100000.0,0.0,0
2026-01-30,100000.0,100000.0,0.0,0
2026-02-02,100000.0,100000.0,0.0,0
2026-02-03,100000.0,100000.0,0.0,0
2026-02-04,100000.0,100000.0,0.0,0
2026-02-05,100000.0,100000.0,0.0,0
2026-02-06,100000.0,100000.0,0.0,0
2026-02-09,100000.0,100000.0,0.0,0
2026-02-10,100000.0,100000.0,0.0,0
2026-02-11,100000.0,100000.0,0.0,0
2026-02-12,100000.0,100000.0,0.0,0
2026-02-13,100000.0,100000.0,0.0,0
2026-02-24,100000.0,100000.0,0.0,0
2026-02-25,98562.82,5166.82,93396.0,300
2026-02-26,97986.82,5166.82,92820.0,300
2026-02-27,95166.82,5166.82,90000.0,300
2026-03-02,93111.82,5166.82,87945.0,300
2026-03-03,87033.82,5166.82,81867.0,300
2026-03-04,86964.24,86964.24,0.0,0
2026-03-05,86964.24,86964.24,0.0,0
2026-03-06,86964.24,86964.24,0.0,0
2026-03-09,86964.24,86964.24,0.0,0
2026-03-10,86964.24,86964.24,0.0,0
2026-03-11,86964.24,86964.24,0.0,0
2026-03-12,86964.24,86964.24,0.0,0
2026-03-13,86964.24,86964.24,0.0,0
2026-03-16,86964.24,86964.24,0.0,0
2026-03-17,86964.24,86964.24,0.0,0
2026-03-18,86964.24,86964.24,0.0,0
2026-03-19,87679.24,26943.24,60736.0,200
2026-03-20,84983.24,26943.24,58040.0,200
2026-03-23,81613.24,26943.24,54670.0,200
2026-03-24,82493.98,82493.98,0.0,0
2026-03-25,82493.98,82493.98,0.0,0
2026-03-26,82493.98,82493.98,0.0,0
2026-03-27,82493.98,82493.98,0.0,0
2026-03-30,82493.98,82493.98,0.0,0
2026-03-31,82493.98,82493.98,0.0,0
2026-04-01,82493.98,82493.98,0.0,0
2026-04-02,82493.98,82493.98,0.0,0
2026-04-03,82493.98,82493.98,0.0,0
2026-04-07,82493.98,82493.98,0.0,0
2026-04-08,82493.98,82493.98,0.0,0
2026-04-09,82493.98,82493.98,0.0,0
2026-04-10,82493.98,82493.98,0.0,0
2026-04-13,82493.98,82493.98,0.0,0
2026-04-14,82493.98,82493.98,0.0,0
2026-04-15,82493.98,82493.98,0.0,0
2026-04-16,82493.98,82493.98,0.0,0
2026-04-17,83466.1,25674.1,57792.0,200
2026-04-20,83782.1,25674.1,58108.0,200
2026-04-21,86928.1,25674.1,61254.0,200
2026-04-22,88470.1,25674.1,62796.0,200
2026-04-23,86634.1,25674.1,60960.0,200
2026-04-24,85214.1,25674.1,59540.0,200
2026-04-27,86358.1,25674.1,60684.0,200
2026-04-28,87174.1,25674.1,61500.0,200
2026-04-29,87452.1,25674.1,61778.0,200
2026-04-30,88272.1,25674.1,62598.0,200
2026-05-06,94532.1,25674.1,68858.0,200
2026-05-07,95015.11,95015.11,0.0,0
2026-05-08,95015.11,95015.11,0.0,0
2026-05-11,95015.11,95015.11,0.0,0
2026-05-12,95015.11,95015.11,0.0,0
2026-05-13,95015.11,95015.11,0.0,0
2026-05-14,95015.11,95015.11,0.0,0
2026-05-15,95015.11,95015.11,0.0,0
2026-05-18,95015.11,95015.11,0.0,0
2026-05-19,95015.11,95015.11,0.0,0
2026-05-20,95015.11,95015.11,0.0,0
2026-05-21,95015.11,95015.11,0.0,0
2026-05-22,95015.11,95015.11,0.0,0
2026-05-25,95015.11,95015.11,0.0,0
2026-05-26,95015.11,95015.11,0.0,0
2026-05-27,95015.11,95015.11,0.0,0
2026-05-28,95015.11,95015.11,0.0,0
2026-05-29,95015.11,95015.11,0.0,0
2026-06-01,95015.11,95015.11,0.0,0
2026-06-02,95015.11,95015.11,0.0,0
2026-06-03,95015.11,95015.11,0.0,0
2026-06-04,95015.11,95015.11,0.0,0
2026-06-05,95015.11,95015.11,0.0,0
2026-06-08,95015.11,95015.11,0.0,0
2026-06-09,95015.11,95015.11,0.0,0
2026-06-10,95015.11,95015.11,0.0,0
2026-06-11,95015.11,95015.11,0.0,0
2026-06-12,95015.11,95015.11,0.0,0
2026-06-15,95015.11,95015.11,0.0,0
2026-06-16,95015.11,95015.11,0.0,0
2026-06-17,95015.11,95015.11,0.0,0
2026-06-18,95015.11,95015.11,0.0,0
