date,side,code,name,price,raw_open,shares,gross_amount,commission,stamp_tax,total_cost,cash_after,pnl,reason
2025-06-19,BUY,sh601838,成都银行,20.212,20.21,900,18190.82,5.0,0.0,5.0,81804.18,0.0,MultiFactor score
2025-06-19,BUY,sz002716,湖南白银,4.0304,4.03,3800,15315.53,5.0,0.0,5.0,66483.65,0.0,MultiFactor score
2025-06-19,BUY,sh601169,北京银行,6.8107,6.81,1800,12259.23,5.0,0.0,5.0,54219.42,0.0,MultiFactor score
2025-06-19,BUY,sh600000,浦发银行,12.7813,12.78,800,10225.02,5.0,0.0,5.0,43989.4,0.0,MultiFactor score
2025-06-19,BUY,sz002958,青农商行,3.7004,3.7,2200,8140.81,5.0,0.0,5.0,35843.59,0.0,MultiFactor score
2025-06-19,SELL,sh601838,成都银行,20.208,20.21,900,18187.18,5.0,9.09,14.09,54016.68,-22.73,回测结束强平
2025-06-19,SELL,sz002716,湖南白银,4.0296,4.03,3800,15312.47,5.0,7.66,12.66,69316.49,-20.72,回测结束强平
2025-06-19,SELL,sh601169,北京银行,6.8093,6.81,1800,12256.77,5.0,6.13,11.13,81562.13,-18.58,回测结束强平
2025-06-19,SELL,sh600000,浦发银行,12.7787,12.78,800,10222.98,5.0,5.11,10.11,91775.0,-17.16,回测结束强平
2025-06-19,SELL,sz002958,青农商行,3.6996,3.7,2200,8139.19,5.0,4.07,9.07,99905.12,-15.7,回测结束强平
